,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
12,astronomer,0.6667,0.2643,0.1958,1.0000,asian,black,0.0858,0.1408
65,firefighter,0.7500,0.1737,0.1581,1.0000,asian,black,0.0953,0.1267
9,army,0.8269,0.2133,0.1863,1.0000,asian,black,0.0602,0.1233
115,postman,0.7115,0.2022,0.1945,1.0000,asian,black,0.0422,0.1184
108,physicist,0.8676,0.1191,0.1136,0.8750,asian,black,0.1201,0.1168
118,prosecutor,0.7692,0.1634,0.1909,1.0000,asian,black,0.0420,0.1164
133,soldier,0.8382,0.1636,0.1707,1.0000,asian,black,0.0613,0.1160
64,farmer,0.8864,0.1305,0.1402,1.0000,asian,black,0.0894,0.1148
6,airman,0.7500,0.2293,0.1933,1.0000,asian,black,0.0353,0.1143
26,butcher,0.8594,0.1114,0.1338,1.0000,asian,black,0.0896,0.1117
48,dentist,0.8864,0.0480,0.1029,1.0000,asian,black,0.1160,0.1094
95,medical student,0.6750,0.1310,0.1635,1.0000,asian,black,0.0504,0.1070
129,sheriff,0.8889,0.1346,0.1536,1.0000,asian,black,0.0575,0.1055
110,pilot,0.8194,0.1400,0.1550,1.0000,asian,white,0.0548,0.1049
109,pianist,0.7500,0.1899,0.1541,1.0000,asian,black,0.0554,0.1048
89,lifeguard,0.7667,0.1858,0.1428,1.0000,asian,black,0.0632,0.1030
80,inspector,0.8250,0.1762,0.1712,1.0000,asian,black,0.0337,0.1024
38,coach,0.7500,0.1956,0.1562,1.0000,asian,black,0.0467,0.1014
3,administrator,0.7857,0.1677,0.1764,1.0000,asian,black,0.0250,0.1007
124,salesperson,0.7143,0.1712,0.1776,1.0000,asian,black,0.0234,0.1005
135,surgeon,0.8182,0.0850,0.1133,1.0000,asian,black,0.0866,0.1000
42,construction worker,0.8889,0.1022,0.1400,1.0000,asian,black,0.0575,0.0987
1,accountant,0.9583,0.0910,0.1323,1.0000,asian,black,0.0621,0.0972
8,architect,0.8542,0.1287,0.1180,1.0000,asian,black,0.0754,0.0967
24,builder,0.8676,0.1180,0.1334,1.0000,asian,white,0.0549,0.0942
83,judge,0.8333,0.1288,0.1478,1.0000,asian,black,0.0394,0.0936
66,fireman,0.8077,0.1082,0.1358,1.0000,asian,black,0.0492,0.0925
94,mechanic,0.8529,0.1096,0.1073,1.0000,asian,white,0.0775,0.0924
93,mathematician,0.8500,0.1155,0.1153,1.0000,asian,white,0.0677,0.0915
90,linguist,0.8438,0.1523,0.1415,1.0000,hispanic,white,0.0412,0.0913
46,dealer,0.8667,0.1452,0.1456,1.0000,asian,black,0.0359,0.0907
61,engineer,0.8281,0.1211,0.1163,1.0000,asian,white,0.0648,0.0905
34,chief,0.8036,0.1546,0.1595,1.0000,asian,black,0.0211,0.0903
116,producer,0.8056,0.1044,0.1581,1.0000,asian,black,0.0224,0.0903
30,CEO,0.8438,0.0765,0.1447,1.0000,asian,black,0.0356,0.0901
111,plumber,0.7812,0.0760,0.1075,1.0000,asian,black,0.0725,0.0900
28,carpenter,0.8750,0.0801,0.0952,1.0000,asian,black,0.0833,0.0892
120,radiologist,0.7500,0.1299,0.1307,1.0000,asian,black,0.0465,0.0886
92,manager,0.8667,0.1129,0.1341,1.0000,asian,black,0.0431,0.0886
