,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.09499037001689431,0.056488267813809216,0.005275948626533623,0.0028218709841643557,0.03989411436035038,0.2372690073591657,0.19179040977114345,0.0026919853563656584,0.0020417948695028135,0.1084482993390444,0.019780287950081712,0.007724624805797992,0.028610045544193163,0.01769394463804392,0.018452225734529197,0.10482139807588127,0.006375028213401394,0.0032078999591416122,0.012709284721920955
nn1,0.8584310656711459,0.8612372154593467,0.9156517050635646,0.9792208969593048,0.9036352207883405,0.7327482773186639,0.783728999465704,0.9693727816494417,0.9809032786509086,0.8666883342711796,0.8969958595773007,0.8940347636287863,0.8100176662214347,0.8225287849925168,0.8558942686050096,0.8238598472855992,0.9269520351574204,0.961287165580805,0.8582817743106516
cn1,0.046578563003567976,0.08227451542648487,0.07907234549745393,0.01795723312935824,0.05647066426421625,0.0299827132395003,0.0244805911576841,0.027935236171019118,0.01705493129677428,0.02486336796624445,0.08322385016908036,0.09824061405379325,0.1613722864484553,0.15977727202078343,0.12565350567302808,0.0713187532407955,0.0666729386948637,0.03550493652365139,0.12900894303728833
en2,0.046566187103278936,0.03622507863643114,0.004565790724369999,0.0028069790820029147,0.022541008886520747,0.10042790057114326,0.07905700800614432,0.0024564749861306604,0.001968032881167942,0.04597735411114655,0.022503707067486136,0.00841873685633552,0.023795301939864944,0.019005883730910757,0.01843090739864934,0.05142919722072479,0.0065369830434862984,0.002949319418417879,0.013712310293623138
nn2,0.8568763551265002,0.8498278661817312,0.9055490099208455,0.9773416914816561,0.8973987306776833,0.7300413370355964,0.8272483428791165,0.9498966827358998,0.9759234272200485,0.8707774474676653,0.870493195633939,0.8725749581036243,0.764589518731968,0.8389750188431268,0.8366581728281645,0.8165127692648086,0.9200434647175335,0.9521777028396124,0.8557749884733755
cn2,0.09655745730130003,0.11394705547625199,0.08988520785720205,0.019851330218130146,0.08006026271322104,0.1695307608442381,0.09369464935851284,0.04764684224763597,0.022108542765008992,0.08324519880384898,0.10700309712519036,0.11900630280036818,0.21161517226772214,0.14201909572279203,0.14491091697901817,0.13205803206220257,0.07341955360185623,0.04487298077199429,0.1305126992615801
en3,,,0.006418616971670007,0.004659225758775298,0.005538921365222653,,,0.003958981812105212,0.002970765459206726,0.003464873635655969,,,,,,,0.004501897500439311,0.004501897500439311,
nn3,,,0.8536940674546739,0.9781953728404539,0.9159447201475639,,,0.9219493143995043,0.97101408191796,0.9464816981587322,,,,,,,0.931213209153148,0.931213209153148,
cn3,,,0.13988731446033212,0.01714539824149989,0.078516356350916,,,0.07409170168963536,0.0260151505534505,0.05005342612154293,,,,,,,0.06428489123622946,0.06428489123622946,
en4,,,0.009563550371086409,0.006180420415556251,0.00787198539332133,,,0.004649706771859611,0.0033093653217857255,0.003979536046822668,,,,,,,0.005925760720071999,0.005925760720071999,
nn4,,,0.8340408760057368,0.9752634938420921,0.9046521849239144,,,0.9269431632169536,0.9695274423936318,0.9482353028052927,,,,,,,0.9264437438646035,0.9264437438646035,
cn4,,,0.15639557280171085,0.018556083014620275,0.08747582790816556,,,0.06840713049324465,0.027163187419224917,0.04778515895623478,,,,,,,0.06763049343220018,0.06763049343220018,
en_avg,0.07077827856008662,0.046356673225120174,0.006455976673415009,0.0041171240601247045,0.03192701312968663,0.16884845396515447,0.13542370888864388,0.0034392872316152856,0.0025724896329158017,0.07757098492958235,0.021141997508783924,0.008071680831066757,0.026202673742029055,0.018349914184477338,0.018441566566589268,0.07812529764830302,0.007167745435602482,0.0041462193995177,0.013210797507772046
nn_avg,0.857653710398823,0.855532540820539,0.8772339146112053,0.9775053637808767,0.8919813824028611,0.7313948071771301,0.8054886711724103,0.9420404855004498,0.9743420575456373,0.8633165053489068,0.8837445276056198,0.8833048608662053,0.7873035924767013,0.8307519019178218,0.846276220716587,0.820186308275204,0.9141964307036993,0.9427804553595422,0.8570283813920135
cn_avg,0.071568010152434,0.09811078545136843,0.11631011015417474,0.018377511150902137,0.07609160422721983,0.0997567370418692,0.05908762025809847,0.05452022765038378,0.023085453008614674,0.059112509489741526,0.09511347364713536,0.10862345842708071,0.18649372935808872,0.15089818387178772,0.13528221132602314,0.10168839265149902,0.07863582404382395,0.053073325491018834,0.1297608211494342
en_std,0.03306652456935262,0.019419916513550562,0.0020353725033402607,0.001435635734880732,0.013989362330281042,0.07159002936747856,0.060824202649702785,0.0009288622120960756,0.0005926061331201677,0.033483925090599394,0.0037802264906783055,0.0014815962733171712,0.014794687724990716,0.010307413678585035,0.007590981041892807,0.03391259788595892,0.0027969144225565737,0.001248119145859309,0.005894504975951103
nn_std,0.04231384619697928,0.034296156726777556,0.04037125769080754,0.0031472320815928664,0.03003212317403931,0.06939321340015157,0.043450398448854684,0.021245044408381555,0.005941804185338502,0.035007615110681574,0.022932469924079612,0.021775672296908768,0.11116844780689245,0.09668786938471116,0.063141114853148,0.05392575541728919,0.0315281466746234,0.017676334591530115,0.059231770840809966
cn_std,0.036789828667766415,0.03990573336312082,0.03896693437240533,0.003049411211367512,0.02967797690366502,0.07096873205911834,0.03654898982448503,0.020584760195931147,0.005628818333800122,0.03343282510333366,0.02111163080491601,0.021720114391593433,0.1076101354204988,0.0951001020785341,0.061385495673885584,0.05215584168998424,0.030841690097271942,0.017057481028376027,0.05841010823506377
accstd,,,,,,,,,,,,,,,,,,,
acc,0.94175,0.948,0.9982394366197183,1.0,0.9719973591549296,0.7735,0.80775,1.0,1.0,0.8953125,0.9574468085106383,0.9772727272727273,0.8732782369146005,0.8866120218579234,0.9236524486389723,0.8836208409042065,0.9770206976250616,0.9995598591549295,0.9319423745653254
std,0.07478013295606556,0.06241453773563262,0.05424904304436876,0.00508818601856074,0.04913297493865692,0.14130131655116565,0.093882393948695,0.028505777877605856,0.00810881910150586,0.06794957686974308,0.03188288481311595,0.02998492197454625,0.15571551396825464,0.1347302567612202,0.08807839437928426,0.09332946332882158,0.04344450079630128,0.023987956510510305,0.08235758936788322
