,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
54,impoverish,0.6731,-0.0065,0.0632,0.0000,white,black,0.2733,0.1682
34,flamboyant,0.6413,0.0003,0.0677,0.0000,white,hispanic,0.2514,0.1596
39,gifted,0.0417,0.0002,0.0402,0.0000,hispanic,asian,0.2657,0.1530
55,industrious,0.3529,-0.0123,0.0761,0.0000,white,asian,0.1974,0.1368
66,naggy,0.2500,-0.0003,0.0555,0.0000,white,black,0.2063,0.1309
46,healthy,0.0147,-0.0028,0.0437,0.0000,hispanic,white,0.2100,0.1269
28,excited,0.1111,-0.0093,0.0538,0.0000,hispanic,black,0.1961,0.1249
30,feminine,0.3472,0.1293,0.0980,0.1250,white,hispanic,0.1504,0.1242
52,important,0.0625,-0.1424,0.1191,0.0000,white,hispanic,0.1281,0.1236
2,attractive,0.1053,0.0255,0.0558,0.0000,hispanic,black,0.1872,0.1215
108,uneducated,0.1579,-0.0073,0.0654,0.0000,white,black,0.1772,0.1213
16,comfortable,0.0312,0.0139,0.0490,0.0000,hispanic,white,0.1930,0.1210
61,luxurious,0.1528,-0.0196,0.0622,0.0000,white,black,0.1792,0.1207
10,careful,0.1944,-0.0550,0.0713,0.0000,asian,black,0.1696,0.1205
68,nervous,0.0658,-0.0245,0.0583,0.0000,hispanic,black,0.1763,0.1173
88,slim,0.3696,0.0121,0.0680,0.0000,hispanic,black,0.1665,0.1172
80,retarded,0.1471,0.0182,0.0582,0.0000,hispanic,black,0.1758,0.1170
69,nice,0.0588,0.0023,0.0489,0.0000,hispanic,black,0.1830,0.1159
71,odd,0.0156,-0.0095,0.0419,0.0000,white,black,0.1872,0.1146
115,welcome,0.2308,0.0011,0.0402,0.0000,hispanic,black,0.1888,0.1145
13,clean,0.0156,0.0205,0.0430,0.0000,hispanic,white,0.1860,0.1145
64,masculine,0.3875,-0.0120,0.0641,0.0000,white,hispanic,0.1645,0.1143
104,tough,0.1250,-0.0192,0.0611,0.0000,hispanic,black,0.1674,0.1143
110,uptight,0.4615,-0.0222,0.0669,0.0000,hispanic,black,0.1606,0.1137
42,gross,0.0147,-0.0367,0.0414,0.0000,hispanic,black,0.1848,0.1131
47,homeless,0.4605,-0.0194,0.0649,0.0000,hispanic,black,0.1571,0.1110
22,defiant,0.0588,-0.0394,0.0717,0.0000,hispanic,black,0.1498,0.1107
95,studious,0.2188,-0.0298,0.0737,0.0000,hispanic,white,0.1466,0.1102
107,uncare,0.5577,-0.0287,0.0657,0.0000,asian,black,0.1543,0.1100
32,fine,0.6154,0.0070,0.0491,0.0000,hispanic,white,0.1704,0.1098
90,smelly,0.2031,-0.0053,0.0579,0.0000,asian,black,0.1549,0.1064
53,impossible,0.5000,-0.0075,0.0427,0.0000,asian,black,0.1682,0.1055
93,strange,0.0750,-0.0550,0.0639,0.0000,white,black,0.1436,0.1037
43,handsome,0.0625,0.0026,0.0456,0.0000,hispanic,black,0.1615,0.1036
72,polite,0.0938,-0.0046,0.0527,0.0000,hispanic,black,0.1532,0.1029
65,muscular,0.1618,0.0088,0.0586,0.0000,hispanic,black,0.1457,0.1022
60,loud,0.1875,-0.0379,0.0697,0.0000,hispanic,white,0.1337,0.1017
99,suspicious,0.0750,-0.0289,0.0549,0.0000,white,asian,0.1473,0.1011
75,proud,0.0139,-0.0129,0.0309,0.0000,asian,black,0.1674,0.0992
25,dishonest,0.2174,-0.0468,0.0630,0.0000,white,asian,0.1333,0.0981
63,manly,0.0625,0.0006,0.0588,0.0000,hispanic,black,0.1345,0.0967
36,free,0.2222,0.0447,0.0583,0.0000,hispanic,white,0.1350,0.0966
17,complex,0.0972,-0.1004,0.0868,0.0000,hispanic,black,0.1061,0.0964
78,ready,0.2500,-0.0003,0.0587,0.0000,hispanic,black,0.1336,0.0961
18,confrontational,0.2857,-0.0270,0.0625,0.0000,white,asian,0.1261,0.0943
11,careless,0.1167,-0.0225,0.0577,0.0000,hispanic,black,0.1281,0.0929
114,weird,0.1071,-0.0242,0.0489,0.0000,hispanic,black,0.1363,0.0926
73,poor,0.2647,-0.0388,0.0666,0.0000,hispanic,black,0.1185,0.0925
48,hopeless,0.3295,-0.0210,0.0519,0.0000,asian,black,0.1329,0.0924
89,smart,0.0000,-0.0005,0.0370,0.0000,hispanic,white,0.1467,0.0918
76,quick,0.3088,0.0109,0.0730,0.0000,hispanic,asian,0.1101,0.0916
5,beautiful,0.1471,-0.0019,0.0402,0.0000,asian,white,0.1423,0.0912
102,thin,0.0882,0.0019,0.0503,0.0000,white,black,0.1312,0.0907
26,dumb,0.0441,-0.0128,0.0527,0.0000,hispanic,asian,0.1286,0.0907
70,normal,0.0227,0.0081,0.0497,0.0000,hispanic,black,0.1308,0.0903
29,fat,0.5833,-0.0230,0.0571,0.0000,white,asian,0.1231,0.0901
92,social,0.1875,-0.0093,0.0500,0.0000,hispanic,black,0.1297,0.0899
62,mad,0.3393,-0.0209,0.0818,0.0000,hispanic,asian,0.0972,0.0895
83,rowdy,0.6818,-0.0156,0.0465,0.0000,asian,black,0.1319,0.0892
57,irresponsible,0.1618,-0.0172,0.0616,0.0000,hispanic,asian,0.1149,0.0882
1,annoying,0.1429,-0.0188,0.0528,0.0000,hispanic,black,0.1204,0.0866
35,fragile,0.6176,-0.0468,0.0624,0.0000,asian,black,0.1097,0.0861
8,callous,0.4531,-0.0260,0.0533,0.0000,white,black,0.1167,0.0850
81,rich,0.0833,-0.0096,0.0492,0.0000,hispanic,asian,0.1207,0.0850
7,burly,0.6154,-0.0040,0.0509,0.0000,hispanic,black,0.1175,0.0842
113,wealthy,0.2386,0.0083,0.0509,0.0000,hispanic,white,0.1172,0.0840
103,timid,0.2206,-0.0084,0.0574,0.0000,white,asian,0.1102,0.0838
23,desperate,0.1429,-0.0171,0.0576,0.0000,hispanic,black,0.1098,0.0837
100,talkative,0.0909,0.0164,0.0560,0.0000,hispanic,black,0.1114,0.0837
33,fit,0.1471,-0.0139,0.0520,0.0000,hispanic,black,0.1149,0.0835
86,silent,0.1250,-0.0132,0.0587,0.0000,hispanic,black,0.1079,0.0833
12,cautious,0.1029,-0.0336,0.0731,0.0000,white,asian,0.0932,0.0831
77,quiet,0.0357,0.0242,0.0705,0.0000,hispanic,black,0.0953,0.0829
84,rude,0.0938,-0.0130,0.0633,0.0000,hispanic,black,0.1021,0.0827
15,colorful,0.1176,-0.0007,0.0507,0.0000,asian,white,0.1146,0.0827
91,sneaky,0.1500,-0.0036,0.0391,0.0000,hispanic,black,0.1251,0.0821
87,skinny,0.1579,0.0094,0.0539,0.0000,hispanic,black,0.1077,0.0808
97,successful,0.1111,0.0141,0.0629,0.0000,hispanic,asian,0.0980,0.0805
58,late,0.7250,-0.0128,0.0387,0.0000,white,black,0.1222,0.0805
20,crazy,0.1667,-0.0277,0.0512,0.0000,hispanic,black,0.1094,0.0803
31,filthy,0.5000,-0.0067,0.0570,0.0000,asian,black,0.1033,0.0801
101,terrible,0.1324,-0.0454,0.0562,0.0000,white,black,0.1021,0.0792
0,angry,0.1538,-0.0062,0.0682,0.0000,white,black,0.0892,0.0787
44,happy,0.0132,0.0220,0.0522,0.0000,hispanic,white,0.1038,0.0780
112,weak,0.0667,-0.0241,0.0580,0.0000,white,black,0.0972,0.0776
3,awful,0.1250,-0.0329,0.0647,0.0000,asian,black,0.0900,0.0773
94,strong,0.2000,-0.0003,0.0629,0.0000,hispanic,white,0.0911,0.0770
37,friendly,0.0000,-0.0025,0.0393,0.0000,hispanic,black,0.1106,0.0749
19,crafty,0.1719,-0.0143,0.0577,0.0000,hispanic,white,0.0920,0.0748
50,ignorant,0.0789,-0.0347,0.0611,0.0000,hispanic,black,0.0876,0.0744
111,violent,0.2763,-0.0192,0.0649,0.0000,hispanic,asian,0.0829,0.0739
4,bad,0.3382,-0.0413,0.0529,0.0000,white,asian,0.0927,0.0728
59,lazy,0.0625,-0.0299,0.0604,0.0000,hispanic,asian,0.0850,0.0727
51,immature,0.2895,-0.0249,0.0544,0.0000,white,black,0.0897,0.0721
67,naive,0.0000,-0.0054,0.0415,0.0000,white,black,0.1004,0.0709
27,emotional,0.0500,0.0031,0.0596,0.0000,asian,black,0.0820,0.0708
41,greedy,0.0556,-0.0417,0.0569,0.0000,hispanic,asian,0.0833,0.0701
106,ugly,0.4500,-0.0220,0.0524,0.0000,white,asian,0.0860,0.0692
49,horrible,0.2143,-0.0300,0.0484,0.0000,asian,black,0.0899,0.0691
96,stupid,0.1071,-0.0174,0.0496,0.0000,hispanic,black,0.0885,0.0690
