,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
31,chef,0.4375,-0.1456,0.1693,0.1250,hispanic,white,0.1925,0.1809
38,coach,0.5333,-0.0657,0.1145,0.1250,hispanic,asian,0.2152,0.1649
97,mover,0.4211,-0.0524,0.0772,0.0000,white,black,0.2386,0.1579
71,guard,0.3421,-0.0737,0.0931,0.0000,white,black,0.2225,0.1578
24,builder,0.5294,-0.1481,0.1282,0.0000,hispanic,asian,0.1754,0.1518
113,police officer,0.4643,-0.0276,0.1240,0.0000,white,asian,0.1772,0.1506
128,servant,0.4000,-0.0549,0.0800,0.0000,white,black,0.2126,0.1463
14,attendant,0.0000,-0.0616,0.0635,0.0000,hispanic,black,0.2263,0.1449
77,hostess,0.6176,-0.0008,0.0708,0.0000,white,black,0.2130,0.1419
26,butcher,0.2656,-0.1135,0.1126,0.0000,hispanic,white,0.1693,0.1409
64,farmer,0.4091,-0.1147,0.1452,0.0000,asian,black,0.1366,0.1409
48,dentist,0.6591,-0.0338,0.0997,0.0000,hispanic,white,0.1817,0.1407
1,accountant,0.1875,-0.0591,0.0906,0.0000,hispanic,black,0.1876,0.1391
33,chess player,0.1250,-0.0187,0.0719,0.0000,hispanic,asian,0.2057,0.1388
47,delivery,0.0667,-0.0668,0.0774,0.0000,white,black,0.1997,0.1386
16,auditor,0.3906,-0.0539,0.1035,0.0000,hispanic,black,0.1736,0.1385
105,pharmacist,0.5625,-0.0465,0.0851,0.0000,white,asian,0.1907,0.1379
127,security guard,0.0455,-0.0708,0.0947,0.0000,hispanic,black,0.1796,0.1372
21,bartender,0.6364,-0.0475,0.0714,0.0000,hispanic,black,0.2029,0.1371
11,assistant,0.3529,-0.0128,0.0637,0.0000,hispanic,black,0.2097,0.1367
75,handyman,0.3235,-0.0307,0.0708,0.0000,hispanic,black,0.1999,0.1353
94,mechanic,0.3971,-0.0357,0.0832,0.0000,hispanic,black,0.1809,0.1321
34,chief,0.2500,-0.0740,0.1066,0.1250,hispanic,black,0.1566,0.1316
22,boxer,0.5156,-0.0296,0.0923,0.0000,hispanic,asian,0.1675,0.1299
134,supervisor,0.3036,-0.0506,0.0781,0.0000,hispanic,black,0.1794,0.1288
9,army,0.5385,-0.0481,0.0914,0.1250,white,asian,0.1655,0.1284
54,drawer,0.0179,-0.0164,0.0455,0.0000,hispanic,white,0.2110,0.1283
67,football player,0.4808,-0.0016,0.1125,0.1250,hispanic,asian,0.1407,0.1266
133,soldier,0.3382,-0.0621,0.0966,0.0000,white,black,0.1559,0.1263
28,carpenter,0.3750,-0.0613,0.0841,0.0000,hispanic,white,0.1666,0.1253
83,judge,0.4583,-0.0663,0.1262,0.0000,hispanic,asian,0.1229,0.1246
92,manager,0.4000,-0.0283,0.0836,0.0000,hispanic,black,0.1653,0.1244
101,opera singer,0.7679,-0.0319,0.1111,0.2500,black,asian,0.1370,0.1241
15,attourney,0.4844,-0.0245,0.0833,0.0000,white,black,0.1635,0.1234
85,landlord,0.2955,-0.1205,0.1021,0.0000,hispanic,asian,0.1425,0.1223
69,gambler,0.4118,-0.0544,0.0800,0.0000,white,asian,0.1644,0.1222
37,clerk,0.4559,-0.0449,0.0724,0.0000,hispanic,black,0.1713,0.1219
27,butler,0.1875,-0.0258,0.0617,0.0000,hispanic,black,0.1807,0.1212
118,prosecutor,0.5577,-0.0489,0.0794,0.0000,hispanic,asian,0.1629,0.1211
36,cleaner,0.1136,-0.0709,0.0709,0.0000,hispanic,black,0.1712,0.1211
30,CEO,0.5156,0.0102,0.0767,0.2500,hispanic,black,0.1651,0.1209
130,singer,0.6042,-0.0095,0.0821,0.0000,white,asian,0.1590,0.1205
81,janitor,0.1346,-0.0830,0.0719,0.0000,white,black,0.1690,0.1204
129,sheriff,0.5000,-0.0356,0.1088,0.0000,hispanic,black,0.1308,0.1198
122,receptionist,0.5357,0.0122,0.0491,0.0000,hispanic,black,0.1903,0.1197
53,doctor,0.5167,-0.0545,0.0902,0.0000,hispanic,white,0.1482,0.1192
19,banker,0.1667,-0.0802,0.0730,0.0000,hispanic,asian,0.1654,0.1192
99,nurse,0.0833,0.0434,0.0797,0.0000,hispanic,black,0.1585,0.1191
42,construction worker,0.1806,0.0014,0.1108,0.0000,white,black,0.1266,0.1187
61,engineer,0.1250,-0.0495,0.0833,0.0000,hispanic,asian,0.1539,0.1186
141,umpire,0.3250,-0.0560,0.1104,0.1250,hispanic,asian,0.1263,0.1183
44,counselor,0.1071,-0.0421,0.0790,0.0000,hispanic,white,0.1572,0.1181
106,photographer,0.3889,-0.0817,0.0782,0.0000,hispanic,white,0.1563,0.1173
58,electrician,0.4643,-0.0352,0.0683,0.0000,asian,white,0.1660,0.1172
73,hairdresser,0.3125,-0.1002,0.0972,0.0000,black,white,0.1355,0.1163
137,tailor,0.0000,-0.0565,0.0726,0.0000,hispanic,black,0.1600,0.1163
115,postman,0.3846,-0.0830,0.0957,0.0000,white,asian,0.1354,0.1155
62,entrepreneur,0.3125,-0.0102,0.0608,0.0000,hispanic,black,0.1689,0.1148
50,detective,0.6667,-0.0323,0.1020,0.0000,white,black,0.1276,0.1148
2,actor,0.5833,-0.0638,0.1153,0.0000,white,asian,0.1138,0.1146
49,designer,0.4853,-0.0152,0.0624,0.1250,white,black,0.1666,0.1145
63,executive,0.0694,-0.0209,0.0689,0.0000,hispanic,black,0.1597,0.1143
55,driver,0.5833,-0.0143,0.0523,0.0000,hispanic,black,0.1757,0.1140
124,salesperson,0.2321,-0.0480,0.0840,0.0000,hispanic,black,0.1429,0.1135
