,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
115,welcome,0.7115,0.1999,0.2207,1.0000,hispanic,asian,0.0002,0.1105
32,fine,0.8077,0.0832,0.2126,1.0000,hispanic,asian,0.0006,0.1066
12,cautious,0.9118,0.1936,0.1308,1.0000,hispanic,black,0.0003,0.0656
73,poor,0.9265,0.1410,0.1249,1.0000,hispanic,asian,0.0028,0.0639
10,careful,0.8889,0.1737,0.1220,1.0000,hispanic,black,0.0007,0.0613
17,complex,0.9444,0.0283,0.1208,1.0000,hispanic,black,0.0002,0.0605
35,fragile,0.9118,0.1584,0.1175,1.0000,hispanic,black,0.0016,0.0596
92,social,0.9250,0.0609,0.1178,1.0000,hispanic,asian,0.0004,0.0591
78,ready,0.9219,0.0215,0.1167,1.0000,hispanic,black,0.0010,0.0589
47,homeless,0.9605,0.0950,0.1137,1.0000,hispanic,asian,0.0003,0.0570
7,burly,0.9038,0.1466,0.1119,1.0000,hispanic,white,0.0003,0.0561
110,uptight,0.9038,0.1644,0.1111,1.0000,hispanic,white,0.0002,0.0556
52,important,0.9219,0.0357,0.1083,1.0000,hispanic,black,0.0002,0.0542
66,naggy,0.9375,0.0148,0.1033,1.0000,hispanic,asian,0.0005,0.0519
58,late,0.9125,0.1482,0.1034,1.0000,hispanic,asian,0.0002,0.0518
94,strong,0.9125,0.1164,0.1026,1.0000,hispanic,black,0.0002,0.0514
76,quick,0.9265,0.1373,0.0942,1.0000,hispanic,black,0.0003,0.0473
63,manly,0.9167,0.0808,0.0930,1.0000,hispanic,white,0.0004,0.0467
1,annoying,0.9286,0.1358,0.0914,1.0000,hispanic,asian,0.0003,0.0459
34,flamboyant,0.8913,0.1203,0.0911,1.0000,hispanic,asian,0.0002,0.0456
83,rowdy,0.8864,0.0926,0.0882,1.0000,hispanic,white,0.0027,0.0454
82,right,0.9375,0.0342,0.0901,1.0000,hispanic,black,0.0005,0.0453
64,masculine,0.9500,0.1051,0.0892,1.0000,hispanic,black,0.0014,0.0453
108,uneducated,0.9079,0.1201,0.0885,1.0000,hispanic,black,0.0003,0.0444
