,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
140,theologian,0.7692,0.2239,0.3162,1.0000,hispanic,black,0.0004,0.1583
59,employee,0.7500,0.2304,0.2635,1.0000,hispanic,asian,0.0005,0.1320
53,doctor,0.6833,0.1595,0.2585,1.0000,hispanic,black,0.0024,0.1304
12,astronomer,0.7778,0.3441,0.2552,1.0000,hispanic,black,0.0013,0.1283
38,coach,0.7333,0.3186,0.2556,1.0000,hispanic,white,0.0002,0.1279
85,landlord,0.7045,0.3482,0.2497,1.0000,hispanic,asian,0.0003,0.1250
86,lawn mower,0.7833,0.1324,0.2449,1.0000,hispanic,black,0.0033,0.1241
25,businessperson,0.8393,0.3311,0.2291,1.0000,hispanic,asian,0.0002,0.1146
64,farmer,0.8409,0.2014,0.2238,1.0000,hispanic,asian,0.0005,0.1121
109,pianist,0.8214,0.3220,0.2231,1.0000,hispanic,asian,0.0005,0.1118
41,composer,0.7885,0.3268,0.2213,1.0000,hispanic,black,0.0006,0.1110
9,army,0.7500,0.1694,0.2210,1.0000,hispanic,black,0.0006,0.1108
141,umpire,0.8000,0.2105,0.2202,1.0000,hispanic,black,0.0003,0.1102
8,architect,0.8125,0.2834,0.2186,1.0000,hispanic,asian,0.0004,0.1095
103,pensioner,0.8269,0.3079,0.2130,1.0000,hispanic,black,0.0006,0.1068
40,commander,0.7955,0.1623,0.2126,1.0000,hispanic,black,0.0005,0.1066
62,entrepreneur,0.8333,0.3145,0.2110,1.0000,white,asian,0.0006,0.1058
61,engineer,0.8281,0.3037,0.2093,1.0000,hispanic,white,0.0015,0.1054
34,chief,0.8036,0.1075,0.2082,1.0000,hispanic,asian,0.0004,0.1043
46,dealer,0.7833,0.1874,0.2044,1.0000,hispanic,asian,0.0007,0.1025
128,servant,0.8333,0.2411,0.2039,1.0000,hispanic,asian,0.0011,0.1025
133,soldier,0.7794,0.2591,0.1969,1.0000,white,asian,0.0050,0.1010
50,detective,0.8500,0.1201,0.1994,1.0000,hispanic,asian,0.0012,0.1003
115,postman,0.8462,0.2978,0.1998,1.0000,hispanic,black,0.0003,0.1001
20,barber,0.8611,0.0760,0.1982,1.0000,hispanic,asian,0.0002,0.0992
24,builder,0.7941,0.2512,0.1980,1.0000,hispanic,black,0.0002,0.0991
21,bartender,0.7955,0.1493,0.1969,1.0000,hispanic,asian,0.0005,0.0987
52,director,0.8214,0.1393,0.1947,1.0000,hispanic,black,0.0003,0.0975
129,sheriff,0.7778,0.1528,0.1895,1.0000,hispanic,asian,0.0002,0.0949
83,judge,0.8958,0.2206,0.1849,1.0000,hispanic,black,0.0002,0.0926
6,airman,0.8611,0.2723,0.1825,1.0000,hispanic,asian,0.0007,0.0916
47,delivery,0.8167,0.0951,0.1810,1.0000,hispanic,asian,0.0006,0.0908
125,scientist,0.8409,0.1976,0.1804,1.0000,hispanic,black,0.0010,0.0907
92,manager,0.8833,0.2207,0.1809,1.0000,hispanic,black,0.0002,0.0905
132,software engineer,0.8667,0.2692,0.1804,1.0000,hispanic,black,0.0004,0.0904
51,diplomat,0.8500,0.2615,0.1795,1.0000,hispanic,asian,0.0003,0.0899
10,artist,0.9038,0.1160,0.1490,1.0000,white,black,0.0301,0.0895
3,administrator,0.8214,0.2072,0.1785,1.0000,hispanic,asian,0.0005,0.0895
116,producer,0.8750,0.1726,0.1744,1.0000,hispanic,black,0.0004,0.0874
60,employment,0.7969,0.1081,0.1739,1.0000,hispanic,asian,0.0004,0.0872
130,singer,0.8958,0.2008,0.1720,1.0000,hispanic,black,0.0007,0.0863
14,attendant,0.8636,0.2493,0.1695,1.0000,hispanic,black,0.0003,0.0849
114,politician,0.8750,0.2352,0.1655,1.0000,hispanic,black,0.0025,0.0840
87,lawyer,0.8553,0.1729,0.1670,1.0000,hispanic,asian,0.0003,0.0837
54,drawer,0.8571,0.0943,0.1670,1.0000,hispanic,black,0.0003,0.0836
77,hostess,0.7647,-0.0063,0.1657,1.0000,hispanic,asian,0.0005,0.0831
80,inspector,0.8000,0.1904,0.1654,1.0000,hispanic,black,0.0006,0.0830
95,medical student,0.8750,0.2253,0.1643,1.0000,hispanic,asian,0.0005,0.0824
55,driver,0.8750,0.1554,0.1636,1.0000,hispanic,black,0.0004,0.0820
