,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.10653454997017979,0.1044444529004395,0.08474308399247452,0.09987140819430351,0.09889837376434932,0.06725261262059212,0.07519064570218324,0.0534655507916296,0.06946294436809318,0.06634293837062454,0.03872592687765335,0.0375614737118171,0.04155504290199231,0.036554627460198566,0.03859926773791533,0.07228387182884005,0.0768857468366252,0.037058050586007835
nn1,0.6488492622673512,0.5708012492209673,0.7030824741847078,0.668551099711451,0.6478210213461193,0.7812285399734974,0.7727096959650517,0.8237181662673682,0.7701475938846325,0.7869509990226375,0.8137781987798974,0.7743723964826628,0.7827926680815122,0.7901959167640717,0.790284795027036,0.7283599357147129,0.7413748335120398,0.7822841566233673
cn1,0.2446161860600114,0.32475429759174584,0.21217444014381354,0.2315774917088706,0.25328060387611034,0.15151884635910393,0.1520996580608189,0.12281628089471602,0.16038946460547118,0.14670606248002752,0.1474958769184478,0.18806613850491968,0.17565228634567792,0.1732494574169949,0.17111593979651007,0.19935619188930098,0.18173941933821783,0.1806577979609573
en2,0.10954737167060376,0.1070199315585196,0.0820986834735098,0.09993186381099553,0.09964946262840718,0.06469623483903707,0.07141373793780803,0.050056477693814626,0.06576881830676876,0.06298381719435713,0.0387140782748131,0.040046804965558375,0.042810465601726994,0.0355143921724597,0.03927143525363954,0.0723669699804181,0.07446396082127218,0.03778059856900903
nn2,0.663295070335269,0.5936545546352864,0.7260291937371375,0.6893001306673576,0.6680697373437626,0.7969799359738827,0.7871118620634079,0.8318713907624634,0.7787864603872957,0.7986874122967624,0.8089931657973756,0.7553133564916524,0.7640647021206942,0.8296086556110226,0.7894949700051862,0.7356832151543192,0.7564967938885635,0.7924610060513375
cn2,0.22715755684673786,0.29932551527768375,0.19187212273688384,0.21076799909873256,0.2322807984900095,0.13832382940128446,0.14147440049052237,0.11807213519030893,0.15544472230148726,0.13832877184590076,0.1522927496661531,0.20463984082876283,0.19312482485778568,0.13487695403336014,0.17123359234651542,0.19194981275669454,0.16903924483185312,0.16975839743106147
en3,,,0.08536211999369339,0.09660642048151329,0.09098427023760333,,,0.042096237586417666,0.05551421208756751,0.04880522483699259,,,,,,,0.06989474753729796,
nn3,,,0.7472922315060253,0.7191009310812786,0.733196581293652,,,0.8666772636729227,0.815187945448119,0.8409326045605209,,,,,,,0.7870645929270863,
cn3,,,0.1673456460342441,0.1842926494006453,0.1758191477174447,,,0.09122650005238157,0.12929784320294857,0.11026217162766508,,,,,,,0.1430406596725549,
