,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
31,filthy,0.0000,0.0956,0.0645,0.8750,,,0.2323,0.1484,0.9167,asian,white
70,normal,0.0000,0.0501,0.1015,0.6250,,,0.1789,0.1402,0.8067,asian,white
30,feminine,0.0000,-0.1729,0.1153,1.0000,,,0.1367,0.1260,0.8440,asian,white
29,fat,0.0000,0.0348,0.0273,0.8750,,,0.2000,0.1137,0.9423,asian,hispanic
64,masculine,0.0000,0.1475,0.0994,1.0000,,,0.1191,0.1092,0.8135,asian,white
81,rich,0.0000,0.0901,0.0620,1.0000,,,0.1500,0.1060,0.8196,black,hispanic
94,strong,0.0000,0.0118,0.0143,0.8750,,,0.1935,0.1039,0.9246,asian,hispanic
65,muscular,0.0000,0.0622,0.0414,1.0000,,,0.1661,0.1038,0.9573,asian,hispanic
107,uncare,0.0000,0.1351,0.0911,1.0000,,,0.1126,0.1019,0.8933,black,white
63,manly,0.0000,0.1133,0.0755,1.0000,,,0.1206,0.0981,0.9138,black,hispanic
51,immature,0.0000,0.1165,0.0777,1.0000,,,0.1135,0.0956,0.9216,asian,hispanic
15,colorful,0.0000,0.0516,0.0368,1.0000,,,0.1538,0.0953,0.9518,asian,white
79,respected,0.0000,0.0505,0.0357,0.8750,,,0.1542,0.0949,0.8059,black,hispanic
32,fine,0.0000,0.0134,0.0141,0.8750,,,0.1733,0.0937,0.9531,asian,hispanic
82,right,0.0000,0.0344,0.0476,0.8750,,,0.1393,0.0934,0.7831,asian,hispanic
13,clean,0.0000,0.0434,0.0321,1.0000,,,0.1522,0.0921,0.9776,asian,white
66,naggy,0.0000,0.0356,0.0351,1.0000,,,0.1398,0.0874,0.9158,black,white
24,dirty,0.0000,0.0979,0.0653,1.0000,,,0.1082,0.0867,0.9665,asian,white
1,annoying,0.2500,0.0726,0.0491,1.0000,,,0.1238,0.0864,0.9486,asian,white
34,flamboyant,0.0000,0.0470,0.0336,1.0000,,,0.1382,0.0859,0.9388,black,hispanic
26,dumb,0.0000,0.1080,0.0753,1.0000,,,0.0949,0.0851,0.9196,asian,hispanic
58,late,0.0000,0.0100,0.0231,0.8750,,,0.1456,0.0844,0.8886,white,hispanic
75,proud,0.0000,0.0217,0.0186,1.0000,,,0.1491,0.0839,0.9238,black,hispanic
43,handsome,0.0000,0.1519,0.1013,1.0000,,,0.0574,0.0793,0.9274,black,hispanic
40,good,0.0000,0.0449,0.0341,1.0000,,,0.1237,0.0789,0.9344,asian,hispanic
46,healthy,0.0000,0.0270,0.0288,1.0000,,,0.1271,0.0779,0.9223,asian,hispanic
111,violent,0.1667,0.1672,0.1139,1.0000,,,0.0387,0.0763,0.9749,black,hispanic
67,naive,0.0000,0.0516,0.0386,1.0000,,,0.1137,0.0762,0.9394,asian,hispanic
78,ready,0.0000,0.0262,0.0218,0.8750,,,0.1242,0.0730,0.8754,asian,hispanic
106,ugly,0.0000,0.1241,0.0828,1.0000,,,0.0547,0.0688,0.9607,asian,white
7,burly,0.0000,0.0968,0.0652,1.0000,,,0.0721,0.0687,0.9279,asian,hispanic
114,weird,0.0833,0.0716,0.0478,1.0000,,,0.0894,0.0686,0.9405,asian,hispanic
42,gross,0.0000,0.0944,0.0643,1.0000,,,0.0720,0.0681,0.9628,black,hispanic
16,comfortable,0.0000,0.0111,0.0182,1.0000,,,0.1174,0.0678,0.9559,black,hispanic
69,nice,0.0000,0.0467,0.0353,1.0000,,,0.0986,0.0669,0.9361,black,hispanic
60,loud,0.0000,0.0405,0.0323,1.0000,,,0.0975,0.0649,0.9366,asian,hispanic
11,careless,0.0000,0.1259,0.0890,1.0000,,,0.0399,0.0645,0.9901,black,hispanic
4,bad,0.0000,0.1142,0.0804,1.0000,,,0.0465,0.0635,0.9768,asian,hispanic
8,callous,0.0000,0.0909,0.0609,1.0000,,,0.0649,0.0629,0.9541,black,hispanic
87,skinny,0.0000,0.0792,0.0534,1.0000,,,0.0722,0.0628,0.9666,asian,white
108,uneducated,0.0000,0.1390,0.0927,1.0000,,,0.0329,0.0628,0.9322,black,white
57,irresponsible,0.0833,0.1469,0.1134,1.0000,,,0.0121,0.0627,0.9793,black,white
47,homeless,0.0000,0.1178,0.0862,1.0000,,,0.0323,0.0592,0.9830,black,hispanic
39,gifted,0.0000,0.0745,0.0497,1.0000,,,0.0596,0.0546,0.8806,white,asian
37,friendly,0.0000,0.1046,0.0698,1.0000,,,0.0394,0.0546,0.9701,black,hispanic
112,weak,0.0000,0.0911,0.0632,1.0000,,,0.0454,0.0543,0.9864,asian,white
84,rude,0.0000,0.1063,0.0708,1.0000,,,0.0361,0.0535,0.9741,asian,hispanic
88,slim,0.0000,0.0418,0.0327,1.0000,,,0.0740,0.0534,0.9412,asian,white
99,suspicious,0.4167,0.1076,0.0871,1.0000,,,0.0196,0.0533,0.9878,asian,hispanic
59,lazy,0.0833,0.1194,0.0810,1.0000,,,0.0254,0.0532,0.9914,asian,white
76,quick,0.0000,0.0221,0.0282,1.0000,,,0.0774,0.0528,0.9516,asian,hispanic
6,brave,0.0000,0.0538,0.0380,1.0000,,,0.0637,0.0509,0.9482,black,hispanic
52,important,0.0000,0.0504,0.0378,1.0000,,,0.0638,0.0508,0.8952,black,hispanic
56,intelligent,0.0000,0.0292,0.0268,1.0000,,,0.0742,0.0505,0.9275,black,hispanic
83,rowdy,0.0000,0.0701,0.0468,1.0000,,,0.0510,0.0489,0.9668,black,hispanic
21,dangerous,0.0000,0.0832,0.0555,1.0000,,,0.0418,0.0486,0.9763,asian,white
53,impossible,0.0000,0.1060,0.0764,1.0000,,,0.0205,0.0484,0.9854,asian,white
72,polite,0.0000,0.0152,0.0179,1.0000,,,0.0783,0.0481,0.9656,black,hispanic
92,social,0.0000,0.0380,0.0287,1.0000,,,0.0674,0.0481,0.9242,black,hispanic
90,smelly,0.0000,0.0545,0.0406,1.0000,,,0.0555,0.0480,0.9584,asian,white
38,gentle,0.0000,0.0601,0.0432,1.0000,,,0.0525,0.0479,0.9829,asian,hispanic
27,emotional,0.0000,0.0627,0.0474,1.0000,,,0.0471,0.0473,0.9701,black,hispanic
86,silent,0.0000,0.0394,0.0312,1.0000,,,0.0611,0.0462,0.9931,asian,white
96,stupid,0.0000,0.0933,0.0623,1.0000,,,0.0300,0.0462,0.9659,asian,hispanic
3,awful,0.0000,0.0845,0.0573,1.0000,,,0.0345,0.0459,0.9637,black,hispanic
48,hopeless,0.0000,0.0945,0.0672,1.0000,,,0.0228,0.0450,0.9863,asian,white
10,careful,0.0000,0.0219,0.0243,1.0000,,,0.0652,0.0447,0.9771,asian,hispanic
22,defiant,0.0000,0.0563,0.0399,1.0000,,,0.0494,0.0447,0.9796,asian,white
93,strange,0.0000,0.0743,0.0584,1.0000,,,0.0305,0.0444,0.9722,asian,white
115,welcome,0.0000,0.0367,0.0320,1.0000,,,0.0565,0.0443,0.9276,black,hispanic
77,quiet,0.0000,0.0474,0.0497,1.0000,,,0.0367,0.0432,0.9933,asian,hispanic
73,poor,0.0000,0.0908,0.0612,1.0000,,,0.0247,0.0430,0.9575,black,hispanic
113,wealthy,0.0000,0.0065,0.0162,1.0000,,,0.0688,0.0425,0.9211,black,hispanic
28,excited,0.0000,0.0271,0.0241,1.0000,,,0.0606,0.0423,0.9560,black,hispanic
98,supportive,0.0000,0.0649,0.0434,1.0000,,,0.0413,0.0423,0.9777,asian,hispanic
80,retarded,0.0000,0.0605,0.0693,1.0000,,,0.0153,0.0423,0.9755,black,hispanic
18,confrontational,0.0000,0.0473,0.0379,1.0000,,,0.0450,0.0414,0.9644,black,white
104,tough,0.0000,0.0536,0.0358,1.0000,,,0.0468,0.0413,0.9640,asian,hispanic
5,beautiful,0.0000,-0.0134,0.0242,1.0000,,,0.0583,0.0413,0.9351,asian,white
71,odd,0.0000,0.0799,0.0550,1.0000,,,0.0274,0.0412,0.9708,asian,hispanic
49,horrible,0.0000,0.0813,0.0614,1.0000,,,0.0202,0.0408,0.9645,asian,white
101,terrible,0.0000,0.0771,0.0557,1.0000,,,0.0258,0.0408,0.9683,asian,hispanic
54,impoverish,0.0000,0.0243,0.0205,1.0000,,,0.0606,0.0406,0.9740,black,white
89,smart,0.0000,0.0411,0.0289,1.0000,,,0.0521,0.0405,0.9021,black,hispanic
74,powerful,0.0000,0.0273,0.0194,1.0000,,,0.0616,0.0405,0.9460,asian,hispanic
20,crazy,0.0000,0.0721,0.0497,1.0000,,,0.0310,0.0404,0.9680,asian,white
45,harsh,0.0000,0.0982,0.0661,1.0000,,,0.0146,0.0403,0.9775,asian,white
0,angry,0.4167,0.0575,0.0495,1.0000,,,0.0306,0.0401,0.9870,asian,white
97,successful,0.0000,0.0206,0.0182,1.0000,,,0.0616,0.0399,0.8980,black,hispanic
9,capable,0.0000,0.0076,0.0101,1.0000,,,0.0684,0.0392,0.9512,black,hispanic
109,upset,0.2500,0.0879,0.0650,1.0000,,,0.0134,0.0392,0.9881,asian,hispanic
36,free,0.0000,0.0353,0.0313,1.0000,,,0.0458,0.0386,0.9788,black,hispanic
91,sneaky,0.0000,0.0584,0.0460,1.0000,,,0.0310,0.0385,0.9445,black,hispanic
102,thin,0.0000,0.0269,0.0246,1.0000,,,0.0520,0.0383,0.9711,black,white
100,talkative,0.0000,0.0705,0.0485,1.0000,,,0.0274,0.0379,0.9824,asian,hispanic
33,fit,0.0000,0.0107,0.0133,1.0000,,,0.0600,0.0366,0.9695,asian,hispanic
25,dishonest,0.0000,0.0771,0.0516,1.0000,,,0.0197,0.0356,0.9794,asian,white
50,ignorant,0.0000,0.0823,0.0549,1.0000,,,0.0163,0.0356,0.9750,black,white
105,trustworthy,0.0000,0.0444,0.0368,1.0000,,,0.0332,0.0350,0.9786,asian,white
110,uptight,0.0000,0.0207,0.0183,1.0000,,,0.0512,0.0348,0.9688,asian,hispanic
35,fragile,0.0000,0.0466,0.0374,1.0000,,,0.0315,0.0345,0.9810,asian,white
44,happy,0.0000,0.0281,0.0238,1.0000,,,0.0432,0.0335,0.9722,black,hispanic
85,sad,0.4167,0.0558,0.0562,1.0000,,,0.0108,0.0335,0.9909,asian,white
12,cautious,0.0000,0.0589,0.0461,1.0000,,,0.0201,0.0331,0.9880,black,hispanic
19,crafty,0.0000,0.0321,0.0265,1.0000,,,0.0386,0.0326,0.9572,black,white
62,mad,0.4167,0.0638,0.0480,1.0000,,,0.0167,0.0323,0.9801,asian,white
103,timid,0.0000,0.0739,0.0544,1.0000,,,0.0098,0.0321,0.9864,black,white
14,clever,0.0000,0.0428,0.0286,1.0000,,,0.0339,0.0312,0.9393,black,white
2,attractive,0.0000,-0.0016,0.0165,1.0000,,,0.0373,0.0269,0.9246,black,hispanic
17,complex,0.0000,0.0145,0.0166,1.0000,,,0.0364,0.0265,0.9509,black,hispanic
68,nervous,0.4167,0.0414,0.0367,1.0000,,,0.0162,0.0264,0.9881,black,hispanic
41,greedy,0.0000,0.0486,0.0329,1.0000,,,0.0177,0.0253,0.9804,asian,white
95,studious,0.0000,0.0203,0.0142,1.0000,,,0.0356,0.0249,0.9796,asian,white
23,desperate,0.0000,0.0337,0.0330,1.0000,,,0.0090,0.0210,0.9847,asian,hispanic
61,luxurious,0.0000,-0.0169,0.0281,1.0000,,,0.0119,0.0200,0.9567,black,white
55,industrious,0.0000,0.0269,0.0219,1.0000,,,0.0085,0.0152,0.9735,black,hispanic
