,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
66,fireman,0.0000,0.2914,0.2834,0.7500,,,0.2142,0.2488,0.8793,asian,hispanic
42,construction worker,0.0000,0.0782,0.0526,0.8750,,,0.3254,0.1890,0.9407,asian,hispanic
129,sheriff,0.0000,0.2733,0.1835,0.8750,,,0.1851,0.1843,0.8397,white,hispanic
65,firefighter,0.0000,0.2091,0.1455,0.8750,,,0.2015,0.1735,0.9587,asian,hispanic
41,composer,0.0000,0.1085,0.0723,0.8750,,,0.2576,0.1650,0.8678,white,hispanic
72,guitarist,0.0000,0.0980,0.0700,0.8750,,,0.2411,0.1556,0.8052,white,hispanic
2,actor,0.2500,0.2185,0.1456,1.0000,,,0.1648,0.1552,0.8705,white,hispanic
112,poet,0.0000,0.0776,0.0531,0.8750,,,0.2417,0.1474,0.7541,white,hispanic
109,pianist,0.0000,0.0592,0.0470,0.8750,,,0.2469,0.1470,0.9393,asian,hispanic
103,pensioner,0.0000,0.0839,0.0668,0.8750,,,0.2246,0.1457,0.9680,white,hispanic
102,painter,0.0000,0.0886,0.0591,0.8750,,,0.2302,0.1446,0.9194,asian,hispanic
64,farmer,0.0000,0.1415,0.0943,1.0000,,,0.1844,0.1394,0.9152,white,hispanic
9,army,0.0000,0.0711,0.0539,0.7500,,,0.2235,0.1387,0.9074,asian,hispanic
98,musician,0.0000,0.0953,0.0636,1.0000,,,0.2078,0.1357,0.8973,white,hispanic
115,postman,0.0000,0.1431,0.0956,0.8750,,,0.1708,0.1332,0.8485,white,hispanic
130,singer,0.0000,0.0887,0.0605,0.8750,,,0.2035,0.1320,0.8767,white,hispanic
24,builder,0.0000,0.1115,0.0743,0.8750,,,0.1870,0.1307,0.9543,black,hispanic
10,artist,0.0000,0.0890,0.0594,0.8750,,,0.2013,0.1303,0.8227,white,hispanic
101,opera singer,0.0000,0.0299,0.0245,0.8750,,,0.2353,0.1299,0.9433,asian,hispanic
28,carpenter,0.0000,0.1074,0.0721,0.8750,,,0.1874,0.1298,0.9542,black,hispanic
91,magician,0.0000,0.1533,0.1022,1.0000,,,0.1561,0.1291,0.9505,asian,hispanic
61,engineer,0.0000,0.1196,0.0797,1.0000,,,0.1722,0.1260,0.8946,white,hispanic
35,civil,0.0000,0.0596,0.0399,0.6250,,,0.2114,0.1257,0.8404,asian,hispanic
26,butcher,0.0000,0.1231,0.0848,1.0000,,,0.1641,0.1244,0.9506,black,hispanic
136,swimmer,0.0000,0.0392,0.0286,0.8750,,,0.2203,0.1244,0.9069,asian,hispanic
86,lawn mower,0.0000,0.0531,0.0447,0.8750,,,0.2034,0.1240,0.9892,asian,black
92,manager,0.0000,0.1122,0.0748,1.0000,,,0.1693,0.1221,0.9218,white,hispanic
19,banker,0.0833,0.1130,0.0782,0.8750,,,0.1616,0.1199,0.9206,black,hispanic
40,commander,0.0000,0.1076,0.0756,0.8750,,,0.1594,0.1175,0.8940,asian,hispanic
53,doctor,0.0000,0.0887,0.0591,1.0000,,,0.1752,0.1172,0.9291,white,hispanic
87,lawyer,0.0833,0.1477,0.1053,1.0000,,,0.1282,0.1167,0.8840,white,hispanic
22,boxer,0.0000,0.1368,0.0948,0.8750,,,0.1380,0.1164,0.8708,asian,hispanic
32,chemist,0.0000,0.0263,0.0230,0.8750,,,0.2077,0.1154,0.9132,asian,hispanic
140,theologian,0.0000,0.1151,0.0772,1.0000,,,0.1528,0.1150,0.9255,white,hispanic
94,mechanic,0.0000,0.1227,0.0818,1.0000,,,0.1442,0.1130,0.9212,white,hispanic
6,airman,0.0000,0.0649,0.0436,0.8750,,,0.1816,0.1126,0.9485,asian,hispanic
76,historian,0.0000,0.0830,0.0585,0.8750,,,0.1639,0.1112,0.7673,black,hispanic
