,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.7132913865533793,0.735994870549646,0.10108749114934512,0.09092300044019418,0.4103241871731412,0.8208191705421662,0.833652181358173,0.022947793911722764,0.02927479182032804,0.4266734844080975,0.5863539617746434,0.4031996877271343,0.4727080181098643,0.3357405393983411,0.44950055175249576,0.6938032648146454,0.16386221740784426,0.061058269330397534,0.36947011356273773
nn1,0.25701643579022987,0.24258597148047095,0.8554667870343571,0.8332308722210342,0.547075016631523,0.16909567765156988,0.159598083642108,0.9653196880515192,0.9451145581130324,0.5597820018645574,0.37677441212408086,0.49902550071816554,0.47064442247583355,0.5728072372530434,0.47981289314278086,0.27928583386071554,0.7784941072318586,0.8997829763549857,0.5359163689856045
cn1,0.029692174146441576,0.021419158971790846,0.04344572807649072,0.07584613173445366,0.0426007982322942,0.010085153390714646,0.006749735234055036,0.011732514941094207,0.025610644807878495,0.013544512093435596,0.03687162687035991,0.09777481363430111,0.05664755698737942,0.0914522231445308,0.07068655515914281,0.026910900933456907,0.05764367605645817,0.039158754889979275,0.09461351838941595
en2,0.6269584098227428,0.6620426106041876,0.11384795886844816,0.05122857132187948,0.36351938765431446,0.7601048104080236,0.788903649767925,0.03507069078877463,0.011940421618858417,0.3990048931458954,0.558139313091623,0.323248581241139,0.4353017291970058,0.39084963475415563,0.4268848145709809,0.6385750871485846,0.15436430976554252,0.05302191064949017,0.35704910799764733
nn2,0.3034971134448555,0.29993922625208036,0.8271736583449472,0.8981190731042418,0.5821822677865311,0.21852824513411298,0.20006583440492207,0.9477052919461694,0.9752467187314198,0.5853865225541561,0.39498190209269524,0.48814103060232644,0.46694626472505535,0.5317767457026258,0.4704614857806757,0.3139930976756202,0.7780270864052884,0.9120611855316945,0.5099588881524761
cn2,0.06954448008986339,0.03801816344279903,0.058978376805152694,0.050652360854718574,0.05429834529813342,0.02136694443627466,0.011030512619208298,0.017224015872991105,0.012812859591514129,0.015608583129997047,0.04687878972494063,0.18861039587963288,0.09775200660132673,0.07737361963598709,0.10265370296047184,0.04743181615240213,0.06760860477333275,0.034916903281094126,0.13299200775780998
en3,,,0.3509761360014828,0.16720256439795525,0.259089350199719,,,0.15640988836432218,0.056331260346582736,0.10637057435545245,,,,,,,0.18272996227758573,0.18272996227758573,
nn3,,,0.5856564956861483,0.7921214451820686,0.6888889704341085,,,0.8217398616629588,0.9349055464925438,0.8783227040777513,,,,,,,0.7836058372559299,0.7836058372559299,
cn3,,,0.06336736359672857,0.04067599487988728,0.05202167923830792,,,0.02185025056791295,0.008763199046872363,0.015306724807392657,,,,,,,0.03366420202285029,0.03366420202285029,
en4,,,0.10951297635763464,0.04377302939698485,0.07664300287730974,,,0.03330478678181977,0.01253423635679265,0.02291951156930621,,,,,,,0.04978125722330798,0.04978125722330798,
nn4,,,0.8608845971839528,0.9208297796290497,0.8908571884065013,,,0.9489921486713517,0.976993835691748,0.9629929921815499,,,,,,,0.9269250902940256,0.9269250902940256,
cn4,,,0.029602422328128045,0.03539719085755019,0.03249980659283912,,,0.017703067239137813,0.010471932255815521,0.014087499747476667,,,,,,,0.023293653170157892,0.023293653170157892,
en_avg,0.670124898188061,0.6990187405769167,0.16885614059422768,0.08828179138925343,0.4065703926871147,0.7904619904750949,0.811277915563049,0.06193328996165984,0.027520177535640462,0.422798343383861,0.5722466374331332,0.36322413448413665,0.45400487365343506,0.36329508707624836,0.4381926831617383,0.666189175981615,0.1788517701735277,0.08664784987019535,0.36325961078019253
nn_avg,0.28025677461754267,0.2712625988662757,0.7822953845623514,0.8610752925340985,0.548722512645067,0.19381196139284143,0.17983195902351504,0.9209392475829997,0.958065164757186,0.5631620831891355,0.3858781571083881,0.49358326566024596,0.46879534360044445,0.5522919914778346,0.4751371894617283,0.29663946576816785,0.7613750577624527,0.8805937723591589,0.5229376285690402
cn_avg,0.049618327118152485,0.02971866120729494,0.048848472701625005,0.05064291958165243,0.044707095152181214,0.015726048913494654,0.008890123926631667,0.017127462155284018,0.014414658925520128,0.014039573480232617,0.04187520829765027,0.143192604756967,0.07719978179435308,0.08441292139025895,0.08667012905980732,0.037171358542929515,0.05977317325188459,0.0327583783410204,0.11380276307361298
en_std,0.04918716451756551,0.04172757220850594,0.11768228683941996,0.05624632025705688,0.06621083595563708,0.03452630343384959,0.02880657674081024,0.05640250486239493,0.02022916685028968,0.0349911379718361,0.05891004807137428,0.06837900960817933,0.10328314617980457,0.11898537908445043,0.08738939573595216,0.052740135191985026,0.07298744458363186,0.06264006970229036,0.09368219434631489
nn_std,0.029874211911794166,0.03276081143082673,0.12816393264801554,0.067226516233794,0.0645063680561076,0.029030000974594707,0.026459939865274104,0.06034103686753251,0.023816031627725446,0.034911752333781694,0.054891442444096224,0.06367692566180433,0.10220717982204308,0.11791706845286201,0.0846731540952014,0.04587059774143817,0.07685691858195565,0.06988687934426688,0.09079699705733317
cn_std,0.024724146007893227,0.010174322213053835,0.023114062357384616,0.026123858746944385,0.021034097331319015,0.006699406802178767,0.0027873898852773553,0.00837734089612637,0.008187553087760422,0.0065129226678357285,0.019133054800554515,0.053877533517979,0.05245605621738013,0.052443562816525166,0.04447755183810971,0.019329062654389637,0.028687318570453327,0.01645070377205395,0.05316054816725208
accstd,,,,,,,,,,,,,,,,,,,
acc,0.035211267605633804,0.04741379310344827,0.9330985915492958,0.9762931034482759,0.4980041889266634,0.008215962441314555,0.004310344827586207,1.0,1.0,0.5031315768172252,0.3191489361702128,0.5340909090909091,0.4490358126721763,0.5539617486338798,0.46405935164179446,0.14388935280339532,0.8329073921203934,0.9773479237493929,0.5440263288623944
std,0.06919034829150193,0.056441803901591,0.17930685456321344,0.09973113015853015,0.10116753422870912,0.04683714080708204,0.03870260432757446,0.08341392175070254,0.0348218343771837,0.05094387531563569,0.08862303021068334,0.12395564585864176,0.17196425481281852,0.19289734023589175,0.14436006777950885,0.07862653039187521,0.11902112115736056,0.09931843521240746,0.15842649304726675
