,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
7,burly,0.2500,0.2694,0.1796,1.0000,,,0.0159,0.0977,0.9746,black,hispanic
43,handsome,0.3333,0.2477,0.1657,1.0000,,,0.0125,0.0891,0.9802,black,hispanic
64,masculine,0.0833,0.2050,0.1367,1.0000,,,0.0252,0.0809,0.9435,black,hispanic
5,beautiful,0.3333,-0.1972,0.1338,1.0000,,,0.0189,0.0764,0.9757,black,white
30,feminine,0.0000,-0.1851,0.1234,1.0000,,,0.0265,0.0750,0.9437,black,hispanic
53,impossible,0.0000,-0.0460,0.0655,1.0000,,,0.0833,0.0744,0.9323,black,white
83,rowdy,0.5833,0.1381,0.1337,1.0000,,,0.0083,0.0710,0.9798,black,hispanic
91,sneaky,0.4167,-0.0386,0.1210,1.0000,,,0.0207,0.0709,0.9633,black,white
65,muscular,0.1667,0.1601,0.1158,1.0000,,,0.0256,0.0707,0.9644,black,hispanic
84,rude,0.4167,0.0113,0.1278,1.0000,,,0.0083,0.0680,0.9836,black,hispanic
8,callous,0.0833,0.0981,0.1008,1.0000,,,0.0301,0.0655,0.9442,black,hispanic
41,greedy,0.4167,0.0662,0.1211,1.0000,,,0.0086,0.0648,0.9681,black,white
45,harsh,0.8333,0.0578,0.1178,1.0000,,,0.0084,0.0631,0.9786,black,hispanic
42,gross,0.1667,-0.0500,0.1103,1.0000,,,0.0158,0.0631,0.9578,black,white
99,suspicious,0.5833,0.0243,0.1089,1.0000,,,0.0085,0.0587,0.9820,black,hispanic
25,dishonest,0.3333,-0.0223,0.1112,1.0000,,,0.0054,0.0583,0.9841,black,hispanic
60,loud,0.2500,-0.0533,0.1016,1.0000,,,0.0140,0.0578,0.9867,black,white
11,careless,0.5000,0.0226,0.1017,1.0000,,,0.0120,0.0569,0.9807,black,white
66,naggy,0.1667,0.0108,0.0946,1.0000,,,0.0187,0.0566,0.9729,black,hispanic
111,violent,0.6667,0.0728,0.1013,1.0000,,,0.0112,0.0563,0.9778,black,hispanic
1,annoying,0.7500,-0.0393,0.0981,1.0000,,,0.0106,0.0544,0.9816,black,hispanic
14,clever,0.4167,0.0321,0.0996,1.0000,,,0.0080,0.0538,0.9801,black,hispanic
62,mad,0.1667,0.0253,0.0989,1.0000,,,0.0082,0.0535,0.9819,black,white
80,retarded,0.5000,-0.0144,0.0980,1.0000,,,0.0090,0.0535,0.9826,black,hispanic
103,timid,0.1667,-0.0436,0.0978,1.0000,,,0.0084,0.0531,0.9813,black,hispanic
63,manly,0.0833,0.1164,0.0918,1.0000,,,0.0144,0.0531,0.9705,black,hispanic
106,ugly,0.6667,-0.0211,0.0918,1.0000,,,0.0133,0.0526,0.9828,black,white
0,angry,0.4167,0.0445,0.0954,1.0000,,,0.0090,0.0522,0.9852,black,hispanic
114,weird,0.5000,-0.0511,0.0905,1.0000,,,0.0134,0.0519,0.9754,black,hispanic
21,dangerous,0.5833,0.0149,0.0912,1.0000,,,0.0124,0.0518,0.9789,black,white
59,lazy,0.6667,0.0477,0.0934,1.0000,,,0.0100,0.0517,0.9823,black,hispanic
58,late,0.3333,-0.0655,0.0932,1.0000,,,0.0101,0.0517,0.9806,black,hispanic
24,dirty,0.6667,0.0471,0.0911,1.0000,,,0.0117,0.0514,0.9786,black,white
49,horrible,0.5833,-0.0164,0.0810,1.0000,,,0.0203,0.0507,0.9749,black,white
85,sad,0.5000,0.0052,0.0927,1.0000,,,0.0081,0.0504,0.9822,black,hispanic
4,bad,0.8333,-0.0034,0.0851,1.0000,,,0.0150,0.0501,0.9609,black,hispanic
76,quick,0.0833,0.0239,0.0787,1.0000,,,0.0207,0.0497,0.9744,black,hispanic
87,skinny,0.2500,-0.0343,0.0828,1.0000,,,0.0126,0.0477,0.9800,black,hispanic
107,uncare,0.0000,-0.1021,0.0810,1.0000,,,0.0142,0.0476,0.9688,black,hispanic
2,attractive,0.0000,-0.1031,0.0778,1.0000,,,0.0135,0.0457,0.9765,black,hispanic
3,awful,0.5833,-0.0440,0.0789,1.0000,,,0.0124,0.0456,0.9732,black,white
70,normal,0.0000,-0.0271,0.0292,1.0000,,,0.0620,0.0456,0.8738,black,hispanic
6,brave,0.2500,0.0175,0.0787,1.0000,,,0.0124,0.0455,0.9785,black,hispanic
90,smelly,0.4167,-0.0498,0.0696,1.0000,,,0.0195,0.0445,0.9601,black,hispanic
69,nice,0.2500,-0.0362,0.0811,1.0000,,,0.0073,0.0442,0.9845,black,hispanic
71,odd,0.5000,-0.0031,0.0753,1.0000,,,0.0130,0.0442,0.9776,black,hispanic
115,welcome,0.0000,-0.0913,0.0776,1.0000,,,0.0103,0.0440,0.9851,black,hispanic
31,filthy,0.6667,0.0403,0.0796,1.0000,,,0.0082,0.0439,0.9828,black,white
102,thin,0.1667,-0.0787,0.0712,1.0000,,,0.0138,0.0425,0.9721,black,hispanic
40,good,0.3333,-0.0480,0.0731,1.0000,,,0.0119,0.0425,0.9799,black,hispanic
96,stupid,0.3333,-0.0058,0.0762,1.0000,,,0.0086,0.0424,0.9789,black,hispanic
81,rich,0.5000,0.1142,0.0766,1.0000,,,0.0079,0.0423,0.9730,black,white
37,friendly,0.1667,-0.0260,0.0765,1.0000,,,0.0079,0.0422,0.9875,black,hispanic
52,important,0.4167,-0.0468,0.0723,1.0000,,,0.0120,0.0421,0.9671,black,hispanic
22,defiant,0.0000,-0.0960,0.0725,1.0000,,,0.0113,0.0419,0.9762,black,hispanic
101,terrible,0.5833,-0.0226,0.0688,1.0000,,,0.0150,0.0419,0.9715,black,white
109,upset,0.0000,-0.1000,0.0782,1.0000,,,0.0054,0.0418,0.9857,black,hispanic
54,impoverish,0.0000,-0.0317,0.0569,1.0000,,,0.0248,0.0409,0.9693,black,hispanic
29,fat,0.0000,0.0100,0.0640,1.0000,,,0.0177,0.0408,0.9618,black,hispanic
26,dumb,0.2500,-0.0037,0.0732,1.0000,,,0.0079,0.0406,0.9775,black,hispanic
74,powerful,0.1667,-0.0033,0.0671,1.0000,,,0.0131,0.0401,0.9759,black,hispanic
88,slim,0.0000,-0.0772,0.0547,1.0000,,,0.0253,0.0400,0.9660,black,hispanic
100,talkative,0.0000,-0.0354,0.0705,1.0000,,,0.0094,0.0400,0.9797,black,hispanic
16,comfortable,0.0833,-0.0777,0.0678,1.0000,,,0.0109,0.0394,0.9839,black,white
51,immature,0.0000,-0.0745,0.0685,1.0000,,,0.0099,0.0392,0.9719,black,hispanic
93,strange,0.5833,-0.0132,0.0669,1.0000,,,0.0114,0.0392,0.9789,black,white
44,happy,0.2500,-0.0228,0.0716,1.0000,,,0.0059,0.0387,0.9917,black,hispanic
98,supportive,0.0000,-0.0503,0.0731,1.0000,,,0.0034,0.0383,0.9903,black,hispanic
27,emotional,0.0000,-0.0403,0.0441,1.0000,,,0.0317,0.0379,0.9534,black,hispanic
19,crafty,0.0833,-0.0176,0.0594,1.0000,,,0.0162,0.0378,0.9683,black,white
20,crazy,0.5000,-0.0005,0.0631,1.0000,,,0.0123,0.0377,0.9720,black,hispanic
89,smart,0.4167,-0.0436,0.0665,1.0000,,,0.0085,0.0375,0.9782,black,hispanic
72,polite,0.0000,-0.0462,0.0638,1.0000,,,0.0096,0.0367,0.9844,black,hispanic
68,nervous,0.4167,-0.0223,0.0643,1.0000,,,0.0086,0.0365,0.9849,black,hispanic
61,luxurious,0.0000,-0.0288,0.0495,1.0000,,,0.0234,0.0365,0.9723,black,white
35,fragile,0.0000,-0.0758,0.0519,1.0000,,,0.0194,0.0357,0.9693,black,hispanic
34,flamboyant,0.0000,0.0279,0.0462,1.0000,,,0.0251,0.0356,0.9630,black,hispanic
39,gifted,0.0000,-0.0308,0.0556,1.0000,,,0.0152,0.0354,0.9754,black,hispanic
113,wealthy,0.1667,0.0939,0.0640,1.0000,,,0.0067,0.0354,0.9799,black,white
48,hopeless,0.0000,-0.0379,0.0445,1.0000,,,0.0250,0.0348,0.9684,black,white
15,colorful,0.1667,-0.0358,0.0529,1.0000,,,0.0144,0.0337,0.9789,asian,hispanic
55,industrious,0.0000,0.0057,0.0569,1.0000,,,0.0102,0.0335,0.9720,black,hispanic
23,desperate,0.0833,-0.0058,0.0564,1.0000,,,0.0103,0.0334,0.9836,black,white
56,intelligent,0.0000,-0.0026,0.0497,1.0000,,,0.0164,0.0330,0.9571,black,hispanic
75,proud,0.0000,0.0344,0.0569,1.0000,,,0.0088,0.0328,0.9845,black,white
9,capable,0.0000,-0.0271,0.0500,1.0000,,,0.0156,0.0328,0.9752,black,hispanic
47,homeless,0.0833,0.0311,0.0597,1.0000,,,0.0047,0.0322,0.9873,black,hispanic
105,trustworthy,0.0000,0.0048,0.0560,1.0000,,,0.0073,0.0317,0.9810,black,hispanic
33,fit,0.0000,-0.0358,0.0397,1.0000,,,0.0236,0.0316,0.9577,black,hispanic
110,uptight,0.0000,-0.0572,0.0519,1.0000,,,0.0109,0.0314,0.9767,black,hispanic
67,naive,0.0000,-0.0574,0.0541,1.0000,,,0.0084,0.0313,0.9734,black,hispanic
12,cautious,0.0000,0.0099,0.0525,1.0000,,,0.0098,0.0311,0.9805,black,hispanic
108,uneducated,0.0000,0.0047,0.0511,1.0000,,,0.0098,0.0305,0.9678,black,asian
17,complex,0.2500,-0.0083,0.0440,1.0000,,,0.0168,0.0304,0.9587,black,hispanic
77,quiet,0.0000,-0.0488,0.0521,1.0000,,,0.0080,0.0301,0.9874,black,hispanic
82,right,0.0000,0.0094,0.0477,1.0000,,,0.0106,0.0291,0.9758,black,white
94,strong,0.0000,-0.0312,0.0434,1.0000,,,0.0148,0.0291,0.9682,black,hispanic
92,social,0.0000,-0.0361,0.0354,1.0000,,,0.0226,0.0290,0.9449,black,hispanic
57,irresponsible,0.0000,0.0229,0.0497,1.0000,,,0.0083,0.0290,0.9803,black,hispanic
104,tough,0.0833,0.0056,0.0453,1.0000,,,0.0122,0.0288,0.9712,black,hispanic
28,excited,0.0000,-0.0342,0.0464,1.0000,,,0.0105,0.0284,0.9833,black,hispanic
86,silent,0.0000,-0.0133,0.0480,1.0000,,,0.0082,0.0281,0.9860,black,hispanic
38,gentle,0.0000,-0.0135,0.0438,1.0000,,,0.0123,0.0280,0.9818,black,hispanic
46,healthy,0.0000,-0.0385,0.0345,1.0000,,,0.0211,0.0278,0.9568,black,hispanic
95,studious,0.0000,-0.0008,0.0379,1.0000,,,0.0176,0.0278,0.9733,black,hispanic
36,free,0.0000,0.0073,0.0199,1.0000,,,0.0345,0.0272,0.9275,black,hispanic
18,confrontational,0.0000,-0.0022,0.0421,1.0000,,,0.0097,0.0259,0.9776,black,hispanic
10,careful,0.0000,-0.0065,0.0409,1.0000,,,0.0103,0.0256,0.9821,black,hispanic
112,weak,0.0000,-0.0433,0.0409,1.0000,,,0.0095,0.0252,0.9733,black,hispanic
32,fine,0.0000,-0.0418,0.0351,1.0000,,,0.0151,0.0251,0.9710,black,hispanic
79,respected,0.0000,-0.0011,0.0399,1.0000,,,0.0100,0.0249,0.9699,black,hispanic
78,ready,0.0000,-0.0003,0.0362,1.0000,,,0.0111,0.0237,0.9822,black,white
13,clean,0.0000,-0.0142,0.0270,1.0000,,,0.0190,0.0230,0.9527,black,hispanic
50,ignorant,0.0000,-0.0027,0.0330,1.0000,,,0.0105,0.0217,0.9663,black,asian
97,successful,0.0000,-0.0198,0.0381,1.0000,,,0.0052,0.0216,0.9831,black,hispanic
