,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
77,hostess,0.1667,-0.3741,0.2494,1.0000,,,0.0192,0.1343,0.9712,black,hispanic
78,housekeeper,0.4167,-0.3728,0.2485,1.0000,,,0.0074,0.1279,0.9785,black,hispanic
66,fireman,0.3333,0.3114,0.2076,1.0000,,,0.0305,0.1190,0.9421,black,hispanic
115,postman,0.3333,0.2969,0.1979,1.0000,,,0.0243,0.1111,0.9383,black,asian
67,football player,0.2500,0.2527,0.1685,1.0000,,,0.0489,0.1087,0.9461,black,hispanic
122,receptionist,0.0833,-0.2897,0.1931,1.0000,,,0.0171,0.1051,0.9626,black,hispanic
129,sheriff,0.2500,0.2813,0.1875,1.0000,,,0.0155,0.1015,0.9601,black,hispanic
72,guitarist,0.4167,0.2691,0.1817,1.0000,,,0.0211,0.1014,0.9686,black,hispanic
75,handyman,0.1667,0.2702,0.1802,1.0000,,,0.0168,0.0985,0.9579,black,hispanic
91,magician,0.4167,0.2727,0.1818,1.0000,,,0.0128,0.0973,0.9705,black,hispanic
27,butler,0.2500,0.2691,0.1794,1.0000,,,0.0137,0.0965,0.9740,black,hispanic
133,soldier,0.1667,0.2550,0.1700,1.0000,,,0.0179,0.0939,0.9591,black,hispanic
22,boxer,0.4167,0.2376,0.1588,1.0000,,,0.0282,0.0935,0.9507,black,hispanic
141,umpire,0.1667,0.2245,0.1501,1.0000,,,0.0302,0.0902,0.9588,black,hispanic
26,butcher,0.4167,0.2346,0.1564,1.0000,,,0.0223,0.0893,0.9698,black,hispanic
12,astronomer,0.1667,0.2101,0.1414,1.0000,,,0.0334,0.0874,0.9471,asian,white
19,banker,0.2500,0.2418,0.1612,1.0000,,,0.0081,0.0846,0.9651,black,hispanic
6,airman,0.0000,0.1869,0.1246,1.0000,,,0.0425,0.0836,0.9306,black,hispanic
20,barber,0.5833,0.2192,0.1461,1.0000,,,0.0209,0.0835,0.9537,black,hispanic
2,actor,0.2500,0.1950,0.1338,1.0000,,,0.0326,0.0832,0.9474,white,hispanic
64,farmer,0.3333,0.2286,0.1524,1.0000,,,0.0122,0.0823,0.9726,black,hispanic
99,nurse,0.2500,-0.2113,0.1410,1.0000,,,0.0221,0.0815,0.9578,black,hispanic
94,mechanic,0.3333,0.2101,0.1435,1.0000,,,0.0165,0.0800,0.9709,black,hispanic
