,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
63,manly,0.0000,0.5793,0.4308,0.7500,,,0.3598,0.3953,0.3963,white,asian
30,feminine,0.0833,-0.2319,0.2305,0.6250,,,0.3910,0.3107,0.3414,white,asian
64,masculine,0.0833,0.2764,0.2323,0.5000,,,0.3600,0.2962,0.3238,white,asian
34,flamboyant,0.0833,0.2989,0.2691,0.8750,,,0.3083,0.2887,0.5097,white,asian
70,normal,0.1667,0.0831,0.1786,0.7500,,,0.3987,0.2886,0.3459,white,hispanic
95,studious,0.1667,0.2106,0.1935,0.7500,,,0.3743,0.2839,0.3594,white,asian
55,industrious,0.4167,0.1583,0.2214,0.7500,,,0.3214,0.2714,0.5419,white,hispanic
86,silent,0.0000,0.2186,0.1967,0.8750,,,0.3340,0.2654,0.3986,white,asian
103,timid,0.4167,0.1538,0.2094,0.8750,,,0.3188,0.2641,0.4628,black,asian
18,confrontational,0.5000,0.1730,0.2275,0.8750,,,0.2997,0.2636,0.5155,white,asian
105,trustworthy,0.5833,0.1768,0.2152,0.8750,,,0.3120,0.2636,0.4557,black,asian
8,callous,0.2500,0.2095,0.2236,0.7500,,,0.3007,0.2622,0.4833,black,asian
7,burly,0.1667,0.3884,0.3073,1.0000,,,0.2114,0.2594,0.6030,white,asian
43,handsome,0.0833,0.2289,0.1971,0.8750,,,0.3162,0.2567,0.4564,white,asian
54,impoverish,0.1667,0.1185,0.2514,0.8750,,,0.2561,0.2538,0.5525,black,asian
22,defiant,0.5000,0.2128,0.2310,0.8750,,,0.2719,0.2514,0.5055,black,asian
9,capable,0.1667,0.1789,0.2011,0.8750,,,0.2999,0.2505,0.4471,white,asian
77,quiet,0.0833,0.0943,0.1600,0.7500,,,0.3387,0.2493,0.4091,white,asian
83,rowdy,0.2500,0.2057,0.2028,0.8750,,,0.2930,0.2479,0.4567,black,asian
19,crafty,0.4167,0.1426,0.2277,0.8750,,,0.2674,0.2475,0.4976,white,asian
25,dishonest,0.4167,0.1818,0.2305,1.0000,,,0.2603,0.2454,0.5325,black,asian
73,poor,0.2500,0.1328,0.1685,0.7500,,,0.3218,0.2451,0.4668,black,hispanic
65,muscular,0.0833,0.2717,0.2168,0.7500,,,0.2713,0.2441,0.4582,white,asian
100,talkative,0.4167,0.0939,0.2229,0.8750,,,0.2650,0.2440,0.5571,white,asian
51,immature,0.3333,0.0594,0.2336,1.0000,,,0.2539,0.2438,0.5843,black,asian
5,beautiful,0.5833,-0.0197,0.1830,0.7500,,,0.3043,0.2437,0.5310,white,asian
41,greedy,0.4167,0.1205,0.1851,0.8750,,,0.3008,0.2430,0.4691,white,asian
53,impossible,0.1667,0.0810,0.1773,0.8750,,,0.3086,0.2430,0.4530,white,asian
107,uncare,0.3333,-0.0952,0.2631,1.0000,,,0.2176,0.2404,0.6326,black,asian
4,bad,0.2500,0.0851,0.1674,0.7500,,,0.3103,0.2389,0.4443,white,asian
101,terrible,0.5000,0.0544,0.2112,0.8750,,,0.2649,0.2381,0.5196,white,asian
42,gross,0.4167,0.1647,0.2086,0.8750,,,0.2636,0.2361,0.4735,white,asian
17,complex,0.3333,0.1152,0.1965,0.8750,,,0.2753,0.2359,0.4675,white,asian
