,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
58,electrician,0.5000,0.3273,0.2602,0.7500,,,0.5290,0.3946,0.1078,white,asian
4,aeronautical engineer,0.3333,0.5045,0.3434,1.0000,,,0.2434,0.2934,0.5913,white,asian
6,airman,0.0833,0.5012,0.3446,1.0000,,,0.2383,0.2915,0.6263,white,asian
115,postman,0.2500,0.4757,0.3258,1.0000,,,0.2290,0.2774,0.6247,white,asian
75,handyman,0.2500,0.4928,0.3324,1.0000,,,0.1962,0.2643,0.6789,white,asian
93,mathematician,0.3333,0.3171,0.2191,0.8750,,,0.2941,0.2566,0.4861,white,asian
66,fireman,0.0833,0.4127,0.2891,1.0000,,,0.2167,0.2529,0.7167,white,hispanic
132,software engineer,0.5833,0.4314,0.3020,1.0000,,,0.2005,0.2513,0.6492,white,asian
33,chess player,0.3333,0.3399,0.2549,1.0000,,,0.2386,0.2468,0.6196,white,asian
29,cashier,0.3333,0.3507,0.2627,1.0000,,,0.2260,0.2444,0.6241,white,asian
105,pharmacist,0.3333,0.3327,0.2613,1.0000,,,0.2249,0.2431,0.7554,white,hispanic
35,civil,0.2500,0.3082,0.2122,0.8750,,,0.2733,0.2427,0.5118,black,asian
34,chief,0.2500,0.3179,0.2154,0.8750,,,0.2691,0.2423,0.5312,black,asian
67,football player,0.1667,0.3984,0.2720,1.0000,,,0.2116,0.2418,0.6364,white,asian
129,sheriff,0.4167,0.3338,0.2272,1.0000,,,0.2507,0.2390,0.5662,white,asian
56,economist,0.6667,0.2974,0.2126,1.0000,,,0.2643,0.2385,0.5760,white,asian
103,pensioner,0.3333,0.3032,0.2358,1.0000,,,0.2376,0.2367,0.6267,white,asian
40,commander,0.3333,0.3685,0.2521,1.0000,,,0.2182,0.2351,0.6264,white,asian
122,receptionist,0.1667,0.2155,0.2076,1.0000,,,0.2580,0.2328,0.6319,white,hispanic
141,umpire,0.3333,0.3890,0.2604,1.0000,,,0.2036,0.2320,0.7101,black,hispanic
1,accountant,0.1667,0.2883,0.2006,1.0000,,,0.2611,0.2309,0.5515,white,asian
69,gambler,0.3333,0.3457,0.2582,1.0000,,,0.2033,0.2308,0.6669,white,asian
60,employment,0.3333,0.2337,0.2191,0.8750,,,0.2420,0.2306,0.5505,white,asian
65,firefighter,0.3333,0.3652,0.2729,1.0000,,,0.1873,0.2301,0.7215,white,hispanic
16,auditor,0.5000,0.2894,0.2547,1.0000,,,0.2053,0.2300,0.6648,white,asian
137,tailor,0.1667,0.2535,0.2110,1.0000,,,0.2489,0.2299,0.6078,white,asian
74,handball player,0.2500,0.3713,0.2684,1.0000,,,0.1897,0.2291,0.6965,white,asian
94,mechanic,0.3333,0.3844,0.2642,1.0000,,,0.1902,0.2272,0.6881,white,asian
108,physicist,0.5000,0.2735,0.1991,1.0000,,,0.2551,0.2271,0.5450,white,asian
84,laborer,0.3333,0.2372,0.2361,1.0000,,,0.2139,0.2250,0.6363,white,asian
76,historian,0.1667,0.2786,0.1962,0.8750,,,0.2537,0.2249,0.5563,white,asian
25,businessperson,0.5000,0.1902,0.2163,1.0000,,,0.2321,0.2242,0.6176,white,asian
121,realtor,0.7500,0.3243,0.2337,1.0000,,,0.2134,0.2236,0.6310,white,asian
37,clerk,0.2500,0.2723,0.2013,1.0000,,,0.2446,0.2230,0.5965,white,asian
20,barber,0.2500,0.3530,0.2468,1.0000,,,0.1990,0.2229,0.6843,white,asian
140,theologian,0.2500,0.3022,0.2081,1.0000,,,0.2367,0.2224,0.5838,white,asian
28,carpenter,0.2500,0.3560,0.2409,1.0000,,,0.2023,0.2216,0.6527,white,asian
30,CEO,0.3333,0.3772,0.2537,1.0000,,,0.1887,0.2212,0.7303,white,hispanic
131,sociologist,0.6667,0.2793,0.2383,1.0000,,,0.1955,0.2169,0.6866,white,asian
120,radiologist,0.4167,0.2877,0.2392,1.0000,,,0.1928,0.2160,0.6699,white,asian
48,dentist,0.4167,0.3445,0.2420,1.0000,,,0.1901,0.2160,0.6885,white,asian
63,executive,0.1667,0.2309,0.1767,1.0000,,,0.2523,0.2145,0.6364,white,hispanic
41,composer,0.3333,0.3028,0.2204,1.0000,,,0.2040,0.2122,0.6600,white,asian
24,builder,0.3333,0.3452,0.2385,1.0000,,,0.1857,0.2121,0.6901,white,asian
61,engineer,0.4167,0.3012,0.2164,1.0000,,,0.2072,0.2118,0.6618,white,asian
113,police officer,0.5000,0.3352,0.2305,1.0000,,,0.1922,0.2113,0.6780,black,asian
27,butler,0.1667,0.3261,0.2180,1.0000,,,0.2034,0.2107,0.6464,white,asian
87,lawyer,0.1667,0.2422,0.1670,1.0000,,,0.2544,0.2107,0.5805,white,asian
22,boxer,0.1667,0.3268,0.2199,1.0000,,,0.1994,0.2097,0.6556,black,asian
5,agent,0.4167,0.2338,0.1838,1.0000,,,0.2326,0.2082,0.5710,white,asian
97,mover,0.5833,0.2553,0.2465,1.0000,,,0.1686,0.2076,0.6917,white,asian
70,grocer,0.3333,0.2574,0.2328,1.0000,,,0.1804,0.2066,0.7018,white,asian
51,diplomat,0.3333,0.2562,0.1735,1.0000,,,0.2370,0.2053,0.6001,white,asian
90,linguist,0.3333,0.2792,0.2033,1.0000,,,0.2067,0.2050,0.6374,white,asian
