,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
63,manly,0.3333,0.4804,0.3266,1.0000,,,0.0886,0.2076,0.8507,white,asian
64,masculine,0.3333,0.4551,0.3072,1.0000,,,0.1062,0.2067,0.7957,white,asian
56,intelligent,0.5000,0.2645,0.2726,1.0000,,,0.1340,0.2033,0.7938,white,asian
55,industrious,0.5000,0.3656,0.2968,1.0000,,,0.0989,0.1978,0.8393,white,asian
81,rich,0.5000,0.3216,0.2536,1.0000,,,0.1245,0.1891,0.8026,white,asian
95,studious,0.5000,0.3704,0.3031,1.0000,,,0.0670,0.1851,0.8976,white,asian
65,muscular,0.3333,0.3238,0.2607,1.0000,,,0.1066,0.1836,0.8095,white,asian
43,handsome,0.2500,0.3511,0.2375,1.0000,,,0.1083,0.1729,0.8430,black,asian
113,wealthy,0.4167,0.3028,0.2377,1.0000,,,0.1065,0.1721,0.8289,white,asian
29,fat,0.4167,0.2377,0.2566,1.0000,,,0.0850,0.1708,0.8497,hispanic,asian
9,capable,0.2500,0.2645,0.2404,1.0000,,,0.1007,0.1706,0.8229,black,asian
74,powerful,0.4167,0.3035,0.2726,1.0000,,,0.0677,0.1701,0.8803,white,asian
71,odd,0.5000,0.3258,0.2750,1.0000,,,0.0547,0.1649,0.8813,black,asian
51,immature,0.4167,0.2513,0.2531,1.0000,,,0.0761,0.1646,0.8597,white,asian
111,violent,0.4167,0.3740,0.2943,1.0000,,,0.0334,0.1638,0.9296,black,asian
88,slim,0.5000,0.2076,0.2110,1.0000,,,0.1130,0.1620,0.8221,hispanic,asian
19,crafty,0.5000,0.3185,0.2906,1.0000,,,0.0324,0.1615,0.9536,white,hispanic
15,colorful,0.2500,0.2535,0.2173,1.0000,,,0.1054,0.1613,0.8632,white,asian
18,confrontational,0.5000,0.3413,0.3064,1.0000,,,0.0139,0.1602,0.9642,white,asian
82,right,0.2500,0.2224,0.1823,1.0000,,,0.1361,0.1592,0.7731,white,asian
