,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
140,theologian,0.4167,0.4367,0.3263,0.7500,,,0.4010,0.3637,0.2853,white,asian
58,electrician,0.5000,0.2938,0.2626,0.7500,,,0.3740,0.3183,0.3222,white,asian
72,guitarist,0.4167,0.4624,0.3394,1.0000,,,0.0943,0.2168,0.8247,black,asian
40,commander,0.4167,0.4934,0.3568,1.0000,,,0.0603,0.2086,0.8834,white,asian
6,airman,0.5000,0.4621,0.3424,1.0000,,,0.0650,0.2037,0.8786,white,asian
0,academic,0.5000,0.3036,0.2597,1.0000,,,0.1476,0.2036,0.7259,white,asian
66,fireman,0.3333,0.5288,0.3604,1.0000,,,0.0443,0.2024,0.9254,white,asian
133,soldier,0.4167,0.4451,0.3015,1.0000,,,0.0989,0.2002,0.8116,black,asian
131,sociologist,0.5833,0.2678,0.2856,1.0000,,,0.1142,0.1999,0.7878,white,asian
75,handyman,0.5000,0.5465,0.3644,1.0000,,,0.0316,0.1980,0.9612,white,hispanic
98,musician,0.3333,0.3818,0.2921,1.0000,,,0.1034,0.1978,0.8086,black,asian
115,postman,0.3333,0.5237,0.3581,1.0000,,,0.0335,0.1958,0.9359,white,asian
4,aeronautical engineer,0.4167,0.3937,0.3265,1.0000,,,0.0596,0.1930,0.9721,white,hispanic
12,astronomer,0.4167,0.4045,0.2998,1.0000,,,0.0770,0.1884,0.8702,white,asian
67,football player,0.4167,0.3977,0.3222,1.0000,,,0.0539,0.1880,0.9044,white,asian
56,economist,0.4167,0.4158,0.3003,1.0000,,,0.0730,0.1866,0.8794,white,asian
17,author,0.4167,0.3151,0.2615,1.0000,,,0.1091,0.1853,0.7998,white,asian
129,sheriff,0.3333,0.4176,0.2933,1.0000,,,0.0768,0.1851,0.8564,white,asian
41,composer,0.5000,0.3488,0.2991,1.0000,,,0.0671,0.1831,0.8789,black,asian
13,athlete,0.3333,0.2944,0.2583,1.0000,,,0.1073,0.1828,0.8013,black,asian
28,carpenter,0.4167,0.4866,0.3336,1.0000,,,0.0312,0.1824,0.9515,white,asian
35,civil,0.3333,0.2701,0.2348,1.0000,,,0.1299,0.1823,0.7427,white,asian
27,butler,0.3333,0.3829,0.2745,1.0000,,,0.0882,0.1813,0.8226,white,asian
10,artist,0.4167,0.3235,0.2707,1.0000,,,0.0918,0.1813,0.8384,white,asian
34,chief,0.5000,0.4152,0.3023,1.0000,,,0.0601,0.1812,0.8754,black,asian
62,entrepreneur,0.4167,0.3496,0.2670,1.0000,,,0.0927,0.1799,0.8428,black,asian
64,farmer,0.3333,0.3707,0.2555,1.0000,,,0.1040,0.1798,0.8290,white,asian
90,linguist,0.4167,0.3520,0.3057,1.0000,,,0.0510,0.1784,0.9029,white,asian
132,software engineer,0.4167,0.3714,0.3033,1.0000,,,0.0506,0.1770,0.9723,white,hispanic
30,CEO,0.4167,0.4024,0.2971,1.0000,,,0.0567,0.1769,0.9203,black,asian
63,executive,0.4167,0.4003,0.3015,1.0000,,,0.0512,0.1764,0.9013,black,asian
109,pianist,0.5833,0.2928,0.2939,1.0000,,,0.0583,0.1761,0.8974,white,asian
112,poet,0.5000,0.3702,0.2850,1.0000,,,0.0661,0.1755,0.8709,white,asian
108,physicist,0.3333,0.4313,0.3034,1.0000,,,0.0452,0.1743,0.9293,white,asian
114,politician,0.3333,0.3863,0.2729,1.0000,,,0.0756,0.1743,0.8596,black,asian
61,engineer,0.4167,0.3881,0.2868,1.0000,,,0.0611,0.1740,0.8975,white,asian
22,boxer,0.4167,0.3955,0.2791,1.0000,,,0.0685,0.1738,0.8632,black,asian
76,historian,0.4167,0.4296,0.3136,1.0000,,,0.0339,0.1737,0.9311,white,asian
8,architect,0.5000,0.3858,0.2906,1.0000,,,0.0557,0.1731,0.8984,white,asian
92,manager,0.5000,0.3892,0.2961,1.0000,,,0.0489,0.1725,0.9124,black,asian
24,builder,0.5000,0.3832,0.2835,1.0000,,,0.0592,0.1714,0.8860,black,asian
82,journalist,0.3333,0.3464,0.2605,1.0000,,,0.0791,0.1698,0.8651,black,asian
93,mathematician,0.4167,0.3861,0.2855,1.0000,,,0.0532,0.1693,0.9072,white,asian
19,banker,0.4167,0.3761,0.2607,1.0000,,,0.0770,0.1689,0.8672,black,asian
49,designer,0.4167,0.3125,0.2673,1.0000,,,0.0666,0.1669,0.8864,black,asian
139,tennis player,0.5833,0.3225,0.2986,1.0000,,,0.0350,0.1668,0.9605,white,hispanic
91,magician,0.5000,0.3446,0.2797,1.0000,,,0.0523,0.1660,0.9055,white,asian
