,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
15,colorful,0.5000,0.2114,0.2418,0.8750,,,0.1890,0.2154,0.9919,asian,black
64,masculine,0.3333,0.4061,0.3768,1.0000,,,0.0101,0.1935,0.9722,white,asian
63,manly,0.3333,0.5011,0.3745,1.0000,,,0.0043,0.1894,0.9877,black,hispanic
30,feminine,0.5000,-0.2815,0.2930,1.0000,,,0.0193,0.1562,0.9701,white,hispanic
111,violent,0.7500,0.3713,0.2736,1.0000,,,0.0027,0.1381,0.9916,black,hispanic
60,loud,0.5833,0.3652,0.2735,1.0000,,,0.0018,0.1376,0.9928,black,hispanic
18,confrontational,0.5833,0.2696,0.2628,1.0000,,,0.0017,0.1323,0.9916,black,asian
21,dangerous,0.6667,0.3585,0.2587,1.0000,,,0.0029,0.1308,0.9914,black,hispanic
54,impoverish,0.6667,0.2681,0.2498,1.0000,,,0.0024,0.1261,0.9891,black,asian
65,muscular,0.5833,0.3408,0.2491,1.0000,,,0.0023,0.1257,0.9894,black,hispanic
108,uneducated,0.6667,0.2726,0.2486,1.0000,,,0.0028,0.1257,0.9895,black,hispanic
37,friendly,0.6667,0.2238,0.2487,1.0000,,,0.0017,0.1252,0.9933,black,hispanic
100,talkative,0.5833,0.2172,0.2479,1.0000,,,0.0011,0.1245,0.9932,black,hispanic
29,fat,0.5833,0.1910,0.2440,1.0000,,,0.0037,0.1239,0.9900,white,black
22,defiant,0.6667,0.2724,0.2447,1.0000,,,0.0016,0.1231,0.9929,black,hispanic
9,capable,0.5000,0.2814,0.2431,1.0000,,,0.0029,0.1230,0.9907,white,hispanic
53,impossible,0.7500,0.2285,0.2417,1.0000,,,0.0028,0.1222,0.9882,black,white
86,silent,0.7500,0.1657,0.2428,1.0000,,,0.0009,0.1219,0.9926,black,hispanic
36,free,0.6667,0.1795,0.2381,1.0000,,,0.0055,0.1218,0.9894,white,hispanic
70,normal,0.7500,0.1991,0.2240,1.0000,,,0.0193,0.1217,0.9890,white,hispanic
24,dirty,0.5833,0.2841,0.2402,1.0000,,,0.0028,0.1215,0.9917,black,hispanic
77,quiet,0.5833,0.1728,0.2401,1.0000,,,0.0012,0.1207,0.9931,white,hispanic
95,studious,0.6667,0.3391,0.2390,1.0000,,,0.0023,0.1207,0.9906,black,asian
45,harsh,0.6667,0.2999,0.2367,1.0000,,,0.0036,0.1202,0.9893,black,hispanic
102,thin,0.5833,0.1557,0.2368,1.0000,,,0.0034,0.1201,0.9897,white,black
50,ignorant,0.5833,0.3011,0.2382,1.0000,,,0.0016,0.1199,0.9909,black,hispanic
0,angry,0.6667,0.2751,0.2380,1.0000,,,0.0014,0.1197,0.9931,black,hispanic
73,poor,0.6667,0.2606,0.2358,1.0000,,,0.0036,0.1197,0.9915,black,white
87,skinny,0.5833,0.1752,0.2374,1.0000,,,0.0019,0.1196,0.9902,black,hispanic
11,careless,0.6667,0.2792,0.2375,1.0000,,,0.0017,0.1196,0.9912,black,hispanic
41,greedy,0.7500,0.3096,0.2372,1.0000,,,0.0014,0.1193,0.9925,black,hispanic
17,complex,0.7500,0.2075,0.2345,1.0000,,,0.0017,0.1181,0.9894,white,asian
27,emotional,0.6667,0.1446,0.2329,1.0000,,,0.0014,0.1172,0.9921,white,asian
83,rowdy,0.6667,0.3088,0.2297,1.0000,,,0.0015,0.1156,0.9927,black,hispanic
47,homeless,0.6667,0.2898,0.2270,1.0000,,,0.0032,0.1151,0.9918,black,hispanic
12,cautious,0.6667,0.2716,0.2290,1.0000,,,0.0010,0.1150,0.9933,black,hispanic
13,clean,0.5833,0.2225,0.2256,1.0000,,,0.0039,0.1148,0.9909,white,hispanic
55,industrious,0.5833,0.3053,0.2269,1.0000,,,0.0023,0.1146,0.9916,black,hispanic
31,filthy,0.5833,0.2825,0.2261,1.0000,,,0.0027,0.1144,0.9903,black,hispanic
92,social,0.6667,0.1378,0.2223,1.0000,,,0.0050,0.1136,0.9877,white,hispanic
110,uptight,0.6667,0.2641,0.2240,1.0000,,,0.0027,0.1134,0.9896,black,asian
76,quick,0.7500,0.2437,0.2247,1.0000,,,0.0020,0.1133,0.9918,white,hispanic
43,handsome,0.8333,0.3169,0.2230,1.0000,,,0.0035,0.1132,0.9915,white,hispanic
105,trustworthy,0.6667,0.2301,0.2247,1.0000,,,0.0015,0.1131,0.9934,white,hispanic
69,nice,0.6667,0.1794,0.2234,1.0000,,,0.0024,0.1129,0.9927,white,hispanic
112,weak,0.6667,0.2325,0.2243,1.0000,,,0.0014,0.1129,0.9912,black,hispanic
57,irresponsible,0.7500,0.2951,0.2219,1.0000,,,0.0035,0.1127,0.9907,black,hispanic
