,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
115,postman,0.5833,0.6652,0.4435,1.0000,,,0.0038,0.2236,0.9894,black,asian
66,fireman,0.3333,0.6416,0.4343,1.0000,,,0.0033,0.2188,0.9907,black,hispanic
75,handyman,0.4167,0.6253,0.4176,1.0000,,,0.0043,0.2110,0.9906,white,hispanic
9,army,0.2500,0.3594,0.3094,1.0000,,,0.0957,0.2025,0.9569,white,hispanic
129,sheriff,0.5000,0.5843,0.3895,1.0000,,,0.0049,0.1972,0.9908,white,hispanic
40,commander,0.5000,0.5544,0.3720,1.0000,,,0.0057,0.1889,0.9905,black,hispanic
113,police officer,0.5000,0.5458,0.3639,1.0000,,,0.0052,0.1845,0.9894,black,hispanic
67,football player,0.5000,0.5282,0.3593,1.0000,,,0.0061,0.1827,0.9893,black,hispanic
114,politician,0.4167,0.5110,0.3457,1.0000,,,0.0087,0.1772,0.9917,black,hispanic
111,plumber,0.5000,0.5231,0.3487,1.0000,,,0.0030,0.1758,0.9916,black,hispanic
6,airman,0.5000,0.5005,0.3409,1.0000,,,0.0076,0.1743,0.9901,black,hispanic
141,umpire,0.5000,0.4910,0.3416,1.0000,,,0.0031,0.1723,0.9922,black,hispanic
28,carpenter,0.6667,0.5067,0.3392,1.0000,,,0.0034,0.1713,0.9914,white,hispanic
58,electrician,0.5000,0.4541,0.3120,1.0000,,,0.0261,0.1691,0.9504,black,asian
65,firefighter,0.6667,0.5010,0.3340,1.0000,,,0.0038,0.1689,0.9904,black,hispanic
30,CEO,0.5000,0.4913,0.3289,1.0000,,,0.0052,0.1671,0.9914,black,hispanic
133,soldier,0.5833,0.4629,0.3249,1.0000,,,0.0081,0.1665,0.9921,black,hispanic
38,coach,0.5000,0.4844,0.3287,1.0000,,,0.0036,0.1661,0.9928,black,hispanic
110,pilot,0.5833,0.4620,0.3274,1.0000,,,0.0048,0.1661,0.9923,white,hispanic
140,theologian,0.5000,0.4502,0.3052,1.0000,,,0.0270,0.1661,0.9466,black,asian
8,architect,0.5000,0.4688,0.3259,1.0000,,,0.0043,0.1651,0.9931,white,hispanic
108,physicist,0.6667,0.4828,0.3220,1.0000,,,0.0063,0.1641,0.9885,white,hispanic
117,professor,0.5000,0.4857,0.3242,1.0000,,,0.0031,0.1637,0.9913,black,hispanic
61,engineer,0.5833,0.4612,0.3170,1.0000,,,0.0090,0.1630,0.9908,black,hispanic
63,executive,0.5000,0.4632,0.3158,1.0000,,,0.0080,0.1619,0.9864,black,hispanic
80,inspector,0.5000,0.4548,0.3168,1.0000,,,0.0063,0.1616,0.9881,black,hispanic
132,software engineer,0.5000,0.4753,0.3172,1.0000,,,0.0058,0.1615,0.9907,black,hispanic
72,guitarist,0.6667,0.4738,0.3164,1.0000,,,0.0052,0.1608,0.9928,black,hispanic
92,manager,0.4167,0.4685,0.3179,1.0000,,,0.0035,0.1607,0.9900,black,asian
69,gambler,0.6667,0.4567,0.3172,1.0000,,,0.0033,0.1602,0.9917,black,hispanic
31,chef,0.5833,0.4536,0.3127,1.0000,,,0.0045,0.1586,0.9929,black,hispanic
