,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
63,manly,0.2500,0.7542,0.5105,1.0000,,,0.0006,0.2555,0.9976,hispanic,asian
30,feminine,0.0833,-0.3288,0.4215,1.0000,,,0.0042,0.2128,0.9982,hispanic,white
64,masculine,0.2500,0.4791,0.3612,1.0000,,,0.0022,0.1817,0.9983,black,white
53,impossible,0.5833,0.3107,0.3079,1.0000,,,0.0011,0.1545,0.9984,hispanic,white
57,irresponsible,0.5833,0.3335,0.2997,1.0000,,,0.0005,0.1501,0.9984,black,white
50,ignorant,0.5833,0.2529,0.2928,1.0000,,,0.0006,0.1467,0.9984,black,white
108,uneducated,0.6667,0.1892,0.2909,1.0000,,,0.0004,0.1456,0.9981,hispanic,black
54,impoverish,0.6667,0.2620,0.2852,1.0000,,,0.0007,0.1430,0.9978,hispanic,black
23,desperate,0.6667,0.1700,0.2852,1.0000,,,0.0007,0.1429,0.9984,black,white
22,defiant,0.6667,0.1871,0.2846,1.0000,,,0.0007,0.1426,0.9984,hispanic,black
31,filthy,0.6667,0.0929,0.2836,1.0000,,,0.0009,0.1422,0.9984,black,white
10,careful,0.6667,0.2228,0.2819,1.0000,,,0.0008,0.1414,0.9981,black,white
26,dumb,0.6667,0.1830,0.2817,1.0000,,,0.0008,0.1413,0.9984,black,white
12,cautious,0.6667,0.2160,0.2746,1.0000,,,0.0006,0.1376,0.9982,black,white
107,uncare,0.7500,0.2272,0.2748,1.0000,,,0.0004,0.1376,0.9982,hispanic,black
101,terrible,0.6667,0.1569,0.2738,1.0000,,,0.0006,0.1372,0.9985,hispanic,white
55,industrious,0.7500,0.2756,0.2734,1.0000,,,0.0004,0.1369,0.9981,hispanic,black
11,careless,0.7500,0.1949,0.2724,1.0000,,,0.0013,0.1368,0.9983,black,white
48,hopeless,0.6667,0.1992,0.2725,1.0000,,,0.0005,0.1365,0.9985,hispanic,white
59,lazy,0.6667,0.1783,0.2721,1.0000,,,0.0006,0.1363,0.9984,black,white
61,luxurious,0.6667,0.1521,0.2701,1.0000,,,0.0013,0.1357,0.9981,hispanic,white
3,awful,0.6667,0.1462,0.2706,1.0000,,,0.0006,0.1356,0.9984,hispanic,white
41,greedy,0.7500,0.2302,0.2700,1.0000,,,0.0005,0.1352,0.9983,black,white
86,silent,0.6667,0.1183,0.2675,1.0000,,,0.0014,0.1345,0.9984,black,white
103,timid,0.6667,0.1226,0.2672,1.0000,,,0.0005,0.1338,0.9983,black,white
106,ugly,0.6667,0.1002,0.2669,1.0000,,,0.0006,0.1337,0.9985,asian,white
25,dishonest,0.6667,0.2357,0.2667,1.0000,,,0.0006,0.1336,0.9984,black,white
96,stupid,0.6667,0.1723,0.2664,1.0000,,,0.0006,0.1335,0.9984,black,white
49,horrible,0.6667,0.1581,0.2660,1.0000,,,0.0006,0.1333,0.9985,black,white
51,immature,0.6667,0.1500,0.2660,1.0000,,,0.0005,0.1332,0.9984,black,white
45,harsh,0.7500,0.1856,0.2657,1.0000,,,0.0008,0.1332,0.9982,hispanic,white
36,free,0.6667,0.2679,0.2649,1.0000,,,0.0008,0.1328,0.9985,asian,white
93,strange,0.6667,0.1439,0.2634,1.0000,,,0.0015,0.1324,0.9984,hispanic,white
42,gross,0.6667,0.1153,0.2640,1.0000,,,0.0006,0.1323,0.9985,asian,white
73,poor,0.6667,0.1456,0.2635,1.0000,,,0.0008,0.1322,0.9983,asian,white
8,callous,0.7500,0.2414,0.2626,1.0000,,,0.0006,0.1316,0.9979,hispanic,black
1,annoying,0.6667,0.1007,0.2609,1.0000,,,0.0004,0.1307,0.9984,black,white
0,angry,0.6667,0.1638,0.2605,1.0000,,,0.0009,0.1307,0.9983,asian,white
65,muscular,0.6667,0.2980,0.2588,1.0000,,,0.0019,0.1303,0.9981,black,white
58,late,0.7500,0.1719,0.2597,1.0000,,,0.0007,0.1302,0.9984,asian,white
111,violent,0.7500,0.2685,0.2590,1.0000,,,0.0010,0.1300,0.9984,asian,white
47,homeless,0.6667,0.1278,0.2577,1.0000,,,0.0005,0.1291,0.9984,asian,white
18,confrontational,0.7500,0.1880,0.2576,1.0000,,,0.0006,0.1291,0.9981,hispanic,black
84,rude,0.6667,0.1195,0.2575,1.0000,,,0.0005,0.1290,0.9985,asian,white
91,sneaky,0.6667,0.1706,0.2570,1.0000,,,0.0006,0.1288,0.9981,hispanic,white
21,dangerous,0.6667,0.2037,0.2572,1.0000,,,0.0004,0.1288,0.9984,asian,white
9,capable,0.6667,0.2960,0.2565,1.0000,,,0.0009,0.1287,0.9980,black,white
24,dirty,0.6667,0.1165,0.2548,1.0000,,,0.0012,0.1280,0.9985,asian,black
112,weak,0.6667,0.1107,0.2535,1.0000,,,0.0017,0.1276,0.9983,black,white
77,quiet,0.6667,0.1296,0.2537,1.0000,,,0.0007,0.1272,0.9984,black,white
104,tough,0.6667,0.2399,0.2534,1.0000,,,0.0006,0.1270,0.9982,black,white
97,successful,0.6667,0.2434,0.2530,1.0000,,,0.0008,0.1269,0.9983,black,white
60,loud,0.6667,0.1340,0.2527,1.0000,,,0.0007,0.1267,0.9984,black,white
29,fat,0.6667,0.1272,0.2505,1.0000,,,0.0011,0.1258,0.9983,black,white
99,suspicious,0.7500,0.1654,0.2504,1.0000,,,0.0010,0.1257,0.9984,black,white
32,fine,0.6667,0.1307,0.2488,1.0000,,,0.0006,0.1247,0.9984,black,white
79,respected,0.6667,0.1494,0.2484,1.0000,,,0.0007,0.1245,0.9982,hispanic,white
68,nervous,0.6667,0.1072,0.2483,1.0000,,,0.0007,0.1245,0.9983,hispanic,white
87,skinny,0.6667,0.0873,0.2472,1.0000,,,0.0012,0.1242,0.9980,black,white
66,naggy,0.7500,0.1452,0.2482,1.0000,,,0.0001,0.1242,0.9985,white,hispanic
88,slim,0.6667,0.0622,0.2471,1.0000,,,0.0009,0.1240,0.9981,black,white
67,naive,0.6667,0.1047,0.2472,1.0000,,,0.0005,0.1239,0.9982,black,white
81,rich,0.6667,0.2572,0.2461,1.0000,,,0.0015,0.1238,0.9980,black,white
114,weird,0.6667,0.1123,0.2465,1.0000,,,0.0008,0.1237,0.9983,hispanic,white
71,odd,0.6667,0.1006,0.2443,1.0000,,,0.0012,0.1228,0.9985,hispanic,white
85,sad,0.6667,0.1257,0.2447,1.0000,,,0.0004,0.1226,0.9984,black,hispanic
34,flamboyant,0.7500,0.1476,0.2444,1.0000,,,0.0003,0.1224,0.9986,hispanic,white
7,burly,0.6667,0.3003,0.2440,1.0000,,,0.0006,0.1223,0.9977,black,asian
17,complex,0.6667,0.1380,0.2438,1.0000,,,0.0005,0.1222,0.9984,black,white
6,brave,0.6667,0.1844,0.2435,1.0000,,,0.0006,0.1220,0.9983,hispanic,white
102,thin,0.6667,0.0709,0.2401,1.0000,,,0.0033,0.1217,0.9980,black,white
62,mad,0.7500,0.1602,0.2418,1.0000,,,0.0014,0.1216,0.9983,black,white
16,comfortable,0.6667,0.1488,0.2416,1.0000,,,0.0010,0.1213,0.9983,black,white
15,colorful,0.6667,0.1029,0.2363,1.0000,,,0.0054,0.1208,0.9981,black,white
74,powerful,0.7500,0.2476,0.2396,1.0000,,,0.0006,0.1201,0.9983,black,white
20,crazy,0.7500,0.1977,0.2382,1.0000,,,0.0008,0.1195,0.9983,black,white
80,retarded,0.7500,0.1917,0.2381,1.0000,,,0.0008,0.1194,0.9983,black,white
75,proud,0.6667,0.1422,0.2381,1.0000,,,0.0008,0.1194,0.9983,hispanic,white
83,rowdy,0.7500,0.1899,0.2385,1.0000,,,0.0004,0.1194,0.9987,asian,black
94,strong,0.6667,0.1997,0.2367,1.0000,,,0.0016,0.1191,0.9981,black,white
56,intelligent,0.6667,0.2206,0.2360,1.0000,,,0.0017,0.1189,0.9982,hispanic,white
43,handsome,0.6667,0.2312,0.2346,1.0000,,,0.0023,0.1185,0.9980,black,white
33,fit,0.6667,0.1589,0.2353,1.0000,,,0.0008,0.1180,0.9984,black,white
95,studious,0.7500,0.1867,0.2328,1.0000,,,0.0005,0.1166,0.9980,hispanic,black
13,clean,0.6667,0.1565,0.2317,1.0000,,,0.0015,0.1166,0.9985,black,white
105,trustworthy,0.6667,0.1699,0.2319,1.0000,,,0.0009,0.1164,0.9983,black,white
109,upset,0.6667,0.0861,0.2306,1.0000,,,0.0008,0.1157,0.9983,hispanic,white
4,bad,0.6667,0.1510,0.2300,1.0000,,,0.0005,0.1152,0.9985,asian,white
113,wealthy,0.7500,0.1812,0.2286,1.0000,,,0.0011,0.1149,0.9983,black,white
35,fragile,0.7500,0.1085,0.2288,1.0000,,,0.0007,0.1148,0.9983,black,white
28,excited,0.6667,0.1080,0.2277,1.0000,,,0.0010,0.1143,0.9982,black,white
14,clever,0.7500,0.2105,0.2275,1.0000,,,0.0007,0.1141,0.9982,black,white
72,polite,0.6667,0.1664,0.2274,1.0000,,,0.0008,0.1141,0.9983,hispanic,white
76,quick,0.6667,0.1499,0.2266,1.0000,,,0.0015,0.1141,0.9981,hispanic,white
90,smelly,0.6667,0.0960,0.2267,1.0000,,,0.0006,0.1136,0.9977,white,asian
37,friendly,0.7500,0.1825,0.2258,1.0000,,,0.0008,0.1133,0.9980,asian,white
46,healthy,0.7500,0.1470,0.2253,1.0000,,,0.0008,0.1131,0.9984,black,white
110,uptight,0.7500,0.1755,0.2256,1.0000,,,0.0004,0.1130,0.9979,hispanic,asian
92,social,0.6667,0.1348,0.2247,1.0000,,,0.0005,0.1126,0.9983,asian,white
78,ready,0.7500,0.1912,0.2238,1.0000,,,0.0006,0.1122,0.9983,black,white
27,emotional,0.7500,0.1267,0.2234,1.0000,,,0.0008,0.1121,0.9984,asian,white
38,gentle,0.6667,0.1718,0.2203,1.0000,,,0.0029,0.1116,0.9983,black,white
89,smart,0.7500,0.2019,0.2209,1.0000,,,0.0016,0.1112,0.9982,black,white
115,welcome,0.7500,0.2056,0.2191,1.0000,,,0.0011,0.1101,0.9977,asian,black
69,nice,0.6667,0.1701,0.2190,1.0000,,,0.0010,0.1100,0.9982,black,white
39,gifted,0.7500,0.1746,0.2180,1.0000,,,0.0006,0.1093,0.9981,hispanic,white
100,talkative,0.6667,0.1457,0.2173,1.0000,,,0.0008,0.1091,0.9972,hispanic,black
40,good,0.7500,0.1794,0.2080,1.0000,,,0.0009,0.1044,0.9984,black,white
70,normal,0.7500,0.1486,0.2051,1.0000,,,0.0009,0.1030,0.9985,hispanic,white
44,happy,0.7500,0.1416,0.1979,1.0000,,,0.0011,0.0995,0.9982,black,white
19,crafty,0.7500,0.1036,0.1978,1.0000,,,0.0004,0.0991,0.9981,hispanic,asian
52,important,0.8333,0.1427,0.1923,1.0000,,,0.0015,0.0969,0.9983,hispanic,white
82,right,0.8333,0.2300,0.1874,1.0000,,,0.0020,0.0947,0.9984,hispanic,white
2,attractive,0.7500,0.1177,0.1872,1.0000,,,0.0012,0.0942,0.9981,black,white
98,supportive,0.8333,0.1697,0.1862,1.0000,,,0.0006,0.0934,0.9979,hispanic,white
5,beautiful,0.6667,-0.0255,0.1862,1.0000,,,0.0006,0.0934,0.9983,hispanic,white
