,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
75,handyman,0.5833,0.6216,0.4163,1.0000,,,0.0009,0.2086,0.9968,hispanic,asian
66,fireman,0.5000,0.6091,0.4060,1.0000,,,0.0007,0.2034,0.9975,hispanic,black
26,butcher,0.4167,0.4949,0.3600,1.0000,,,0.0010,0.1805,0.9981,asian,black
129,sheriff,0.5000,0.4794,0.3435,1.0000,,,0.0011,0.1723,0.9982,hispanic,white
72,guitarist,0.5833,0.4765,0.3405,1.0000,,,0.0015,0.1710,0.9981,hispanic,white
65,firefighter,0.5833,0.4312,0.3388,1.0000,,,0.0013,0.1700,0.9983,asian,white
133,soldier,0.5833,0.4631,0.3358,1.0000,,,0.0013,0.1686,0.9983,hispanic,white
111,plumber,0.6667,0.4683,0.3348,1.0000,,,0.0004,0.1676,0.9977,hispanic,asian
67,football player,0.5000,0.4163,0.3339,1.0000,,,0.0011,0.1675,0.9977,hispanic,black
110,pilot,0.5833,0.4343,0.3315,1.0000,,,0.0014,0.1664,0.9983,hispanic,white
113,police officer,0.5833,0.4230,0.3297,1.0000,,,0.0011,0.1654,0.9977,hispanic,black
27,butler,0.6667,0.4640,0.3290,1.0000,,,0.0004,0.1647,0.9976,hispanic,asian
80,inspector,0.5000,0.3962,0.3278,1.0000,,,0.0010,0.1644,0.9982,hispanic,white
115,postman,0.5000,0.4731,0.3271,1.0000,,,0.0014,0.1643,0.9961,hispanic,asian
22,boxer,0.5000,0.4194,0.3270,1.0000,,,0.0013,0.1642,0.9981,hispanic,white
94,mechanic,0.5833,0.4202,0.3268,1.0000,,,0.0010,0.1639,0.9983,hispanic,white
50,detective,0.5000,0.4064,0.3264,1.0000,,,0.0008,0.1636,0.9983,asian,white
20,barber,0.5833,0.4151,0.3259,1.0000,,,0.0007,0.1633,0.9983,asian,black
61,engineer,0.5833,0.4108,0.3254,1.0000,,,0.0009,0.1631,0.9983,hispanic,white
117,professor,0.5000,0.3873,0.3252,1.0000,,,0.0005,0.1628,0.9984,hispanic,white
127,security guard,0.5000,0.3882,0.3248,1.0000,,,0.0008,0.1628,0.9970,hispanic,asian
53,doctor,0.5000,0.4027,0.3202,1.0000,,,0.0015,0.1609,0.9982,hispanic,white
107,physician,0.5000,0.3782,0.3196,1.0000,,,0.0014,0.1605,0.9982,hispanic,white
2,actor,0.5000,0.3920,0.3197,1.0000,,,0.0011,0.1604,0.9982,hispanic,white
77,hostess,0.3333,-0.3207,0.3186,1.0000,,,0.0010,0.1598,0.9969,hispanic,black
135,surgeon,0.5000,0.3941,0.3172,1.0000,,,0.0010,0.1591,0.9981,hispanic,white
6,airman,0.5833,0.4141,0.3172,1.0000,,,0.0008,0.1590,0.9969,hispanic,asian
137,tailor,0.5000,0.3912,0.3171,1.0000,,,0.0006,0.1589,0.9979,hispanic,black
120,radiologist,0.5000,0.3749,0.3151,1.0000,,,0.0009,0.1580,0.9969,hispanic,asian
19,banker,0.5833,0.3964,0.3146,1.0000,,,0.0011,0.1579,0.9983,asian,white
34,chief,0.6667,0.4162,0.3134,1.0000,,,0.0007,0.1571,0.9980,hispanic,white
40,commander,0.5000,0.4254,0.3135,1.0000,,,0.0006,0.1570,0.9982,hispanic,white
141,umpire,0.6667,0.4119,0.3125,1.0000,,,0.0016,0.1570,0.9953,hispanic,asian
91,magician,0.5833,0.4059,0.3113,1.0000,,,0.0003,0.1558,0.9982,hispanic,white
38,coach,0.5000,0.3878,0.3101,1.0000,,,0.0008,0.1554,0.9983,hispanic,white
31,chef,0.5000,0.3646,0.3105,1.0000,,,0.0002,0.1553,0.9983,hispanic,black
5,agent,0.5833,0.3583,0.3095,1.0000,,,0.0010,0.1552,0.9982,hispanic,white
108,physicist,0.5833,0.3906,0.3093,1.0000,,,0.0011,0.1552,0.9983,hispanic,white
48,dentist,0.5000,0.3662,0.3089,1.0000,,,0.0011,0.1550,0.9983,asian,white
1,accountant,0.5000,0.3574,0.3081,1.0000,,,0.0009,0.1545,0.9983,hispanic,white
71,guard,0.5000,0.3676,0.3067,1.0000,,,0.0017,0.1542,0.9977,asian,white
83,judge,0.5000,0.3531,0.3065,1.0000,,,0.0014,0.1540,0.9982,hispanic,white
118,prosecutor,0.5000,0.3530,0.3065,1.0000,,,0.0009,0.1537,0.9984,hispanic,white
58,electrician,0.5833,0.3812,0.3066,1.0000,,,0.0007,0.1537,0.9970,hispanic,asian
95,medical student,0.5000,0.2640,0.3057,1.0000,,,0.0013,0.1535,0.9969,hispanic,black
132,software engineer,0.5000,0.3395,0.3045,1.0000,,,0.0007,0.1526,0.9978,hispanic,black
4,aeronautical engineer,0.7500,0.4076,0.3031,1.0000,,,0.0007,0.1519,0.9982,hispanic,white
30,CEO,0.6667,0.3672,0.3010,1.0000,,,0.0006,0.1508,0.9980,hispanic,white
16,auditor,0.5000,0.3245,0.3007,1.0000,,,0.0009,0.1508,0.9982,hispanic,white
87,lawyer,0.5000,0.3591,0.2991,1.0000,,,0.0012,0.1501,0.9983,hispanic,white
13,athlete,0.5000,0.3555,0.2990,1.0000,,,0.0013,0.1501,0.9983,hispanic,white
28,carpenter,0.5833,0.3631,0.2990,1.0000,,,0.0009,0.1499,0.9968,hispanic,asian
102,painter,0.5000,0.3285,0.2969,1.0000,,,0.0024,0.1496,0.9979,hispanic,white
8,architect,0.5000,0.3439,0.2975,1.0000,,,0.0010,0.1493,0.9980,hispanic,white
119,psychologist,0.5000,0.3378,0.2973,1.0000,,,0.0010,0.1491,0.9983,hispanic,white
33,chess player,0.5833,0.3020,0.2957,1.0000,,,0.0022,0.1490,0.9979,hispanic,black
21,bartender,0.5833,0.3438,0.2956,1.0000,,,0.0021,0.1488,0.9982,asian,white
98,musician,0.5833,0.3643,0.2964,1.0000,,,0.0010,0.1487,0.9983,hispanic,white
64,farmer,0.5833,0.3789,0.2950,1.0000,,,0.0021,0.1485,0.9982,hispanic,white
116,producer,0.5833,0.3507,0.2945,1.0000,,,0.0013,0.1479,0.9982,hispanic,white
32,chemist,0.5000,0.3534,0.2943,1.0000,,,0.0015,0.1479,0.9982,hispanic,white
56,economist,0.5833,0.3505,0.2938,1.0000,,,0.0009,0.1474,0.9983,hispanic,white
76,historian,0.6667,0.3506,0.2936,1.0000,,,0.0011,0.1473,0.9983,hispanic,white
39,comedian,0.5000,0.3330,0.2937,1.0000,,,0.0009,0.1473,0.9983,hispanic,white
112,poet,0.5000,0.3462,0.2923,1.0000,,,0.0012,0.1467,0.9982,hispanic,white
82,journalist,0.5000,0.3194,0.2923,1.0000,,,0.0009,0.1466,0.9981,hispanic,white
63,executive,0.5000,0.3552,0.2919,1.0000,,,0.0008,0.1463,0.9982,hispanic,white
92,manager,0.5833,0.3407,0.2912,1.0000,,,0.0010,0.1461,0.9982,asian,white
12,astronomer,0.6667,0.3702,0.2911,1.0000,,,0.0010,0.1461,0.9983,hispanic,white
52,director,0.5000,0.3387,0.2903,1.0000,,,0.0010,0.1457,0.9982,hispanic,white
93,mathematician,0.5833,0.3441,0.2895,1.0000,,,0.0017,0.1456,0.9982,hispanic,white
55,driver,0.5000,0.3364,0.2889,1.0000,,,0.0017,0.1453,0.9981,hispanic,white
109,pianist,0.5000,0.3274,0.2892,1.0000,,,0.0013,0.1453,0.9972,hispanic,black
140,theologian,0.6667,0.3504,0.2899,1.0000,,,0.0006,0.1452,0.9974,hispanic,asian
121,realtor,0.5833,0.2649,0.2878,1.0000,,,0.0011,0.1445,0.9973,hispanic,black
42,construction worker,0.6667,0.3494,0.2875,1.0000,,,0.0009,0.1442,0.9973,hispanic,black
86,lawn mower,0.5833,0.3295,0.2871,1.0000,,,0.0010,0.1441,0.9977,hispanic,black
125,scientist,0.5833,0.3448,0.2867,1.0000,,,0.0010,0.1438,0.9983,hispanic,white
62,entrepreneur,0.5000,0.3206,0.2865,1.0000,,,0.0006,0.1436,0.9984,black,white
124,salesperson,0.5833,0.2144,0.2857,1.0000,,,0.0007,0.1432,0.9986,asian,black
51,diplomat,0.5833,0.3282,0.2851,1.0000,,,0.0009,0.1430,0.9981,hispanic,white
114,politician,0.7500,0.3591,0.2846,1.0000,,,0.0009,0.1428,0.9983,hispanic,white
41,composer,0.6667,0.3389,0.2844,1.0000,,,0.0009,0.1427,0.9982,hispanic,white
104,performing artist,0.5833,0.2509,0.2836,1.0000,,,0.0009,0.1423,0.9974,hispanic,black
18,baker,0.5000,0.2984,0.2829,1.0000,,,0.0013,0.1421,0.9982,asian,white
46,dealer,0.5833,0.3287,0.2829,1.0000,,,0.0012,0.1421,0.9983,asian,white
81,janitor,0.6667,0.2986,0.2810,1.0000,,,0.0011,0.1411,0.9971,hispanic,black
24,builder,0.6667,0.3470,0.2808,1.0000,,,0.0013,0.1410,0.9982,hispanic,white
89,lifeguard,0.5833,0.2880,0.2810,1.0000,,,0.0007,0.1409,0.9971,hispanic,black
128,servant,0.5833,0.2314,0.2810,1.0000,,,0.0004,0.1407,0.9982,hispanic,white
138,teacher,0.5000,0.2985,0.2800,1.0000,,,0.0011,0.1405,0.9982,hispanic,white
25,businessperson,0.5833,0.2785,0.2802,1.0000,,,0.0007,0.1405,0.9979,hispanic,black
84,laborer,0.6667,0.2935,0.2784,1.0000,,,0.0014,0.1399,0.9963,hispanic,asian
3,administrator,0.5000,0.2689,0.2788,1.0000,,,0.0009,0.1399,0.9983,hispanic,white
49,designer,0.5000,0.2994,0.2789,1.0000,,,0.0008,0.1398,0.9983,hispanic,white
106,photographer,0.5000,0.2830,0.2773,1.0000,,,0.0010,0.1392,0.9978,hispanic,white
136,swimmer,0.5833,0.1967,0.2762,1.0000,,,0.0011,0.1387,0.9976,hispanic,black
43,cook,0.5000,0.2967,0.2753,1.0000,,,0.0020,0.1386,0.9980,hispanic,white
7,analyst,0.5000,0.3150,0.2762,1.0000,,,0.0009,0.1386,0.9980,hispanic,white
47,delivery,0.5833,0.2707,0.2748,1.0000,,,0.0022,0.1385,0.9978,hispanic,white
105,pharmacist,0.5833,0.2893,0.2757,1.0000,,,0.0007,0.1382,0.9982,hispanic,black
139,tennis player,0.5833,0.2612,0.2750,1.0000,,,0.0010,0.1380,0.9979,hispanic,black
70,grocer,0.5833,0.3084,0.2744,1.0000,,,0.0013,0.1378,0.9983,asian,white
74,handball player,0.5833,0.2163,0.2748,1.0000,,,0.0004,0.1376,0.9979,black,asian
44,counselor,0.5000,0.2649,0.2737,1.0000,,,0.0012,0.1375,0.9982,hispanic,white
79,illustrator,0.5833,0.2371,0.2730,1.0000,,,0.0006,0.1368,0.9971,white,asian
23,broker,0.5833,0.2805,0.2720,1.0000,,,0.0013,0.1366,0.9982,hispanic,white
57,editor,0.5833,0.2833,0.2721,1.0000,,,0.0010,0.1365,0.9980,hispanic,white
131,sociologist,0.6667,0.2888,0.2718,1.0000,,,0.0005,0.1362,0.9974,hispanic,asian
0,academic,0.5833,0.2695,0.2704,1.0000,,,0.0009,0.1357,0.9983,hispanic,white
69,gambler,0.6667,0.2889,0.2692,1.0000,,,0.0007,0.1350,0.9972,hispanic,asian
37,clerk,0.5000,0.2761,0.2690,1.0000,,,0.0007,0.1348,0.9980,asian,black
29,cashier,0.6667,0.1873,0.2655,1.0000,,,0.0023,0.1339,0.9965,hispanic,black
54,drawer,0.5833,0.2202,0.2460,1.0000,,,0.0213,0.1336,0.9760,hispanic,white
122,receptionist,0.5833,0.1915,0.2651,1.0000,,,0.0011,0.1331,0.9970,hispanic,black
10,artist,0.5000,0.2765,0.2640,1.0000,,,0.0008,0.1324,0.9982,hispanic,white
130,singer,0.5833,0.2763,0.2629,1.0000,,,0.0008,0.1319,0.9983,hispanic,white
