,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.4929996311128233,0.4170116580366175,0.00352727651635421,0.002975551147567879,0.2291285292033407,0.6089484049750605,0.4131023667742038,0.0016278805429260181,0.0013349976170816105,0.256253412477318,0.11174170231258378,0.005074196668415839,0.05341418393649938,0.030326600970947318,0.05013917097211158,0.3495363245246314,0.007477750577215479,0.0023664264559824294,0.01770039881968158
nn1,0.5018724528824873,0.5750765654354774,0.9951364280472339,0.9957994983114046,0.7669712361691507,0.38490086702079,0.5792859725161702,0.9978860452981062,0.9981389333461893,0.740052954545314,0.8093466739705268,0.9109072233656083,0.7871373702092712,0.7238556329257931,0.8078117251177999,0.6062699836724538,0.9369539602157225,0.9967402262507336,0.8173814281457007
cn1,0.005127913331281735,0.007911776715184391,0.0013362953280923481,0.0012249492885593068,0.003900233665779445,0.0061507286143050845,0.007611660349842471,0.00048607091942447906,0.0005260670048552003,0.0036936317221068085,0.07891163331372267,0.0840185832894349,0.15944844700220717,0.24581776750293088,0.1420491077770739,0.04419369322109059,0.05556828888888286,0.0008933456352328336,0.1649181753961829
en2,0.2126208827575794,0.21155628279008515,0.0025890158230281422,0.0013959728671109368,0.1070405385594509,0.2558610505291081,0.2730785332333789,0.001641750486541382,0.0012882725468130205,0.13296740169896037,0.16594125507548055,0.009815980192466999,0.04821545720264382,0.049066177742275376,0.06825971755321669,0.19454557693137933,0.01096619494303931,0.0017287529308733702,0.029441078967371186
nn2,0.7780821971793503,0.7797624122965153,0.9968947193152468,0.9982894612797375,0.8882571975177125,0.7372814763967,0.7132421773697796,0.9978912405564752,0.9982817537825683,0.8616741620263808,0.7096118139192225,0.8902177770346911,0.6011426867520911,0.7054822730351589,0.7266136376852909,0.7198537939856098,0.9311762041673131,0.997839293733507,0.797850025034925
cn2,0.009296920681037067,0.008681304642209833,0.0005162658053450286,0.00031456656105202175,0.004702264422410988,0.006857474687404847,0.013679289327176348,0.00046700876043014175,0.00042997799228660055,0.005358437691824485,0.12444693166415821,0.09996624549239641,0.3506418525815936,0.24545154915616518,0.20512664472357836,0.08560062893059665,0.057857602294612565,0.00043195477977844816,0.1727088973242808
en3,,,0.0014940289699334757,0.0013367495326935474,0.0014153892513135116,,,0.0013005323831031335,0.0014197060568378597,0.0013601192199704966,,,,,,,0.0013877542356420041,0.0013877542356420041,
nn3,,,0.9981296566170705,0.9983491275844902,0.9982393921007804,,,0.9983028618382735,0.9982274693661722,0.9982651656022229,,,,,,,0.9982522788515016,0.9982522788515016,
cn3,,,0.00037631297512324263,0.00031411788987842837,0.0003452154325008355,,,0.0003966047898103798,0.00035282911392579114,0.0003747169518680855,,,,,,,0.0003599661921844605,0.0003599661921844605,
