,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
66,fireman,0.2500,0.2578,0.3427,0.7500,hispanic,asian,0.2143,0.2785
42,construction worker,0.3750,0.0262,0.1714,0.8750,hispanic,asian,0.3254,0.2484
65,firefighter,0.3333,0.1769,0.2170,0.8750,hispanic,asian,0.2014,0.2092
72,guitarist,0.4464,0.0871,0.1456,0.8750,hispanic,white,0.2411,0.1933
41,composer,0.3462,0.0934,0.0940,0.8750,hispanic,white,0.2576,0.1758
129,sheriff,0.7222,0.1086,0.1557,0.8750,hispanic,white,0.1851,0.1704
101,opera singer,0.5000,-0.0765,0.0998,0.8750,hispanic,asian,0.2354,0.1676
67,football player,0.5577,-0.0420,0.1604,1.0000,hispanic,black,0.1710,0.1657
103,pensioner,0.4423,0.0026,0.1059,0.8750,hispanic,asian,0.2246,0.1653
136,swimmer,0.4333,-0.0933,0.1003,0.8750,hispanic,asian,0.2203,0.1603
40,commander,0.3864,0.1099,0.1591,0.8750,hispanic,asian,0.1594,0.1592
9,army,0.4038,-0.0671,0.0939,0.7500,hispanic,asian,0.2235,0.1587
87,lawyer,0.5263,0.1329,0.1885,1.0000,hispanic,white,0.1282,0.1584
53,doctor,0.3667,0.0343,0.1405,1.0000,hispanic,white,0.1752,0.1579
109,pianist,0.3393,0.0188,0.0682,0.8750,hispanic,asian,0.2469,0.1575
102,painter,0.5000,0.0434,0.0828,0.8750,hispanic,black,0.2302,0.1565
115,postman,0.2885,0.0638,0.1406,0.8750,hispanic,white,0.1708,0.1557
100,office worker,0.4833,-0.0471,0.1120,0.8750,hispanic,asian,0.1957,0.1539
5,agent,0.2667,0.0142,0.1795,1.0000,hispanic,asian,0.1277,0.1536
112,poet,0.4118,-0.0029,0.0643,0.8750,hispanic,white,0.2417,0.1530
6,airman,0.4028,-0.0319,0.1207,0.8750,black,asian,0.1816,0.1511
32,chemist,0.4844,-0.0172,0.0939,0.8750,hispanic,asian,0.2077,0.1508
26,butcher,0.2500,0.1156,0.1344,1.0000,hispanic,black,0.1641,0.1493
24,builder,0.3529,0.0344,0.1084,0.8750,hispanic,black,0.1871,0.1477
91,magician,0.3906,0.1303,0.1387,1.0000,hispanic,asian,0.1561,0.1474
10,artist,0.5962,0.0055,0.0928,0.8750,hispanic,white,0.2013,0.1471
98,musician,0.5208,0.0311,0.0848,1.0000,hispanic,white,0.2078,0.1463
2,actor,0.8542,0.0699,0.1237,1.0000,hispanic,white,0.1648,0.1443
86,lawn mower,0.2500,-0.0077,0.0839,0.8750,black,asian,0.2034,0.1437
61,engineer,0.3281,0.0484,0.1146,1.0000,hispanic,white,0.1722,0.1434
75,handyman,0.2647,0.1427,0.1988,1.0000,hispanic,white,0.0873,0.1430
64,farmer,0.4773,0.0310,0.1015,1.0000,hispanic,white,0.1844,0.1429
130,singer,0.5208,0.0099,0.0813,0.8750,hispanic,white,0.2035,0.1424
28,carpenter,0.4464,0.0256,0.0948,0.8750,hispanic,white,0.1874,0.1411
110,pilot,0.5139,0.0342,0.1046,1.0000,hispanic,asian,0.1745,0.1396
35,civil,0.2500,-0.0305,0.0671,0.6250,hispanic,asian,0.2114,0.1392
113,police officer,0.5536,-0.0959,0.1325,1.0000,hispanic,asian,0.1449,0.1387
92,manager,0.5500,0.0758,0.1074,1.0000,hispanic,white,0.1694,0.1384
127,security guard,0.5000,0.0011,0.1158,0.8750,hispanic,asian,0.1604,0.1381
22,boxer,0.4844,0.0526,0.1322,0.8750,hispanic,black,0.1380,0.1351
59,employee,0.3269,0.0347,0.0959,1.0000,hispanic,white,0.1708,0.1334
46,dealer,0.2333,0.0141,0.1292,0.8750,hispanic,white,0.1362,0.1327
99,nurse,0.5000,-0.0709,0.1081,1.0000,hispanic,white,0.1524,0.1302
76,historian,0.6500,-0.0080,0.0926,0.8750,hispanic,black,0.1639,0.1283
19,banker,0.6833,0.0533,0.0928,0.8750,hispanic,black,0.1616,0.1272
