,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
53,impossible,0.4118,-0.0463,0.0794,1.0000,white,black,0.0833,0.0813
30,feminine,0.4306,-0.0288,0.1310,1.0000,hispanic,black,0.0265,0.0788
70,normal,0.2045,-0.0403,0.0747,1.0000,hispanic,black,0.0620,0.0684
64,masculine,0.5750,0.0536,0.1108,1.0000,hispanic,black,0.0252,0.0680
92,social,0.5000,-0.0499,0.1104,1.0000,hispanic,black,0.0226,0.0665
27,emotional,0.5667,-0.1058,0.0999,1.0000,hispanic,black,0.0317,0.0658
46,healthy,0.6471,-0.0910,0.1013,1.0000,hispanic,black,0.0211,0.0612
13,clean,0.5469,-0.0270,0.1017,1.0000,hispanic,black,0.0190,0.0603
7,burly,0.7115,0.1081,0.1038,1.0000,hispanic,black,0.0159,0.0598
33,fit,0.5882,-0.0653,0.0881,1.0000,hispanic,black,0.0236,0.0559
8,callous,0.7812,0.0414,0.0813,1.0000,hispanic,black,0.0301,0.0557
65,muscular,0.7647,0.0601,0.0847,1.0000,hispanic,black,0.0256,0.0551
42,gross,0.7647,-0.0342,0.0923,1.0000,hispanic,black,0.0158,0.0541
77,quiet,0.7321,-0.0615,0.0992,1.0000,hispanic,black,0.0080,0.0536
102,thin,0.8088,-0.0858,0.0934,1.0000,hispanic,black,0.0138,0.0536
66,naggy,0.7917,0.0652,0.0849,1.0000,hispanic,black,0.0187,0.0518
98,supportive,0.5139,-0.0647,0.0990,1.0000,hispanic,black,0.0034,0.0512
103,timid,0.8088,-0.0547,0.0930,1.0000,hispanic,black,0.0084,0.0507
86,silent,0.6000,-0.0347,0.0928,1.0000,hispanic,black,0.0082,0.0505
54,impoverish,0.7500,-0.0020,0.0757,1.0000,hispanic,black,0.0248,0.0503
63,manly,0.7500,0.0175,0.0856,1.0000,hispanic,black,0.0144,0.0500
57,irresponsible,0.7647,-0.0319,0.0905,1.0000,hispanic,black,0.0083,0.0494
107,uncare,0.7308,-0.0473,0.0831,1.0000,hispanic,black,0.0142,0.0486
35,fragile,0.2059,-0.0829,0.0779,1.0000,hispanic,black,0.0194,0.0486
83,rowdy,0.8977,0.0395,0.0876,1.0000,hispanic,white,0.0083,0.0480
36,free,0.2222,-0.0136,0.0602,1.0000,white,black,0.0345,0.0473
17,complex,0.8056,-0.0211,0.0777,1.0000,hispanic,white,0.0168,0.0473
88,slim,0.7283,-0.0321,0.0690,1.0000,hispanic,black,0.0253,0.0472
34,flamboyant,0.6522,-0.0302,0.0675,1.0000,hispanic,black,0.0251,0.0463
5,beautiful,0.7941,-0.0787,0.0736,1.0000,hispanic,black,0.0189,0.0463
12,cautious,0.5882,0.0013,0.0825,1.0000,hispanic,black,0.0098,0.0462
1,annoying,0.9464,-0.0455,0.0816,1.0000,hispanic,black,0.0106,0.0461
110,uptight,0.6154,-0.0366,0.0810,1.0000,hispanic,black,0.0109,0.0459
29,fat,0.7333,-0.0369,0.0738,1.0000,hispanic,black,0.0177,0.0457
22,defiant,0.8824,-0.0750,0.0792,1.0000,hispanic,black,0.0113,0.0453
43,handsome,0.9000,0.0664,0.0765,1.0000,hispanic,black,0.0125,0.0445
38,gentle,0.7619,-0.0064,0.0768,1.0000,hispanic,black,0.0123,0.0445
39,gifted,0.7222,-0.0591,0.0731,1.0000,hispanic,black,0.0152,0.0442
61,luxurious,0.7778,-0.0129,0.0649,1.0000,white,black,0.0234,0.0441
72,polite,0.8125,-0.0310,0.0784,1.0000,hispanic,black,0.0096,0.0440
95,studious,0.8125,-0.0154,0.0694,1.0000,hispanic,black,0.0176,0.0435
50,ignorant,0.6316,-0.0574,0.0761,1.0000,hispanic,black,0.0105,0.0433
55,industrious,0.7647,-0.0015,0.0763,1.0000,hispanic,black,0.0102,0.0433
2,attractive,0.7895,-0.0352,0.0716,1.0000,hispanic,black,0.0136,0.0426
10,careful,0.4583,0.0053,0.0749,1.0000,hispanic,black,0.0103,0.0426
56,intelligent,0.8500,-0.0273,0.0684,1.0000,hispanic,black,0.0164,0.0424
15,colorful,0.7647,-0.0393,0.0694,1.0000,hispanic,black,0.0144,0.0419
87,skinny,0.7500,-0.0522,0.0703,1.0000,hispanic,black,0.0126,0.0415
109,upset,0.7143,-0.0695,0.0773,1.0000,hispanic,black,0.0054,0.0414
49,horrible,0.8214,-0.0129,0.0624,1.0000,hispanic,black,0.0203,0.0414
48,hopeless,0.6477,-0.0147,0.0573,1.0000,hispanic,black,0.0250,0.0412
76,quick,0.7353,0.0131,0.0616,1.0000,hispanic,black,0.0207,0.0412
19,crafty,0.7656,-0.0233,0.0648,1.0000,hispanic,black,0.0162,0.0405
20,crazy,0.8611,-0.0099,0.0683,1.0000,hispanic,black,0.0123,0.0403
26,dumb,0.8088,-0.0180,0.0725,1.0000,hispanic,black,0.0079,0.0402
16,comfortable,0.7656,-0.0400,0.0688,1.0000,hispanic,black,0.0109,0.0399
90,smelly,0.7812,-0.0431,0.0600,1.0000,hispanic,black,0.0195,0.0398
51,immature,0.7237,-0.0105,0.0687,1.0000,hispanic,black,0.0099,0.0393
112,weak,0.8167,-0.0267,0.0681,1.0000,hispanic,black,0.0095,0.0388
73,poor,0.6471,-0.0485,0.0689,1.0000,hispanic,black,0.0080,0.0384
91,sneaky,0.7833,-0.0211,0.0558,1.0000,white,black,0.0207,0.0383
28,excited,0.7778,-0.0239,0.0658,1.0000,hispanic,black,0.0105,0.0381
106,ugly,0.9167,-0.0376,0.0628,1.0000,hispanic,black,0.0133,0.0380
3,awful,0.9167,-0.0167,0.0632,1.0000,hispanic,black,0.0124,0.0378
25,dishonest,0.8152,-0.0011,0.0700,1.0000,hispanic,black,0.0054,0.0377
9,capable,0.7500,-0.0261,0.0598,1.0000,hispanic,black,0.0156,0.0377
32,fine,0.6346,-0.0461,0.0599,1.0000,hispanic,black,0.0151,0.0375
67,naive,0.6579,-0.0562,0.0664,1.0000,hispanic,black,0.0084,0.0374
60,loud,0.7812,-0.0321,0.0601,1.0000,hispanic,black,0.0140,0.0371
100,talkative,0.8182,-0.0125,0.0642,1.0000,hispanic,white,0.0094,0.0368
82,right,0.8000,0.0168,0.0628,1.0000,white,black,0.0106,0.0367
0,angry,0.8077,0.0161,0.0642,1.0000,hispanic,black,0.0090,0.0366
114,weird,0.8214,-0.0072,0.0592,1.0000,hispanic,black,0.0134,0.0363
69,nice,0.8235,0.0036,0.0649,1.0000,hispanic,black,0.0073,0.0361
108,uneducated,0.6579,0.0093,0.0623,1.0000,hispanic,black,0.0098,0.0361
37,friendly,0.8333,-0.0190,0.0638,1.0000,hispanic,black,0.0079,0.0359
11,careless,0.8500,0.0151,0.0591,1.0000,hispanic,black,0.0120,0.0356
81,rich,0.9167,-0.0305,0.0626,1.0000,white,black,0.0079,0.0352
78,ready,0.7500,-0.0365,0.0585,1.0000,hispanic,black,0.0111,0.0348
75,proud,0.7778,0.0282,0.0597,1.0000,white,black,0.0088,0.0343
113,wealthy,0.6591,0.0288,0.0617,1.0000,hispanic,black,0.0067,0.0342
84,rude,0.9531,0.0062,0.0600,1.0000,hispanic,black,0.0083,0.0341
101,terrible,0.9265,0.0272,0.0532,1.0000,hispanic,black,0.0150,0.0341
99,suspicious,0.8625,0.0235,0.0589,1.0000,hispanic,black,0.0085,0.0337
44,happy,0.8289,0.0043,0.0604,1.0000,hispanic,black,0.0059,0.0332
96,stupid,0.8393,0.0091,0.0574,1.0000,hispanic,black,0.0086,0.0330
94,strong,0.6000,-0.0360,0.0508,1.0000,hispanic,black,0.0148,0.0328
31,filthy,0.9531,0.0101,0.0570,1.0000,hispanic,black,0.0082,0.0326
80,retarded,0.9265,0.0057,0.0557,1.0000,hispanic,black,0.0090,0.0324
24,dirty,0.8947,0.0269,0.0520,1.0000,hispanic,black,0.0117,0.0319
85,sad,0.8676,0.0151,0.0547,1.0000,hispanic,black,0.0081,0.0314
79,respected,0.6667,-0.0132,0.0524,1.0000,hispanic,black,0.0100,0.0312
45,harsh,0.9444,0.0578,0.0540,1.0000,hispanic,black,0.0084,0.0312
21,dangerous,0.9000,-0.0005,0.0499,1.0000,hispanic,black,0.0124,0.0311
71,odd,0.8750,0.0189,0.0490,1.0000,hispanic,black,0.0130,0.0310
105,trustworthy,0.8333,-0.0020,0.0545,1.0000,hispanic,black,0.0073,0.0309
23,desperate,0.7262,0.0166,0.0512,1.0000,hispanic,black,0.0103,0.0307
59,lazy,0.9125,-0.0302,0.0514,1.0000,hispanic,black,0.0100,0.0307
97,successful,0.7778,0.0048,0.0561,1.0000,hispanic,black,0.0052,0.0306
111,violent,0.9211,0.0426,0.0497,1.0000,hispanic,black,0.0112,0.0305
18,confrontational,0.7143,0.0022,0.0511,1.0000,hispanic,black,0.0097,0.0304
