,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.7750,0.0763,0.1110,1.0000,asian,white,0.2186
1,accountant,0.8333,0.0424,0.0619,1.0000,asian,white,0.2611
2,actor,0.8750,0.0549,0.0860,1.0000,asian,black,0.1928
3,administrator,0.7857,0.1415,0.1618,1.0000,asian,white,0.1861
4,aeronautical engineer,0.8750,0.0726,0.1202,1.0000,asian,white,0.2434
5,agent,0.9000,0.0796,0.0941,1.0000,asian,white,0.2326
6,airman,0.6667,0.2152,0.2050,1.0000,asian,white,0.2383
7,analyst,0.8594,0.0841,0.0939,1.0000,asian,white,0.1692
8,architect,0.7500,0.0780,0.0795,1.0000,asian,white,0.2266
9,army,0.8462,0.1048,0.0967,1.0000,asian,white,0.2539
10,artist,0.8269,-0.0104,0.0487,1.0000,asian,white,0.1957
11,assistant,0.6471,0.0106,0.0772,1.0000,asian,white,0.1821
12,astronomer,0.6944,0.1273,0.1140,1.0000,asian,white,0.2352
13,athlete,0.9773,0.0296,0.0715,1.0000,asian,white,0.1958
14,attendant,0.7273,0.0328,0.0799,1.0000,asian,white,0.1668
15,attourney,0.8125,0.0390,0.0592,1.0000,asian,white,0.1763
16,auditor,0.8281,0.1173,0.1542,1.0000,asian,white,0.2053
17,author,0.8333,0.0146,0.0359,1.0000,asian,white,0.1972
18,baker,0.8889,0.0156,0.0480,1.0000,asian,white,0.1958
19,banker,0.8833,0.0818,0.0747,1.0000,asian,white,0.2146
20,barber,0.8611,0.1232,0.0963,1.0000,asian,white,0.1990
21,bartender,0.7273,0.1074,0.0933,1.0000,asian,white,0.1652
22,boxer,0.7812,0.0737,0.0959,1.0000,asian,white,0.1994
23,broker,0.8594,0.0565,0.0634,1.0000,asian,white,0.1641
24,builder,0.8235,0.1322,0.1170,1.0000,asian,white,0.1857
25,businessperson,0.7143,0.0962,0.1458,1.0000,asian,white,0.2321
26,butcher,0.7812,0.1004,0.0858,1.0000,asian,white,0.1529
27,butler,0.7500,0.0609,0.0565,1.0000,asian,white,0.2034
28,carpenter,0.7679,0.0740,0.0721,1.0000,asian,white,0.2023
29,cashier,0.7857,0.1216,0.1194,1.0000,asian,white,0.2260
30,CEO,0.8594,0.1077,0.1272,1.0000,asian,white,0.1887
31,chef,0.7708,0.0313,0.0555,1.0000,asian,white,0.1511
32,chemist,0.8906,0.0752,0.0661,1.0000,asian,white,0.1928
33,chess player,0.8333,0.0247,0.0515,1.0000,asian,white,0.2386
34,chief,0.7857,0.1519,0.1504,0.8750,asian,black,0.2691
35,civil,0.7708,0.1417,0.1416,0.8750,asian,black,0.2733
36,cleaner,0.9773,0.0356,0.0510,1.0000,asian,white,0.1427
37,clerk,0.9118,0.1054,0.1061,1.0000,asian,white,0.2446
38,coach,0.7333,0.1146,0.1066,1.0000,asian,white,0.1406
39,comedian,0.9286,0.0338,0.0483,1.0000,asian,white,0.1648
40,commander,0.7955,0.0616,0.1249,1.0000,asian,white,0.2182
41,composer,0.6923,0.0780,0.0889,1.0000,asian,white,0.2040
42,construction worker,0.9167,0.0617,0.0727,1.0000,asian,white,0.1602
43,cook,0.9545,0.0096,0.0282,1.0000,asian,white,0.1519
44,counselor,0.9107,0.0771,0.0826,1.0000,asian,white,0.1834
45,dancer,0.7812,0.0419,0.0807,1.0000,asian,white,0.1818
46,dealer,0.8167,0.0767,0.0868,1.0000,asian,white,0.1526
47,delivery,0.8167,0.0327,0.0600,1.0000,asian,white,0.1941
48,dentist,0.8182,0.0914,0.0839,1.0000,asian,white,0.1901
49,designer,0.8088,0.0534,0.0629,1.0000,asian,white,0.2000
50,detective,0.8667,0.0624,0.0787,1.0000,asian,white,0.1779
51,diplomat,0.7667,0.0541,0.0631,1.0000,asian,white,0.2370
52,director,0.9286,0.0696,0.0829,1.0000,asian,white,0.1983
53,doctor,0.8167,0.0398,0.0843,1.0000,asian,white,0.2053
