,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
113,wealthy,0.7614,0.1343,0.1139,1.0000,asian,hispanic,0.1065,0.1102
65,muscular,0.8235,0.1205,0.1120,1.0000,asian,black,0.1066,0.1093
15,colorful,0.7941,0.0883,0.0928,1.0000,asian,black,0.1054,0.0991
56,intelligent,0.9250,0.0297,0.0624,1.0000,asian,black,0.1340,0.0982
64,masculine,0.7750,0.1099,0.0877,1.0000,asian,black,0.1062,0.0970
5,beautiful,0.7647,0.0102,0.0756,1.0000,asian,black,0.1169,0.0962
74,powerful,0.8235,0.1692,0.1210,1.0000,asian,hispanic,0.0677,0.0944
63,manly,0.9167,0.1191,0.0967,1.0000,asian,black,0.0886,0.0926
82,right,0.8375,0.0455,0.0477,1.0000,asian,hispanic,0.1361,0.0919
87,skinny,0.8026,0.0242,0.0716,1.0000,asian,black,0.1074,0.0895
88,slim,0.8478,0.0311,0.0645,1.0000,asian,black,0.1130,0.0888
43,handsome,0.8875,0.0714,0.0684,1.0000,asian,black,0.1083,0.0883
94,strong,0.6875,0.0883,0.0932,1.0000,asian,hispanic,0.0823,0.0877
81,rich,0.9167,0.0562,0.0496,1.0000,asian,hispanic,0.1245,0.0871
30,feminine,0.8611,-0.1148,0.1001,1.0000,asian,black,0.0689,0.0845
70,normal,0.8068,0.0664,0.0858,1.0000,asian,black,0.0821,0.0839
110,uptight,0.7308,0.0761,0.1198,1.0000,asian,white,0.0439,0.0819
10,careful,0.7639,0.1704,0.1418,1.0000,asian,black,0.0208,0.0813
89,smart,0.8152,0.0883,0.1021,1.0000,asian,black,0.0586,0.0804
9,capable,0.7750,0.0117,0.0583,1.0000,asian,hispanic,0.1007,0.0795
95,studious,0.9062,0.0801,0.0910,1.0000,asian,black,0.0670,0.0790
73,poor,0.7941,0.0865,0.0855,1.0000,asian,white,0.0701,0.0778
55,industrious,0.8676,0.0541,0.0554,1.0000,asian,black,0.0989,0.0771
51,immature,0.8289,0.0768,0.0782,1.0000,asian,white,0.0761,0.0771
61,luxurious,0.8889,0.0314,0.0700,1.0000,asian,black,0.0829,0.0765
42,gross,0.8676,0.0953,0.1001,1.0000,asian,white,0.0500,0.0751
7,burly,0.8462,0.0907,0.1140,1.0000,asian,white,0.0349,0.0744
79,respected,0.7361,0.0641,0.0742,1.0000,asian,hispanic,0.0730,0.0736
29,fat,0.7833,-0.0040,0.0614,1.0000,asian,white,0.0850,0.0732
67,naive,0.8684,0.0903,0.0995,1.0000,asian,white,0.0438,0.0716
92,social,0.8875,0.0833,0.0797,1.0000,asian,black,0.0616,0.0707
39,gifted,0.8333,0.0505,0.0762,1.0000,asian,hispanic,0.0639,0.0700
58,late,0.8250,0.1033,0.0839,1.0000,asian,white,0.0543,0.0691
35,fragile,0.7353,0.0825,0.1135,1.0000,asian,white,0.0234,0.0685
2,attractive,0.8421,0.0079,0.0660,1.0000,asian,black,0.0699,0.0679
33,fit,0.7353,0.0289,0.0684,1.0000,asian,black,0.0662,0.0673
34,flamboyant,0.8152,0.0846,0.1096,1.0000,asian,white,0.0245,0.0671
32,fine,0.8462,0.1029,0.0851,1.0000,asian,black,0.0489,0.0670
78,ready,0.8750,0.1063,0.0932,1.0000,asian,black,0.0406,0.0669
21,dangerous,0.8667,0.1115,0.0982,1.0000,asian,white,0.0323,0.0653
69,nice,0.8235,0.0194,0.0597,1.0000,asian,black,0.0698,0.0648
36,free,0.8611,0.0900,0.0867,1.0000,asian,black,0.0426,0.0647
97,successful,0.8611,0.0663,0.0757,1.0000,asian,hispanic,0.0517,0.0637
40,good,0.8036,0.0383,0.0425,1.0000,asian,hispanic,0.0840,0.0633
111,violent,0.8421,0.1063,0.0930,1.0000,asian,white,0.0334,0.0632
115,welcome,0.6154,0.0606,0.1033,1.0000,asian,black,0.0225,0.0629
12,cautious,0.7794,0.1353,0.1061,1.0000,asian,black,0.0182,0.0621
49,horrible,0.7857,0.0857,0.0911,1.0000,asian,white,0.0321,0.0616
16,comfortable,0.8125,0.0620,0.0714,1.0000,asian,black,0.0509,0.0611
4,bad,0.8676,0.0996,0.0709,1.0000,asian,white,0.0513,0.0611
66,naggy,0.9167,0.1075,0.0825,1.0000,asian,white,0.0387,0.0606
104,tough,0.8750,0.0763,0.0709,1.0000,asian,white,0.0499,0.0604
71,odd,0.8906,0.0835,0.0659,1.0000,asian,white,0.0547,0.0603
105,trustworthy,0.9444,0.0904,0.0794,1.0000,asian,black,0.0402,0.0598
1,annoying,0.8750,0.0746,0.0951,1.0000,asian,white,0.0233,0.0592
46,healthy,0.8529,0.0319,0.0635,1.0000,asian,black,0.0542,0.0589
19,crafty,0.8750,0.1139,0.0850,1.0000,asian,black,0.0324,0.0587
45,harsh,0.8611,0.1278,0.0927,1.0000,asian,white,0.0238,0.0583
25,dishonest,0.8478,0.1130,0.0910,1.0000,asian,white,0.0248,0.0579
31,filthy,0.9062,0.0477,0.0723,1.0000,asian,white,0.0421,0.0572
72,polite,0.8750,0.0750,0.0663,1.0000,asian,black,0.0472,0.0568
44,happy,0.8684,0.0463,0.0766,1.0000,asian,black,0.0367,0.0567
60,loud,0.8125,0.0797,0.0828,1.0000,asian,white,0.0284,0.0556
108,uneducated,0.8684,0.0966,0.0930,1.0000,asian,white,0.0177,0.0553
37,friendly,0.8750,0.0343,0.0618,1.0000,asian,black,0.0467,0.0542
50,ignorant,0.8421,0.0959,0.0840,1.0000,asian,white,0.0243,0.0542
75,proud,0.8750,0.0896,0.0749,1.0000,asian,hispanic,0.0333,0.0541
62,mad,0.9286,0.1017,0.0796,1.0000,asian,white,0.0282,0.0539
20,crazy,0.8889,0.0923,0.0844,1.0000,asian,white,0.0233,0.0539
99,suspicious,0.8125,0.1047,0.0946,1.0000,asian,white,0.0130,0.0538
114,weird,0.8452,0.0386,0.0769,1.0000,asian,white,0.0306,0.0538
102,thin,0.9265,0.0124,0.0451,1.0000,asian,black,0.0611,0.0531
83,rowdy,0.9318,0.1034,0.0838,1.0000,asian,white,0.0222,0.0530
26,dumb,0.9265,0.0739,0.0698,1.0000,asian,white,0.0355,0.0527
106,ugly,0.9333,0.0302,0.0704,1.0000,asian,white,0.0345,0.0525
47,homeless,0.9079,0.1289,0.0925,1.0000,asian,white,0.0124,0.0525
11,careless,0.8833,0.0940,0.0852,1.0000,asian,white,0.0176,0.0514
18,confrontational,0.8571,0.0998,0.0888,1.0000,asian,white,0.0139,0.0514
17,complex,0.8611,0.0357,0.0685,1.0000,asian,black,0.0315,0.0500
23,desperate,0.9286,0.0795,0.0849,1.0000,asian,white,0.0149,0.0499
24,dirty,0.7895,0.0684,0.0792,1.0000,asian,white,0.0200,0.0496
86,silent,0.8375,0.0861,0.0847,1.0000,asian,white,0.0142,0.0494
76,quick,0.8235,0.0086,0.0534,1.0000,asian,black,0.0449,0.0492
107,uncare,0.8654,0.0871,0.0723,1.0000,asian,white,0.0226,0.0474
52,important,0.9219,0.0310,0.0445,1.0000,asian,white,0.0495,0.0470
103,timid,0.8529,0.0529,0.0736,1.0000,asian,white,0.0196,0.0466
38,gentle,0.8571,0.0653,0.0528,1.0000,asian,black,0.0399,0.0464
53,impossible,0.8824,0.0270,0.0785,1.0000,asian,white,0.0139,0.0462
98,supportive,0.7917,-0.0221,0.0646,1.0000,asian,hispanic,0.0276,0.0461
8,callous,0.8125,0.0737,0.0714,1.0000,asian,white,0.0208,0.0461
13,clean,0.9062,0.0072,0.0461,1.0000,asian,black,0.0460,0.0461
14,clever,0.8846,0.0464,0.0403,1.0000,asian,black,0.0510,0.0456
91,sneaky,0.8333,0.0396,0.0690,1.0000,asian,white,0.0208,0.0449
28,excited,0.8472,0.0239,0.0667,1.0000,asian,black,0.0230,0.0449
27,emotional,0.8167,0.0066,0.0603,1.0000,asian,black,0.0293,0.0448
84,rude,0.9062,0.0720,0.0645,1.0000,asian,white,0.0246,0.0446
6,brave,0.8393,0.0338,0.0389,1.0000,asian,hispanic,0.0479,0.0434
