,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
15,colorful,0.8824,0.0697,0.0762,0.8750,hispanic,black,0.1890,0.1326
21,dangerous,0.8667,0.1280,0.1988,1.0000,asian,white,0.0029,0.1008
111,violent,0.8684,0.1282,0.1500,1.0000,hispanic,white,0.0027,0.0763
30,feminine,0.8889,-0.0660,0.1228,1.0000,asian,black,0.0193,0.0711
64,masculine,0.8250,0.0952,0.1255,1.0000,asian,black,0.0101,0.0678
115,welcome,0.8077,0.0689,0.1171,1.0000,asian,black,0.0017,0.0594
45,harsh,0.8889,0.1254,0.1148,1.0000,hispanic,white,0.0036,0.0592
73,poor,0.8529,0.1200,0.1089,1.0000,hispanic,white,0.0036,0.0563
12,cautious,0.8676,0.1186,0.1102,1.0000,asian,white,0.0010,0.0556
11,careless,0.9333,0.0685,0.1092,1.0000,asian,hispanic,0.0017,0.0555
63,manly,0.8750,0.1225,0.1056,1.0000,asian,black,0.0043,0.0549
110,uptight,0.8077,0.1012,0.1025,1.0000,black,asian,0.0027,0.0526
74,powerful,0.8824,0.1402,0.1016,1.0000,asian,black,0.0031,0.0523
84,rude,0.9219,0.0540,0.1009,1.0000,hispanic,white,0.0029,0.0519
42,gross,0.9265,0.0743,0.1013,1.0000,hispanic,black,0.0017,0.0515
113,wealthy,0.8977,0.1207,0.0971,1.0000,white,black,0.0054,0.0512
83,rowdy,0.9205,0.0971,0.1004,1.0000,hispanic,white,0.0015,0.0510
108,uneducated,0.9211,0.1046,0.0990,1.0000,hispanic,white,0.0028,0.0509
58,late,0.8750,0.0995,0.0990,1.0000,black,white,0.0017,0.0503
10,careful,0.8472,0.1158,0.0974,1.0000,asian,hispanic,0.0012,0.0493
53,impossible,0.9412,0.0302,0.0935,1.0000,asian,white,0.0028,0.0481
47,homeless,0.9342,0.1171,0.0926,1.0000,hispanic,white,0.0032,0.0479
65,muscular,0.8824,0.1213,0.0931,1.0000,asian,white,0.0023,0.0477
70,normal,0.9432,0.0788,0.0751,1.0000,white,black,0.0193,0.0472
50,ignorant,0.8684,0.1011,0.0925,1.0000,asian,white,0.0016,0.0470
25,dishonest,0.9022,0.1067,0.0896,1.0000,asian,white,0.0035,0.0466
86,silent,0.9000,0.0796,0.0906,1.0000,black,white,0.0009,0.0458
60,loud,0.8750,0.0921,0.0887,1.0000,hispanic,white,0.0018,0.0452
7,burly,0.9231,0.1046,0.0875,1.0000,asian,white,0.0023,0.0449
18,confrontational,0.8929,0.0659,0.0879,1.0000,black,white,0.0017,0.0448
35,fragile,0.8971,0.0444,0.0872,1.0000,hispanic,white,0.0013,0.0443
51,immature,0.9474,0.0709,0.0857,1.0000,asian,white,0.0021,0.0439
94,strong,0.8875,0.0687,0.0853,1.0000,asian,black,0.0020,0.0437
5,beautiful,0.9265,0.0145,0.0796,1.0000,white,black,0.0059,0.0427
26,dumb,0.9706,0.0606,0.0821,1.0000,hispanic,white,0.0022,0.0421
34,flamboyant,0.8804,0.0810,0.0821,1.0000,black,white,0.0014,0.0418
57,irresponsible,0.9412,0.0746,0.0789,1.0000,asian,hispanic,0.0035,0.0412
87,skinny,0.8553,0.0205,0.0800,1.0000,hispanic,black,0.0019,0.0409
99,suspicious,0.9375,0.0791,0.0799,1.0000,hispanic,white,0.0011,0.0405
24,dirty,0.8816,0.0685,0.0780,1.0000,hispanic,white,0.0028,0.0404
91,sneaky,0.9000,0.0569,0.0788,1.0000,black,white,0.0015,0.0402
49,horrible,0.9286,0.0735,0.0755,1.0000,hispanic,white,0.0040,0.0398
69,nice,0.9118,0.0119,0.0738,1.0000,white,black,0.0024,0.0381
4,bad,0.9706,0.0852,0.0724,1.0000,hispanic,white,0.0026,0.0375
67,naive,0.9474,0.0799,0.0726,1.0000,asian,white,0.0016,0.0371
85,sad,0.8824,0.0602,0.0723,1.0000,black,white,0.0011,0.0367
104,tough,0.9167,0.0751,0.0710,1.0000,hispanic,white,0.0017,0.0363
23,desperate,0.9405,0.0739,0.0702,1.0000,black,hispanic,0.0018,0.0360
79,respected,0.8750,0.0636,0.0667,1.0000,asian,black,0.0031,0.0349
114,weird,0.9762,0.0551,0.0664,1.0000,hispanic,white,0.0028,0.0346
89,smart,0.9674,0.0690,0.0653,1.0000,white,hispanic,0.0028,0.0341
31,filthy,0.9219,0.0588,0.0654,1.0000,hispanic,white,0.0027,0.0341
71,odd,0.9688,0.0677,0.0650,1.0000,hispanic,black,0.0028,0.0339
106,ugly,0.9667,0.0326,0.0625,1.0000,hispanic,white,0.0051,0.0338
103,timid,0.9265,0.0463,0.0662,1.0000,hispanic,white,0.0013,0.0338
66,naggy,0.9583,0.0801,0.0605,1.0000,asian,white,0.0059,0.0332
32,fine,0.9808,0.0660,0.0643,1.0000,white,black,0.0020,0.0332
20,crazy,0.9861,0.0749,0.0640,1.0000,hispanic,white,0.0023,0.0331
36,free,0.9167,0.0803,0.0604,1.0000,asian,hispanic,0.0055,0.0329
93,strange,0.9750,-0.0029,0.0628,1.0000,hispanic,white,0.0025,0.0327
19,crafty,0.9062,0.0822,0.0617,1.0000,asian,hispanic,0.0033,0.0325
17,complex,0.9167,0.0464,0.0632,1.0000,asian,white,0.0017,0.0325
33,fit,0.8676,0.0359,0.0621,1.0000,asian,black,0.0027,0.0324
61,luxurious,0.9167,0.0530,0.0524,1.0000,black,hispanic,0.0122,0.0323
8,callous,0.9375,0.0587,0.0629,1.0000,hispanic,white,0.0013,0.0321
