,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
9,army,0.5577,0.1261,0.2794,1.0000,asian,hispanic,0.0957,0.1875
38,coach,0.7500,0.2146,0.2005,1.0000,white,hispanic,0.0036,0.1021
80,inspector,0.8750,0.1935,0.1877,1.0000,white,hispanic,0.0063,0.0970
95,medical student,0.8250,0.1897,0.1902,1.0000,white,black,0.0033,0.0968
129,sheriff,0.8889,0.1545,0.1844,1.0000,white,hispanic,0.0049,0.0946
34,chief,0.8571,0.1472,0.1826,1.0000,white,hispanic,0.0062,0.0944
141,umpire,0.7500,0.1941,0.1829,1.0000,white,hispanic,0.0031,0.0930
40,commander,0.8182,0.0802,0.1786,1.0000,white,hispanic,0.0057,0.0921
85,landlord,0.8409,0.1861,0.1817,1.0000,black,hispanic,0.0026,0.0921
115,postman,0.8846,0.2014,0.1804,1.0000,white,hispanic,0.0038,0.0921
6,airman,0.8056,0.1934,0.1734,1.0000,white,hispanic,0.0076,0.0905
65,firefighter,0.8542,0.2055,0.1732,1.0000,white,asian,0.0038,0.0885
117,professor,0.8393,0.0484,0.1667,1.0000,white,asian,0.0031,0.0849
133,soldier,0.8824,0.1419,0.1616,1.0000,asian,hispanic,0.0081,0.0849
8,architect,0.7917,0.1647,0.1643,1.0000,white,hispanic,0.0043,0.0843
135,surgeon,0.7955,0.1149,0.1630,1.0000,white,hispanic,0.0033,0.0832
92,manager,0.8667,0.1303,0.1597,1.0000,white,hispanic,0.0035,0.0816
46,dealer,0.8167,0.1658,0.1597,1.0000,white,hispanic,0.0032,0.0815
114,politician,0.8281,0.1591,0.1525,1.0000,asian,hispanic,0.0087,0.0806
111,plumber,0.8281,0.1718,0.1570,1.0000,white,hispanic,0.0030,0.0800
118,prosecutor,0.8269,0.1790,0.1548,1.0000,white,hispanic,0.0050,0.0799
124,salesperson,0.7679,0.1729,0.1550,1.0000,white,hispanic,0.0034,0.0792
25,businessperson,0.7679,0.1678,0.1535,1.0000,asian,hispanic,0.0045,0.0790
12,astronomer,0.8611,0.1835,0.1489,1.0000,asian,hispanic,0.0073,0.0781
3,administrator,0.8393,0.1472,0.1502,1.0000,asian,hispanic,0.0036,0.0769
132,software engineer,0.7833,0.1637,0.1465,1.0000,white,hispanic,0.0058,0.0762
35,civil,0.8542,0.1522,0.1435,1.0000,asian,white,0.0084,0.0760
66,fireman,0.8462,0.1516,0.1477,1.0000,white,hispanic,0.0033,0.0755
71,guard,0.8684,0.1506,0.1472,1.0000,white,asian,0.0036,0.0754
30,CEO,0.8438,0.0927,0.1449,1.0000,white,hispanic,0.0052,0.0751
26,butcher,0.8438,0.1516,0.1461,1.0000,white,hispanic,0.0031,0.0746
109,pianist,0.8393,0.1977,0.1447,1.0000,asian,hispanic,0.0035,0.0741
83,judge,0.8333,0.1236,0.1437,1.0000,white,hispanic,0.0039,0.0738
28,carpenter,0.9286,0.1133,0.1437,1.0000,hispanic,black,0.0034,0.0735
21,bartender,0.8409,0.1691,0.1448,1.0000,white,asian,0.0023,0.0735
61,engineer,0.8906,0.1075,0.1377,1.0000,white,hispanic,0.0090,0.0733
110,pilot,0.8750,0.1305,0.1416,1.0000,white,hispanic,0.0048,0.0732
60,employment,0.8594,0.1143,0.1291,1.0000,asian,hispanic,0.0171,0.0731
63,executive,0.8333,0.0915,0.1378,1.0000,white,black,0.0080,0.0729
93,mathematician,0.9000,0.1045,0.1300,1.0000,asian,black,0.0157,0.0728
75,handyman,0.8971,0.0823,0.1402,1.0000,asian,hispanic,0.0043,0.0723
108,physicist,0.8971,0.1396,0.1372,1.0000,asian,black,0.0063,0.0718
64,farmer,0.9091,0.1540,0.1357,1.0000,white,hispanic,0.0054,0.0706
7,analyst,0.9062,0.1058,0.1370,1.0000,white,hispanic,0.0041,0.0705
54,drawer,0.8571,0.0900,0.1184,1.0000,asian,black,0.0203,0.0694
94,mechanic,0.8382,0.1227,0.1351,1.0000,white,hispanic,0.0031,0.0691
113,police officer,0.8929,0.1060,0.1327,1.0000,white,hispanic,0.0052,0.0689
123,researcher,0.9167,0.1244,0.1327,1.0000,white,hispanic,0.0028,0.0677
134,supervisor,0.8929,0.1124,0.1302,1.0000,white,hispanic,0.0032,0.0667
59,employee,0.7885,0.1246,0.1289,1.0000,white,black,0.0044,0.0667
81,janitor,0.9423,0.0876,0.1295,1.0000,white,asian,0.0025,0.0660
31,chef,0.8958,0.1223,0.1272,1.0000,white,asian,0.0045,0.0658
0,academic,0.8625,0.1244,0.1213,1.0000,asian,black,0.0089,0.0651
5,agent,0.9333,0.1085,0.1262,1.0000,white,hispanic,0.0038,0.0650
128,servant,0.8000,0.0786,0.1232,1.0000,asian,black,0.0056,0.0644
16,auditor,0.8750,0.1301,0.1233,1.0000,white,hispanic,0.0053,0.0643
138,teacher,0.8750,0.0933,0.1252,1.0000,white,asian,0.0028,0.0640
98,musician,0.8333,0.1191,0.1212,1.0000,hispanic,black,0.0067,0.0640
69,gambler,0.8971,0.1597,0.1245,1.0000,asian,hispanic,0.0033,0.0639
42,construction worker,0.9028,0.1139,0.1227,1.0000,white,black,0.0035,0.0631
70,grocer,0.8929,0.0744,0.1191,1.0000,white,hispanic,0.0055,0.0623
89,lifeguard,0.8667,0.1318,0.1215,1.0000,white,hispanic,0.0028,0.0622
11,assistant,0.7941,0.0608,0.1202,1.0000,white,hispanic,0.0033,0.0617
120,radiologist,0.8594,0.1197,0.1199,1.0000,white,hispanic,0.0035,0.0617
24,builder,0.8971,0.1200,0.1192,1.0000,white,hispanic,0.0034,0.0613
84,laborer,0.8654,0.0797,0.1192,1.0000,white,asian,0.0028,0.0610
56,economist,0.9000,0.0758,0.1111,1.0000,white,hispanic,0.0095,0.0603
