,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
30,feminine,0.8056,-0.1138,0.1370,1.0000,white,hispanic,0.0042,0.0706
115,welcome,0.8269,0.1229,0.1393,1.0000,black,white,0.0011,0.0702
10,careful,0.8611,0.1364,0.1345,1.0000,white,black,0.0008,0.0676
110,uptight,0.8269,0.0825,0.1328,1.0000,asian,hispanic,0.0004,0.0666
49,horrible,0.8571,0.0692,0.1110,1.0000,white,asian,0.0006,0.0558
94,strong,0.8500,0.0932,0.1098,1.0000,white,black,0.0016,0.0557
12,cautious,0.8529,0.1232,0.1099,1.0000,white,hispanic,0.0006,0.0553
35,fragile,0.8824,0.0880,0.1097,1.0000,white,black,0.0007,0.0552
108,uneducated,0.9211,0.1200,0.1098,1.0000,black,hispanic,0.0004,0.0551
63,manly,0.8542,0.1474,0.1095,1.0000,asian,white,0.0006,0.0550
42,gross,0.9118,0.0789,0.1093,1.0000,white,asian,0.0006,0.0549
74,powerful,0.8971,0.1605,0.1077,1.0000,white,black,0.0006,0.0542
7,burly,0.9038,0.1140,0.1064,1.0000,asian,black,0.0006,0.0535
73,poor,0.8529,0.0937,0.1027,1.0000,white,asian,0.0008,0.0517
113,wealthy,0.8977,0.0782,0.0974,1.0000,white,black,0.0011,0.0493
111,violent,0.8947,0.1036,0.0965,1.0000,white,asian,0.0010,0.0487
34,flamboyant,0.9022,0.0566,0.0966,1.0000,black,hispanic,0.0003,0.0485
58,late,0.9000,0.0970,0.0957,1.0000,white,asian,0.0007,0.0482
64,masculine,0.7750,0.1126,0.0938,1.0000,white,black,0.0022,0.0480
86,silent,0.8750,0.0777,0.0938,1.0000,white,black,0.0014,0.0476
24,dirty,0.9211,0.0063,0.0938,1.0000,black,asian,0.0012,0.0475
85,sad,0.8529,0.0737,0.0942,1.0000,hispanic,asian,0.0004,0.0473
67,naive,0.9211,0.0635,0.0932,1.0000,white,black,0.0005,0.0469
65,muscular,0.8971,0.1365,0.0918,1.0000,white,black,0.0019,0.0468
79,respected,0.8611,0.0198,0.0926,1.0000,white,hispanic,0.0007,0.0466
89,smart,0.9022,0.0822,0.0910,1.0000,white,black,0.0016,0.0463
45,harsh,0.9028,0.1284,0.0907,1.0000,white,asian,0.0008,0.0458
25,dishonest,0.9022,0.0908,0.0905,1.0000,white,asian,0.0006,0.0455
87,skinny,0.8684,0.0003,0.0893,1.0000,white,black,0.0012,0.0453
50,ignorant,0.8816,0.0647,0.0871,1.0000,white,asian,0.0006,0.0438
3,awful,0.9167,-0.0131,0.0846,1.0000,white,asian,0.0006,0.0426
106,ugly,0.9333,0.0221,0.0835,1.0000,white,asian,0.0006,0.0420
31,filthy,0.9375,0.0205,0.0827,1.0000,white,asian,0.0009,0.0418
75,proud,0.9167,0.0737,0.0813,1.0000,white,black,0.0008,0.0410
114,weird,0.8810,0.0080,0.0811,1.0000,white,black,0.0008,0.0410
21,dangerous,0.9333,0.0537,0.0815,1.0000,white,asian,0.0004,0.0410
36,free,0.9028,0.1186,0.0811,1.0000,white,asian,0.0008,0.0409
47,homeless,0.9474,0.1193,0.0808,1.0000,white,asian,0.0005,0.0407
1,annoying,0.9286,0.0186,0.0809,1.0000,white,black,0.0004,0.0406
53,impossible,0.8971,0.0362,0.0795,1.0000,white,hispanic,0.0011,0.0403
15,colorful,0.9412,0.0284,0.0733,1.0000,white,black,0.0054,0.0393
23,desperate,0.9524,0.0659,0.0778,1.0000,white,asian,0.0007,0.0392
26,dumb,0.9412,0.0572,0.0771,1.0000,white,black,0.0008,0.0389
61,luxurious,0.9444,0.0265,0.0756,1.0000,white,hispanic,0.0013,0.0384
5,beautiful,0.8529,0.0143,0.0753,1.0000,white,black,0.0006,0.0379
107,uncare,0.9038,0.1020,0.0752,1.0000,black,asian,0.0004,0.0378
29,fat,0.8667,-0.0409,0.0737,1.0000,white,black,0.0011,0.0374
28,excited,0.9167,-0.0114,0.0736,1.0000,white,black,0.0010,0.0373
88,slim,0.8913,-0.0111,0.0735,1.0000,white,black,0.0009,0.0372
17,complex,0.8889,0.0429,0.0738,1.0000,white,hispanic,0.0005,0.0372
8,callous,0.9062,0.0819,0.0734,1.0000,black,white,0.0006,0.0370
33,fit,0.8529,0.0038,0.0729,1.0000,white,black,0.0008,0.0369
0,angry,0.9231,-0.0514,0.0721,1.0000,white,asian,0.0009,0.0365
104,tough,0.9167,0.0860,0.0723,1.0000,white,black,0.0006,0.0365
69,nice,0.9118,0.0139,0.0714,1.0000,white,black,0.0010,0.0362
103,timid,0.9412,0.0240,0.0718,1.0000,white,hispanic,0.0005,0.0362
97,successful,0.8889,0.0831,0.0711,1.0000,white,asian,0.0008,0.0359
20,crazy,0.9583,0.0523,0.0709,1.0000,hispanic,black,0.0008,0.0358
51,immature,0.8947,0.0502,0.0704,1.0000,white,black,0.0005,0.0354
84,rude,0.9375,0.0195,0.0702,1.0000,hispanic,asian,0.0005,0.0353
83,rowdy,0.9545,0.1029,0.0700,1.0000,black,asian,0.0004,0.0352
48,hopeless,0.9091,0.0147,0.0682,1.0000,white,asian,0.0005,0.0343
99,suspicious,0.9250,0.0573,0.0674,1.0000,hispanic,asian,0.0010,0.0342
