,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
58,electrician,0.8636,0.1494,0.1604,0.7500,asian,white,0.5290,0.3447
35,civil,0.7083,0.1654,0.1332,0.8750,asian,black,0.2733,0.2032
1,accountant,0.6923,0.1378,0.1434,1.0000,asian,white,0.2611,0.2023
56,economist,0.9000,0.1165,0.1267,1.0000,asian,white,0.2643,0.1955
34,chief,0.8472,0.1254,0.1193,0.8750,asian,black,0.2691,0.1942
40,commander,0.6875,0.1410,0.1614,1.0000,asian,white,0.2182,0.1898
115,postman,0.6875,0.1760,0.1458,1.0000,asian,white,0.2290,0.1874
122,receptionist,0.7250,0.0799,0.1143,1.0000,asian,white,0.2580,0.1862
66,fireman,0.6429,0.1664,0.1534,1.0000,asian,white,0.2167,0.1850
103,pensioner,0.7500,0.1094,0.1304,1.0000,asian,white,0.2376,0.1840
93,mathematician,0.8684,0.0695,0.0725,0.8750,asian,white,0.2941,0.1833
63,executive,0.7292,0.0544,0.1136,1.0000,asian,white,0.2523,0.1829
132,software engineer,0.8393,0.1834,0.1646,1.0000,asian,white,0.2005,0.1826
76,historian,0.7250,0.1217,0.1095,0.8750,asian,white,0.2537,0.1816
6,airman,0.6458,0.0936,0.1131,1.0000,asian,white,0.2383,0.1757
105,pharmacist,0.7857,0.1454,0.1256,1.0000,asian,white,0.2249,0.1753
87,lawyer,0.8214,0.0619,0.0946,1.0000,asian,white,0.2544,0.1745
141,umpire,0.7917,0.1540,0.1384,1.0000,asian,white,0.2036,0.1710
11,assistant,0.6250,0.1347,0.1598,1.0000,asian,white,0.1821,0.1709
108,physicist,0.8750,0.0946,0.0861,1.0000,asian,white,0.2551,0.1706
67,football player,0.7143,0.1627,0.1277,1.0000,asian,white,0.2116,0.1696
75,handyman,0.8500,0.1564,0.1420,1.0000,asian,white,0.1962,0.1691
4,aeronautical engineer,0.9167,0.0343,0.0920,1.0000,asian,white,0.2434,0.1677
61,engineer,0.8750,0.1354,0.1254,1.0000,asian,white,0.2072,0.1663
9,army,0.8750,0.0630,0.0787,1.0000,asian,white,0.2539,0.1663
137,tailor,0.9062,0.0536,0.0828,1.0000,asian,black,0.2489,0.1658
60,employment,0.7794,0.0581,0.0875,0.8750,asian,white,0.2420,0.1648
5,agent,0.8667,0.0867,0.0958,1.0000,asian,white,0.2326,0.1642
126,secretary,0.8571,0.0732,0.1066,1.0000,asian,white,0.2211,0.1639
128,servant,0.7727,0.0692,0.0833,1.0000,asian,white,0.2433,0.1633
68,foster parent,0.7000,0.0354,0.1527,1.0000,asian,white,0.1706,0.1616
8,architect,0.8684,0.0847,0.0949,1.0000,asian,white,0.2266,0.1608
16,auditor,0.7500,0.0361,0.1139,1.0000,asian,white,0.2053,0.1596
37,clerk,0.8167,0.0452,0.0738,1.0000,asian,white,0.2446,0.1592
29,cashier,0.8750,0.0875,0.0923,1.0000,asian,white,0.2260,0.1591
96,model,0.8182,0.0656,0.0861,1.0000,asian,white,0.2320,0.1591
113,police officer,0.8333,0.1367,0.1250,1.0000,asian,white,0.1922,0.1586
33,chess player,0.9500,0.0784,0.0782,1.0000,asian,white,0.2386,0.1584
25,businessperson,0.8824,0.0171,0.0831,1.0000,asian,white,0.2321,0.1576
72,guitarist,0.8636,0.1715,0.1326,1.0000,asian,white,0.1821,0.1574
3,administrator,0.7273,0.1308,0.1281,1.0000,asian,white,0.1861,0.1571
129,sheriff,0.8611,0.0523,0.0608,1.0000,asian,white,0.2507,0.1557
118,prosecutor,0.8654,0.0646,0.1153,1.0000,asian,white,0.1962,0.1557
109,pianist,0.7500,0.1239,0.1116,1.0000,asian,white,0.1998,0.1557
70,grocer,0.7188,0.1235,0.1288,1.0000,asian,white,0.1804,0.1546
80,inspector,0.8571,0.0907,0.1071,1.0000,asian,white,0.1966,0.1519
0,academic,0.8250,0.0193,0.0846,1.0000,asian,white,0.2186,0.1516
91,magician,0.7812,0.0975,0.1062,1.0000,asian,white,0.1965,0.1514
84,laborer,0.8750,0.0212,0.0889,1.0000,asian,white,0.2139,0.1514
22,boxer,0.8333,0.1002,0.1032,1.0000,asian,white,0.1994,0.1513
59,employee,0.8214,0.0670,0.1071,1.0000,asian,white,0.1945,0.1508
