,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.18671145141217857,0.18249252330884339,0.004688295258641978,0.007985468636716491,0.09546943465409512,0.18800489326519892,0.17706094216415658,0.0039061090915503216,0.0033224418715188473,0.09307359659810617,0.061166356050191405,0.027120156677979554,0.09523805447330713,0.06975218181120357,0.06331918725317041,0.14844570344564598,0.00497557871460691,0.04843616924459156
nn1,0.7167159871924669,0.6711921714134514,0.9752166711948287,0.8767085676563198,0.8099583493642668,0.7716496046744287,0.7737013493180275,0.9850482919686278,0.9746623213948875,0.8762653918389929,0.6005639663719117,0.6657408723946322,0.5514357799687231,0.4497249720307529,0.5668663976915049,0.6808764764898347,0.9529089630536659,0.5577329222126926
cn1,0.09657256282563322,0.14631530597107484,0.020095031813416684,0.1153059649634464,0.09457221639339279,0.040345503196120264,0.049237707953434434,0.011045604632695166,0.022015235081700415,0.03066101271598757,0.33826968129327956,0.3071389693914997,0.35332616402821476,0.4805228476752298,0.36981441559705597,0.1706778208779595,0.04211545912281467,0.3938309085333648
en2,0.12154080716148019,0.16196660495479592,0.0051340878970632465,0.007735083881235714,0.07409414597364378,0.1058256381796673,0.11628131430549547,0.00531337259691471,0.004067911108120762,0.057872059047549565,0.07367842597391536,0.027383893482196567,0.09149475441800627,0.12517157630481662,0.0794321625447337,0.11179792416556007,0.0055626138708336085,0.07627773489350659
nn2,0.762277817979455,0.6840409666071646,0.9654694652893174,0.8179142780858895,0.8074256319904567,0.8288007402047515,0.8050622193291783,0.9778778800662135,0.9593706901731163,0.8927778824433149,0.6072413995862007,0.6557585691017184,0.47340774611369824,0.5293573881561494,0.5664412757394417,0.6934718149700747,0.9301580784036342,0.5925579786289339
cn2,0.11618137567234225,0.1539924271774944,0.029396445070668846,0.1743506331574814,0.11848022026949673,0.06537362033873796,0.07865646494925022,0.016808744585535055,0.036561396021139,0.049350056473665554,0.31908017484114526,0.3168575380695984,0.43509749576741874,0.34547103279066027,0.3541265603672057,0.1947302597910648,0.06427930470870608,0.3311642854301293
en3,,,0.08517113734613842,0.18293703029510275,0.1340540838206206,,,0.0602293874884785,0.08118164051195671,0.0707055140002176,,,,,,,0.1023797989104191,
nn3,,,0.6868334691709196,0.5067702840114462,0.5968018765911829,,,0.797084735732683,0.7228850516779669,0.759984893705325,,,,,,,0.678393385148254,
cn3,,,0.22799539775915548,0.31029268322062903,0.26914404048989227,,,0.1426858743521529,0.1959333081954512,0.16930959127380207,,,,,,,0.21922681588184714,
en4,,,0.2931783833134342,0.4564168179600403,0.3747976006367373,,,0.16065449467007542,0.2066273118915229,0.18364090328079916,,,,,,,0.27921925195876823,
nn4,,,0.585347168567315,0.39011375092226885,0.4877304597447919,,,0.7561425016799443,0.6676573791894419,0.7118999404346931,,,,,,,0.5998152000897425,
cn4,,,0.12147444952279329,0.1534694277777754,0.13747193865028434,,,0.08320300197097617,0.125715308854806,0.10445915541289108,,,,,,,0.12096554703158771,
en_avg,0.1541261292868294,0.17222956413181964,0.09704297595381947,0.16376860019327383,0.1467918173914356,0.1469152657224331,0.14667112823482603,0.05752584096175474,0.0737998263457798,0.10622801531619842,0.06742239101205338,0.02725202508008806,0.0933664044456567,0.0974618790580101,0.07137567489895205,0.13012181380560303,0.09803431086365695,0.06235695206904908
nn_avg,0.7394969025859609,0.677616569010308,0.8032166935555952,0.647876720168981,0.7170517213302112,0.8002251724395901,0.789381784323603,0.8790383523618671,0.8311438606088531,0.8249472924334783,0.6039026829790561,0.6607497207481753,0.5124217630412107,0.48954118009345116,0.5666538367154733,0.6871741457299548,0.7903189066738241,0.5751454504208132
cn_avg,0.10637696924898773,0.15015386657428462,0.09974033104150858,0.18835467727983307,0.1361564610361535,0.05285956176742911,0.06394708645134232,0.06343580638533983,0.09505631203827417,0.06882469166059635,0.32867492806721244,0.31199825373054907,0.3942118298978168,0.41299694023294503,0.36197048798213083,0.18270404033451215,0.1116467816862389,0.36249759698174705
en_std,0.0448024575044401,0.04051343741908204,0.11840636506581316,0.18485253388371575,0.09714369846826276,0.04634202250908129,0.043548001108691094,0.06410545313645455,0.08324907940217335,0.05931113903910007,0.010765937055421478,0.005197580249593805,0.051768702971818764,0.05575984412328088,0.03087301610002873,0.03962342642808912,0.1126533578720392,0.030478712186437343
nn_std,0.06803279499616474,0.056850580828497185,0.17312438146822634,0.2122363613905848,0.12756102967086827,0.04836962480656803,0.040310190957039596,0.1051335311493578,0.138525306762219,0.08308466341879611,0.04363207186156131,0.026955507018349388,0.166096991234967,0.14666087762989413,0.09583636193619297,0.07054870911413297,0.157254895192597,0.08680819232412176
cn_std,0.03838666975637898,0.04570967065857258,0.08538893326181364,0.09968674767208748,0.06729300533721316,0.020959185403306036,0.02600369683583267,0.054373588191842064,0.07137825954296904,0.043178682493487455,0.04574151527374349,0.029714675588448616,0.1839386413589674,0.16678584259567347,0.10654516870420824,0.06012322988113352,0.07770688216717805,0.09825025909206105
accstd,,,,,,,,,,,,,,,,,,
acc,0.82225,0.79175,0.9894366197183099,0.7607758620689655,0.8410531204468188,0.83825,0.836,0.9982394366197183,0.9956896551724138,0.917044772948033,0.7340425531914894,0.7613636363636364,0.4931129476584022,0.4778005464480874,0.6165799209154038,0.752567583474982,0.9360353933948518,0.6195820914058618
std,0.10081461483798922,0.09538245927076787,0.25127978653056876,0.3311837619642587,0.19466515565089615,0.07711388847930357,0.07324125926770891,0.14907504831843624,0.19543509713824095,0.12371632330092242,0.06675968279381751,0.04124517523759453,0.26786955704383547,0.246137709565899,0.15550303116028663,0.11353024361557042,0.23174342348787616,0.14369144240174678
