,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.8750,0.0408,0.0678,1.0000,asian,hispanic,0.1476
1,accountant,0.8462,0.1672,0.1231,1.0000,asian,hispanic,0.0421
2,actor,1.0000,-0.0100,0.0203,1.0000,asian,hispanic,0.0716
3,administrator,0.8409,0.1691,0.1597,1.0000,asian,hispanic,0.0652
4,aeronautical engineer,0.9167,0.0187,0.0251,1.0000,asian,black,0.0596
5,agent,0.9000,0.1028,0.0944,1.0000,asian,hispanic,0.0429
6,airman,0.7917,0.0455,0.0670,1.0000,asian,black,0.0650
7,analyst,0.7941,0.1376,0.1061,1.0000,asian,hispanic,0.0302
8,architect,0.8947,0.1180,0.1061,1.0000,asian,black,0.0557
9,army,0.9531,0.0742,0.0756,1.0000,asian,hispanic,0.0843
10,artist,0.8824,0.0757,0.0622,1.0000,asian,hispanic,0.0918
11,assistant,0.8125,0.1476,0.1522,1.0000,asian,hispanic,0.0283
12,astronomer,0.9028,0.1241,0.0932,1.0000,asian,hispanic,0.0770
13,athlete,0.8333,0.0682,0.0759,1.0000,asian,hispanic,0.1073
14,attendant,0.7917,0.0457,0.0435,1.0000,asian,hispanic,0.0435
15,attourney,0.9062,-0.0128,0.0417,1.0000,asian,black,0.0192
16,auditor,0.8167,0.0021,0.0554,1.0000,asian,hispanic,0.0377
17,author,0.8462,0.0812,0.0684,1.0000,asian,hispanic,0.1091
18,baker,0.9091,0.0895,0.0708,1.0000,asian,hispanic,0.0676
19,banker,0.8036,0.1579,0.1140,1.0000,asian,hispanic,0.0770
20,barber,0.9545,0.0683,0.0574,1.0000,asian,black,0.0204
21,bartender,0.8000,0.1152,0.1002,1.0000,asian,hispanic,0.0423
22,boxer,0.8889,0.1427,0.1117,1.0000,asian,hispanic,0.0685
23,broker,0.8667,-0.0190,0.0443,1.0000,asian,hispanic,0.0308
24,builder,0.7308,0.1046,0.0955,1.0000,asian,hispanic,0.0592
25,businessperson,0.8971,0.0259,0.0565,1.0000,asian,hispanic,0.0427
26,butcher,0.8333,0.0920,0.0731,1.0000,asian,hispanic,0.0543
27,butler,0.8214,0.1104,0.0929,1.0000,asian,black,0.0882
28,carpenter,0.8077,0.1076,0.0864,1.0000,asian,black,0.0312
29,cashier,0.9062,0.0570,0.0472,1.0000,asian,black,0.0284
30,CEO,0.9000,0.1366,0.1085,1.0000,asian,hispanic,0.0567
31,chef,0.8000,0.1649,0.1200,1.0000,asian,hispanic,0.0585
32,chemist,0.8611,0.0826,0.0757,1.0000,asian,hispanic,0.0481
33,chess player,0.9500,0.0873,0.0673,1.0000,asian,black,0.0229
34,chief,0.9167,0.1411,0.1021,1.0000,asian,hispanic,0.0601
35,civil,0.7500,0.1549,0.1275,1.0000,asian,hispanic,0.1299
36,cleaner,0.9000,0.0421,0.0500,1.0000,asian,hispanic,0.0352
37,clerk,0.8333,0.0385,0.0517,1.0000,asian,hispanic,0.0551
38,coach,0.9375,0.0692,0.0798,1.0000,asian,hispanic,0.0538
39,comedian,0.8529,0.0158,0.0320,1.0000,asian,hispanic,0.0637
40,commander,0.7812,0.1860,0.1530,1.0000,asian,hispanic,0.0603
41,composer,0.9091,0.0433,0.0447,1.0000,asian,hispanic,0.0671
42,construction worker,0.8750,0.1269,0.1047,1.0000,asian,black,0.0319
43,cook,0.7708,0.0798,0.1053,1.0000,asian,black,0.0428
44,counselor,0.9000,0.0660,0.1102,1.0000,asian,hispanic,0.0171
45,dancer,0.9500,0.0304,0.0321,1.0000,asian,hispanic,0.0592
46,dealer,0.9808,-0.0091,0.0167,1.0000,asian,hispanic,0.0466
47,delivery,0.8542,0.0407,0.0746,1.0000,asian,hispanic,0.0205
48,dentist,0.9333,0.0114,0.0275,1.0000,asian,black,0.0198
49,designer,0.8214,0.1419,0.1044,1.0000,asian,hispanic,0.0666
50,detective,0.8571,0.0983,0.0844,1.0000,asian,hispanic,0.0427
