,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.9000,0.0741,0.1034,1.0000,asian,black,0.0089
1,accountant,0.8462,0.1862,0.1782,1.0000,white,hispanic,0.0039
2,actor,1.0000,0.0029,0.0490,1.0000,white,black,0.0045
3,administrator,0.7955,0.1796,0.1473,1.0000,asian,hispanic,0.0036
4,aeronautical engineer,0.9583,0.0313,0.0532,1.0000,white,hispanic,0.0045
5,agent,0.8667,0.1216,0.1350,1.0000,white,hispanic,0.0038
6,airman,0.8542,0.1241,0.1449,1.0000,white,hispanic,0.0076
7,analyst,0.8382,0.1594,0.1565,1.0000,white,hispanic,0.0041
8,architect,0.8816,0.1366,0.1576,1.0000,white,hispanic,0.0043
9,army,0.6406,0.0944,0.2619,1.0000,asian,hispanic,0.0957
10,artist,0.8971,0.0775,0.0759,1.0000,white,black,0.0045
11,assistant,0.7500,0.1808,0.1910,1.0000,white,hispanic,0.0033
12,astronomer,0.9306,0.1164,0.1100,1.0000,asian,hispanic,0.0073
13,athlete,0.8472,0.0943,0.1065,1.0000,asian,black,0.0049
14,attendant,0.8750,0.0736,0.0780,1.0000,white,asian,0.0030
15,attourney,0.9531,0.0001,0.0333,1.0000,asian,hispanic,0.0072
16,auditor,0.8667,0.0473,0.0859,1.0000,white,hispanic,0.0053
17,author,0.8846,0.0671,0.0694,1.0000,white,black,0.0040
18,baker,0.9318,0.1213,0.1064,1.0000,white,hispanic,0.0038
19,banker,0.8571,0.1815,0.1436,1.0000,white,hispanic,0.0041
20,barber,0.9545,0.0604,0.0575,1.0000,white,asian,0.0027
21,bartender,0.8667,0.1443,0.1337,1.0000,white,asian,0.0023
22,boxer,0.9167,0.1390,0.1138,1.0000,black,hispanic,0.0063
23,broker,0.8833,0.0063,0.0594,1.0000,white,hispanic,0.0030
24,builder,0.8077,0.1294,0.1248,1.0000,white,hispanic,0.0034
25,businessperson,0.8971,0.0529,0.0743,1.0000,asian,hispanic,0.0045
26,butcher,0.9167,0.1001,0.1060,1.0000,white,hispanic,0.0031
27,butler,0.8214,0.1122,0.0903,1.0000,white,black,0.0034
28,carpenter,0.8846,0.1470,0.1583,1.0000,hispanic,black,0.0034
29,cashier,0.9062,0.0499,0.0462,1.0000,white,hispanic,0.0024
30,CEO,0.9000,0.1670,0.1666,1.0000,white,hispanic,0.0052
31,chef,0.8250,0.1808,0.1514,1.0000,white,asian,0.0045
32,chemist,0.9306,0.1069,0.1099,1.0000,white,hispanic,0.0069
33,chess player,0.9500,0.0859,0.0714,1.0000,asian,hispanic,0.0029
34,chief,0.9028,0.1269,0.1534,1.0000,white,hispanic,0.0062
35,civil,0.8750,0.1633,0.1563,1.0000,asian,white,0.0084
36,cleaner,0.8833,0.0345,0.0588,1.0000,black,asian,0.0023
37,clerk,0.8500,0.0544,0.0909,1.0000,white,hispanic,0.0032
38,coach,0.8958,0.1142,0.1355,1.0000,white,hispanic,0.0036
39,comedian,0.9118,0.0452,0.0616,1.0000,asian,black,0.0046
40,commander,0.7500,0.2097,0.2242,1.0000,white,hispanic,0.0057
41,composer,0.9091,0.0555,0.0700,1.0000,white,hispanic,0.0047
42,construction worker,0.8906,0.1359,0.1356,1.0000,white,black,0.0035
43,cook,0.8333,0.1039,0.1056,1.0000,white,hispanic,0.0039
44,counselor,0.8250,0.0831,0.1147,1.0000,white,asian,0.0026
45,dancer,0.9750,0.0312,0.0400,1.0000,asian,black,0.0062
46,dealer,0.9615,-0.0015,0.0735,1.0000,white,hispanic,0.0032
47,delivery,0.8750,0.0372,0.1249,1.0000,black,hispanic,0.0087
48,dentist,0.9167,0.0271,0.1117,1.0000,white,asian,0.0032
49,designer,0.8571,0.1549,0.1279,1.0000,white,hispanic,0.0051
50,detective,0.8929,0.1205,0.1380,1.0000,white,hispanic,0.0047
51,diplomat,0.9773,0.0190,0.0575,1.0000,asian,hispanic,0.0037
52,director,0.9167,0.1239,0.1333,1.0000,white,hispanic,0.0035
53,doctor,0.8676,0.1077,0.1165,1.0000,white,hispanic,0.0034
54,drawer,0.9792,0.0512,0.1289,1.0000,asian,black,0.0203
55,driver,0.8977,0.1099,0.1130,1.0000,white,hispanic,0.0034
56,economist,0.8833,0.1365,0.1461,1.0000,white,hispanic,0.0095
57,editor,0.9107,0.0559,0.0756,1.0000,white,hispanic,0.0027
58,electrician,0.8409,0.1644,0.1540,1.0000,asian,hispanic,0.0261
59,employee,0.9286,0.1054,0.1152,1.0000,white,black,0.0044
60,employment,0.8529,0.0412,0.0923,1.0000,asian,hispanic,0.0171
61,engineer,0.9062,0.1699,0.1707,1.0000,white,hispanic,0.0090
62,entrepreneur,0.8750,0.0543,0.0693,1.0000,asian,black,0.0055
