,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
75,handyman,0.7333,0.1528,0.3001,1.0000,black,hispanic,0.0009,0.1505
11,assistant,0.8125,0.1869,0.2006,1.0000,white,hispanic,0.0007,0.1007
77,hostess,0.7143,-0.1440,0.1899,1.0000,black,hispanic,0.0010,0.0955
115,postman,0.7292,0.1484,0.1882,1.0000,black,hispanic,0.0014,0.0948
27,butler,0.9286,0.1035,0.1779,1.0000,asian,white,0.0004,0.0891
1,accountant,0.8462,0.1641,0.1659,1.0000,white,asian,0.0009,0.0834
66,fireman,0.8214,0.2092,0.1639,1.0000,black,hispanic,0.0007,0.0823
135,surgeon,0.8667,0.2190,0.1618,1.0000,white,hispanic,0.0010,0.0814
44,counselor,0.8500,0.0671,0.1566,1.0000,white,hispanic,0.0012,0.0789
141,umpire,0.8333,0.2241,0.1524,1.0000,asian,hispanic,0.0016,0.0770
7,analyst,0.7941,0.1600,0.1516,1.0000,white,hispanic,0.0009,0.0763
70,grocer,0.8125,0.1502,0.1479,1.0000,white,asian,0.0013,0.0746
132,software engineer,0.8571,0.1406,0.1473,1.0000,black,hispanic,0.0007,0.0740
114,politician,0.8750,0.1777,0.1464,1.0000,white,hispanic,0.0009,0.0737
3,administrator,0.7727,0.2019,0.1452,1.0000,white,black,0.0009,0.0731
64,farmer,0.8333,0.1225,0.1378,1.0000,white,asian,0.0021,0.0699
72,guitarist,0.9091,0.2001,0.1379,1.0000,white,hispanic,0.0015,0.0697
111,plumber,0.9231,0.1381,0.1339,1.0000,asian,white,0.0004,0.0671
53,doctor,0.8235,0.1310,0.1321,1.0000,white,hispanic,0.0015,0.0668
35,civil,0.8542,0.1637,0.1297,1.0000,white,asian,0.0029,0.0663
31,chef,0.8000,0.1723,0.1314,1.0000,black,asian,0.0002,0.0658
133,soldier,0.8654,0.1410,0.1280,1.0000,white,hispanic,0.0013,0.0647
40,commander,0.8125,0.1619,0.1263,1.0000,white,asian,0.0006,0.0635
38,coach,0.8333,0.1517,0.1220,1.0000,white,hispanic,0.0008,0.0614
110,pilot,0.9000,0.1768,0.1191,1.0000,white,hispanic,0.0014,0.0602
19,banker,0.8750,0.1536,0.1188,1.0000,white,asian,0.0011,0.0600
21,bartender,0.8500,0.1531,0.1175,1.0000,white,asian,0.0021,0.0598
108,physicist,0.8906,0.1312,0.1183,1.0000,white,hispanic,0.0011,0.0597
47,delivery,0.8542,0.0309,0.1161,1.0000,white,hispanic,0.0022,0.0592
106,photographer,0.8889,0.0903,0.1172,1.0000,white,hispanic,0.0010,0.0591
5,agent,0.8667,0.1601,0.1160,1.0000,white,hispanic,0.0010,0.0585
26,butcher,0.8500,0.1415,0.1160,1.0000,black,asian,0.0010,0.0585
49,designer,0.8214,0.1617,0.1160,1.0000,white,hispanic,0.0008,0.0584
58,electrician,0.8409,0.1675,0.1152,1.0000,asian,hispanic,0.0007,0.0579
113,police officer,0.8833,0.1596,0.1133,1.0000,black,hispanic,0.0011,0.0572
71,guard,0.9167,0.0130,0.1127,1.0000,white,asian,0.0017,0.0572
76,historian,0.9000,0.1648,0.1130,1.0000,white,hispanic,0.0011,0.0570
9,army,0.8594,0.0854,0.1086,1.0000,white,asian,0.0027,0.0556
79,illustrator,0.9028,0.0931,0.1099,1.0000,asian,white,0.0006,0.0553
85,landlord,0.8824,0.1404,0.1087,1.0000,white,asian,0.0012,0.0550
30,CEO,0.9333,0.1513,0.1091,1.0000,white,black,0.0006,0.0549
28,carpenter,0.8077,0.1564,0.1077,1.0000,asian,hispanic,0.0009,0.0543
42,construction worker,0.9219,0.1099,0.1058,1.0000,black,white,0.0009,0.0534
80,inspector,0.8571,0.1459,0.1047,1.0000,white,hispanic,0.0010,0.0529
94,mechanic,0.8529,0.1504,0.1043,1.0000,white,asian,0.0010,0.0527
54,drawer,0.9792,0.0432,0.0840,1.0000,black,hispanic,0.0213,0.0526
109,pianist,0.8333,0.1528,0.1030,1.0000,black,hispanic,0.0013,0.0522
91,magician,0.8750,0.0946,0.1023,1.0000,black,hispanic,0.0003,0.0513
89,lifeguard,0.8529,0.0849,0.1015,1.0000,black,white,0.0007,0.0511
98,musician,0.9091,0.1251,0.1003,1.0000,white,hispanic,0.0010,0.0507
105,pharmacist,0.9107,0.0746,0.1004,1.0000,black,hispanic,0.0007,0.0505
67,football player,0.8571,0.0870,0.0995,1.0000,black,hispanic,0.0011,0.0503
100,office worker,0.9000,0.0710,0.0994,1.0000,black,hispanic,0.0007,0.0501
61,engineer,0.9375,0.1175,0.0977,1.0000,white,hispanic,0.0009,0.0493
22,boxer,0.9444,0.1256,0.0954,1.0000,white,asian,0.0013,0.0484
34,chief,0.9583,0.1166,0.0957,1.0000,white,hispanic,0.0007,0.0482
8,architect,0.8684,0.1339,0.0939,1.0000,white,hispanic,0.0010,0.0475
125,scientist,0.8750,0.0834,0.0936,1.0000,white,hispanic,0.0010,0.0473
0,academic,0.9000,0.0241,0.0933,1.0000,white,hispanic,0.0009,0.0471
24,builder,0.8462,0.0805,0.0914,1.0000,white,hispanic,0.0013,0.0463
92,manager,0.8333,0.0825,0.0910,1.0000,white,asian,0.0010,0.0460
14,attendant,0.8750,0.1264,0.0909,1.0000,hispanic,asian,0.0010,0.0459
43,cook,0.8333,0.0398,0.0886,1.0000,white,hispanic,0.0020,0.0453
56,economist,0.8833,0.1263,0.0872,1.0000,white,hispanic,0.0009,0.0441
119,psychologist,0.9286,0.1157,0.0870,1.0000,white,asian,0.0010,0.0440
104,performing artist,0.8654,0.1263,0.0858,1.0000,black,hispanic,0.0009,0.0433
