,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.8611,0.0131,0.0563,1.0000,asian,black,0.2340
1,annoying,0.8125,0.0477,0.0694,1.0000,asian,white,0.1800
2,attractive,0.9167,0.0109,0.0638,1.0000,asian,black,0.2527
3,awful,0.9444,0.0270,0.0654,0.8750,asian,white,0.2618
4,bad,0.7895,0.0219,0.0918,0.7500,asian,white,0.3103
5,beautiful,0.9737,-0.0105,0.0519,0.7500,asian,black,0.3043
6,brave,0.9318,0.0481,0.0854,0.8750,asian,white,0.2474
7,burly,0.7763,0.1350,0.1660,1.0000,asian,white,0.2114
8,callous,0.8833,0.0975,0.0881,0.7500,asian,black,0.3007
9,capable,0.8333,-0.0003,0.0552,0.8750,asian,white,0.2999
10,careful,0.8571,0.0195,0.0500,0.8750,asian,white,0.2749
11,careless,0.8333,0.0411,0.0853,1.0000,asian,white,0.2338
12,cautious,0.7105,0.0340,0.0560,1.0000,asian,white,0.1915
13,clean,0.8088,0.0337,0.0815,0.8750,asian,black,0.2650
14,clever,0.8194,0.0388,0.0679,1.0000,asian,white,0.2080
15,colorful,0.9167,0.0400,0.0748,0.7500,asian,black,0.2659
16,comfortable,0.7500,0.0518,0.0695,0.8750,asian,black,0.2952
17,complex,0.8333,0.0522,0.0807,0.8750,asian,white,0.2753
18,confrontational,0.8438,0.0779,0.0951,0.8750,asian,black,0.2997
19,crafty,0.7778,0.0460,0.0978,0.8750,asian,white,0.2674
20,crazy,0.8750,0.0447,0.0536,1.0000,asian,white,0.1706
21,dangerous,0.8833,0.0304,0.0653,1.0000,asian,white,0.2242
22,defiant,0.8571,0.0204,0.0893,0.8750,asian,black,0.2719
23,desperate,0.8500,0.0293,0.0715,0.8750,asian,white,0.2534
24,dirty,0.8833,0.0753,0.0740,0.8750,asian,white,0.2494
25,dishonest,0.8690,0.0758,0.0813,1.0000,asian,white,0.2603
26,dumb,0.6562,0.0359,0.0947,0.7500,asian,white,0.2793
27,emotional,0.7692,0.0271,0.0699,0.8750,asian,white,0.2845
28,excited,0.8906,0.0006,0.0492,0.8750,asian,white,0.2504
29,fat,0.7917,0.0125,0.0802,0.8750,asian,black,0.2795
30,feminine,0.7500,-0.0705,0.1412,0.6250,asian,black,0.3910
31,filthy,0.8750,0.0425,0.0694,0.8750,asian,white,0.2279
32,fine,0.9250,0.0340,0.0740,0.8750,asian,black,0.2839
33,fit,0.7222,0.0369,0.0953,0.8750,asian,white,0.2895
34,flamboyant,0.7381,0.0600,0.0967,0.8750,asian,white,0.3083
35,fragile,1.0000,-0.0032,0.0259,0.8750,asian,black,0.2556
36,free,0.7083,0.0496,0.0918,0.8750,asian,white,0.2979
37,friendly,0.8676,0.0336,0.0633,1.0000,asian,black,0.2292
38,gentle,0.8000,0.0238,0.0593,0.8750,asian,white,0.2354
39,gifted,0.8250,0.0259,0.1063,1.0000,asian,white,0.2035
40,good,0.8684,0.0158,0.0829,0.7500,asian,white,0.2727
41,greedy,0.8690,0.0504,0.0802,0.8750,asian,white,0.3008
42,gross,0.8382,0.0039,0.0759,0.8750,asian,white,0.2636
43,handsome,0.7917,0.0620,0.1250,0.8750,asian,white,0.3162
44,happy,0.8889,0.0210,0.0435,0.8750,asian,white,0.2402
45,harsh,0.8500,0.0803,0.0883,1.0000,asian,black,0.2520
46,healthy,0.8088,0.0314,0.0856,0.8750,asian,white,0.2215
47,homeless,0.9375,0.0526,0.0786,1.0000,asian,white,0.2110
48,hopeless,0.7763,0.0068,0.0933,0.8750,asian,white,0.2522
49,horrible,0.9062,-0.0222,0.0689,1.0000,asian,white,0.2274
50,ignorant,0.6818,0.0273,0.0966,0.8750,asian,white,0.2710
51,immature,0.8333,0.0950,0.1052,1.0000,asian,black,0.2539
52,important,0.8750,0.0075,0.0389,1.0000,asian,white,0.2080
53,impossible,0.8421,0.0280,0.0923,0.8750,asian,white,0.3086
54,impoverish,0.7368,0.0714,0.1310,0.8750,asian,white,0.2561
55,industrious,0.8571,0.0189,0.0571,0.7500,asian,white,0.3214
56,intelligent,0.7143,0.0662,0.0938,0.7500,asian,white,0.2801
57,irresponsible,0.9038,0.0295,0.0618,1.0000,asian,white,0.2522
58,late,0.9231,0.0125,0.0520,0.8750,asian,white,0.3181
59,lazy,0.8000,0.0503,0.1090,0.7500,asian,black,0.2019
60,loud,0.7656,0.0435,0.0892,1.0000,asian,white,0.2392
61,luxurious,0.7875,0.0336,0.0672,0.8750,asian,black,0.2756
62,mad,0.7826,0.0381,0.0814,0.8750,asian,white,0.2822
63,manly,0.5385,0.2186,0.3470,0.7500,asian,black,0.3598
64,masculine,0.5481,0.1254,0.1702,0.5000,asian,black,0.3600
65,muscular,0.8333,0.0481,0.0955,0.7500,asian,black,0.2713
66,naggy,0.9000,0.0648,0.0950,1.0000,asian,black,0.1970
67,naive,0.8667,0.0381,0.0702,1.0000,asian,white,0.2741
68,nervous,0.7333,0.0805,0.0841,0.8750,asian,white,0.2658
69,nice,0.9559,0.0048,0.0371,1.0000,asian,white,0.2446
70,normal,0.8667,0.0116,0.1126,0.7500,asian,white,0.3987
71,odd,0.8654,0.0384,0.0822,0.8750,asian,white,0.2587
72,polite,0.7500,0.0399,0.0712,0.7500,asian,white,0.3602
73,poor,0.8167,0.0049,0.0569,0.7500,asian,white,0.3218
74,powerful,0.7941,0.0265,0.0885,0.7500,asian,black,0.2483
75,proud,0.8421,0.0546,0.0726,0.8750,asian,white,0.2690
76,quick,0.8333,0.0522,0.0762,1.0000,asian,white,0.2548
77,quiet,0.7500,-0.0044,0.0769,0.7500,asian,white,0.3387
78,ready,0.8370,0.0144,0.0631,0.8750,asian,white,0.2652
79,respected,0.8333,0.0464,0.0668,1.0000,asian,white,0.2426
80,retarded,0.9583,0.0183,0.0831,1.0000,asian,black,0.1623
81,rich,0.8864,0.0929,0.0938,0.8750,asian,white,0.2716
82,right,0.7692,0.0578,0.0720,0.5000,asian,black,0.3652
83,rowdy,0.9028,0.0903,0.0793,0.8750,asian,white,0.2930
84,rude,0.7353,0.0287,0.0611,0.8750,asian,white,0.2624
85,sad,0.8676,0.0444,0.0993,0.8750,asian,white,0.2785
