,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.16688628313515802,0.15653174848121126,0.019305223935205017,0.008597290117277539,0.08783013641721296,0.17129709507897498,0.17967765062709803,0.003279601104072177,0.002687374320571664,0.0892354302826792,0.10660088171766317,0.025763055050364612,0.13518525777319215,0.09291407195895339,0.09011581662504334,0.1526964861355496,0.0084673723692816,0.059338563504659
nn1,0.8097943812347949,0.8123593408279121,0.9726132821868843,0.9677062928676605,0.8906183242793129,0.8088016292601824,0.8005339548029006,0.9923422042752655,0.9901103783270409,0.8979470416663473,0.6456337114597889,0.6930628324096854,0.5932775390111218,0.49705652314270216,0.6072576515058246,0.7450667594327834,0.9806930394142128,0.5950596777761937
cn1,0.023319332761922853,0.031108911024057308,0.008081495686447327,0.023696419293189358,0.02155153969140421,0.019901278708362953,0.019788392366142944,0.004378193604077776,0.007202240158723475,0.012817526209326788,0.24776541148411466,0.2811741204720668,0.2715372004669375,0.4100294044292837,0.3026265342131007,0.10223675446858971,0.010839587185609484,0.34560176245067525
en2,0.09932748240150976,0.12220924704126082,0.008105659255639873,0.0066638829824835835,0.05907656792022351,0.06879621627123561,0.08246595663018524,0.0027561823043867318,0.002882944043637414,0.039225324812361254,0.1286523000317368,0.04181196469686587,0.11409533122859411,0.14091920703014962,0.1063697007468366,0.10259108893408704,0.005102167146536901,0.09136558586350775
nn2,0.8741122883185745,0.8457260952703655,0.9697922073619466,0.959117552329754,0.9121870358201601,0.8942311147302389,0.8786162495650351,0.987544296073242,0.9895087115723511,0.9374750929852168,0.6425690962437619,0.6998465554788709,0.5138933186434702,0.5333845529627278,0.5974233808322077,0.7748580271285744,0.9764906918343235,0.6166155542207994
cn2,0.026560228664195166,0.03206465571722947,0.02210213188213152,0.03421856473794143,0.028736395250374393,0.036972669401206075,0.038917795969871806,0.009699521471523273,0.007608341564954226,0.023299582101888844,0.2287786205477537,0.25834148027934134,0.3720113548261598,0.32569623985671303,0.2962069238774919,0.12255088752106935,0.018407139914137612,0.2920188600680272
en3,,,0.004725688838885284,0.006407037973484217,0.00556636340618475,,,0.0035378317870068507,0.005410042031395152,0.004473936909201001,,,,,,,0.005020150157692875,
nn3,,,0.9627461588718522,0.9656996285093242,0.9642228936905882,,,0.9538410604000092,0.951661382255883,0.9527512213279461,,,,,,,0.9584870575092671,
cn3,,,0.03252815350916394,0.027893332531675696,0.030210743020419817,,,0.042621105030493836,0.042928579656792615,0.042774842343643225,,,,,,,0.036492792682031525,
en4,,,0.12053931607458164,0.10379080685529986,0.11216506146494075,,,0.02588854974765383,0.01811977552153684,0.022004162634595335,,,,,,,0.06708461204976804,
nn4,,,0.8494657470097005,0.8702598059999531,0.8598627765048268,,,0.9619176486428355,0.9673993402513964,0.9646584944471159,,,,,,,0.9122606354759714,
cn4,,,0.029994932892010877,0.025949381440396196,0.027972157166203535,,,0.01219380126518368,0.014480889036223805,0.013337345150703742,,,,,,,0.020654751158453638,
en_avg,0.13310688276833388,0.13937049776123603,0.038168972026077955,0.0313647544821363,0.08550277675944604,0.12004665567510528,0.13107180362864165,0.008865541235779897,0.007275033979285268,0.06681475862970301,0.1176265908747,0.033787509873615236,0.12464029450089313,0.11691663949455151,0.09824275868593997,0.12764378753481834,0.021418575430819854,0.07535207468408338
nn_avg,0.8419533347766847,0.8290427180491388,0.9386543488575959,0.940695819926673,0.8875865554025231,0.8515163719952107,0.8395751021839678,0.9739113023478381,0.9746699531016678,0.909918182407171,0.6441014038517754,0.6964546939442781,0.553585428827296,0.515220538052715,0.6023405161690161,0.7599623932806789,0.9569828560584437,0.6058376159984965
cn_avg,0.02493978071305901,0.03158678337064339,0.023176678492438416,0.02793942450080067,0.02691066676923537,0.028436974054784514,0.029353094168007375,0.01722315534281964,0.01805501260417353,0.023267059042446265,0.23827201601593417,0.26975780037570407,0.3217742776465487,0.36786282214299837,0.29941672904529637,0.11239382099482953,0.021598567735058062,0.3188103112593512
en_std,0.05443777946697082,0.044344248758454344,0.0484546110560049,0.0419444207258207,0.04729526500181269,0.057322313663957174,0.054871065226674544,0.009846319694149152,0.0065141192914695435,0.032138454469062605,0.03451005303786394,0.01056218867729926,0.06323459958222268,0.06840566959175197,0.044178127722284466,0.05145334328935725,0.02668986769186107,0.039483929134525614
nn_std,0.05675267540104687,0.0455470436476171,0.053829610210471134,0.04385886446773239,0.04999704843171687,0.060979582965373993,0.05676110066100955,0.019715920948501213,0.017107299446760857,0.0386409760054114,0.03968022696356824,0.0358233037404716,0.13977542797619216,0.14562058305467065,0.09022488543372567,0.06658267626913465,0.0336279237683664,0.09072194339757113
cn_std,0.007621783962706104,0.008609764155291487,0.012183083331879611,0.013589408012549596,0.0105010098656067,0.011134656420326792,0.013112699892371894,0.015421323549611668,0.015234562146075934,0.013725810502096572,0.05155778127385581,0.0401300297499719,0.15234332923173197,0.16968203787873193,0.1034282945335729,0.040730002489380676,0.014107094260029204,0.10490603381435191
accstd,,,,,,,,,,,,,,,,,,
acc,0.87175,0.885,0.9964788732394366,1.0,0.9383072183098592,0.8495,0.8465,0.9964788732394366,1.0,0.9231197183098592,0.8191489361702128,0.8068181818181818,0.571625344352617,0.5280054644808743,0.6813994817054714,0.8072540467538049,0.9982394366197183,0.6674118231495281
std,0.07920815922048255,0.06566737104090863,0.07631153639890377,0.06626179547073513,0.07186221553275751,0.08629103536643863,0.08316324385337066,0.02998904279484135,0.02590398725620422,0.056336827317713715,0.083832040850192,0.05767701477849518,0.23690223786009787,0.25580552701676973,0.15855420512638868,0.10584401469858172,0.04961659048017111,0.15674127089763246
