,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.9444,0.0244,0.0393,1.0000,black,white,0.0014
1,annoying,0.9125,0.0933,0.0691,1.0000,hispanic,white,0.0008
2,attractive,1.0000,0.0098,0.0126,1.0000,asian,black,0.0017
3,awful,0.9861,0.0371,0.0336,1.0000,hispanic,white,0.0037
4,bad,0.9868,0.0424,0.0572,1.0000,hispanic,white,0.0026
5,beautiful,0.9868,-0.0298,0.0520,1.0000,white,black,0.0059
6,brave,1.0000,0.0264,0.0265,1.0000,asian,hispanic,0.0019
7,burly,0.9079,0.0901,0.0742,1.0000,asian,white,0.0023
8,callous,0.9500,0.0756,0.0632,1.0000,hispanic,white,0.0013
9,capable,0.9167,0.0167,0.0340,1.0000,asian,black,0.0029
10,careful,0.9048,0.0442,0.0512,1.0000,asian,hispanic,0.0012
11,careless,0.9306,0.0673,0.1099,1.0000,asian,hispanic,0.0017
12,cautious,0.8684,0.0711,0.0841,1.0000,asian,white,0.0010
13,clean,0.8824,0.0522,0.0590,1.0000,asian,black,0.0039
14,clever,0.9028,0.0793,0.0658,1.0000,asian,hispanic,0.0028
15,colorful,0.9028,0.0554,0.0695,0.8750,hispanic,black,0.1890
16,comfortable,0.8500,0.0607,0.0646,1.0000,white,black,0.0018
17,complex,0.9667,0.0877,0.0674,1.0000,asian,white,0.0017
18,confrontational,0.8750,0.1143,0.1089,1.0000,black,white,0.0017
19,crafty,0.8889,0.0872,0.0841,1.0000,asian,hispanic,0.0033
20,crazy,0.9643,0.0783,0.0677,1.0000,hispanic,white,0.0023
21,dangerous,0.9000,0.0633,0.1901,1.0000,asian,white,0.0029
22,defiant,0.9107,0.0320,0.0701,1.0000,asian,white,0.0016
23,desperate,0.9125,0.0554,0.0467,1.0000,black,hispanic,0.0018
24,dirty,0.9000,0.0870,0.0680,1.0000,hispanic,white,0.0028
25,dishonest,0.9286,0.0765,0.0721,1.0000,asian,white,0.0035
26,dumb,0.9375,0.0774,0.0952,1.0000,hispanic,white,0.0022
27,emotional,0.8462,0.0434,0.0758,1.0000,asian,white,0.0014
28,excited,0.9844,0.0006,0.0316,1.0000,black,hispanic,0.0009
29,fat,0.9167,0.0075,0.0645,1.0000,hispanic,black,0.0037
30,feminine,0.8478,-0.0823,0.1069,1.0000,asian,black,0.0193
31,filthy,0.8977,0.0632,0.0689,1.0000,hispanic,white,0.0027
32,fine,0.9625,0.0370,0.0395,1.0000,white,black,0.0020
33,fit,0.8750,0.0738,0.0863,1.0000,asian,black,0.0027
34,flamboyant,0.9048,0.0482,0.0622,1.0000,black,white,0.0014
35,fragile,1.0000,-0.0029,0.0090,1.0000,hispanic,white,0.0013
36,free,0.8889,0.0443,0.0670,1.0000,asian,hispanic,0.0055
37,friendly,0.9412,0.0374,0.0664,1.0000,white,black,0.0017
38,gentle,0.8667,0.0290,0.0611,1.0000,asian,black,0.0016
39,gifted,0.9500,0.0568,0.0841,1.0000,asian,black,0.0022
40,good,0.8947,0.0538,0.0562,1.0000,asian,hispanic,0.0021
41,greedy,0.9286,0.0976,0.0857,1.0000,asian,white,0.0014
42,gross,0.9412,0.0122,0.0579,1.0000,hispanic,black,0.0017
43,handsome,0.9583,0.0897,0.0733,1.0000,asian,black,0.0035
44,happy,0.9722,0.0317,0.0232,1.0000,asian,black,0.0011
45,harsh,0.9167,0.1298,0.1221,1.0000,hispanic,white,0.0036
46,healthy,0.8529,0.0217,0.0773,1.0000,asian,black,0.0026
47,homeless,0.9250,0.0753,0.0773,1.0000,hispanic,white,0.0032
48,hopeless,0.8816,0.0381,0.0698,1.0000,asian,white,0.0020
49,horrible,0.9844,0.0101,0.0344,1.0000,hispanic,white,0.0040
50,ignorant,0.8409,0.0812,0.0933,1.0000,asian,white,0.0016
51,immature,0.9000,0.1347,0.1216,1.0000,asian,white,0.0021
52,important,0.9375,0.0383,0.0290,1.0000,asian,hispanic,0.0026
53,impossible,0.9605,0.0446,0.0770,1.0000,asian,white,0.0028
54,impoverish,0.8816,0.1030,0.0991,1.0000,asian,white,0.0024
55,industrious,0.9048,0.0640,0.0575,1.0000,asian,hispanic,0.0023
56,intelligent,0.8929,0.0619,0.0808,1.0000,asian,hispanic,0.0029
57,irresponsible,0.9615,0.0480,0.0611,1.0000,asian,hispanic,0.0035
58,late,0.9423,0.0143,0.0229,1.0000,black,white,0.0017
59,lazy,0.9333,0.0476,0.0748,1.0000,asian,white,0.0014
60,loud,0.8594,0.1181,0.1091,1.0000,hispanic,white,0.0018
61,luxurious,0.9125,0.0598,0.0580,1.0000,black,hispanic,0.0122
62,mad,0.9348,0.0681,0.0532,1.0000,hispanic,white,0.0026
63,manly,0.7885,0.1749,0.1567,1.0000,asian,black,0.0043
64,masculine,0.7885,0.1392,0.1472,1.0000,asian,black,0.0101
65,muscular,0.9167,0.0616,0.0630,1.0000,asian,white,0.0023
66,naggy,0.9375,0.0709,0.0779,1.0000,asian,white,0.0059
67,naive,0.9667,0.0544,0.0565,1.0000,asian,white,0.0016
68,nervous,0.9333,0.1242,0.0879,1.0000,hispanic,white,0.0007
69,nice,0.9118,-0.0105,0.0305,1.0000,white,black,0.0024
70,normal,0.9500,0.0275,0.0525,1.0000,white,black,0.0193
71,odd,0.9808,0.0513,0.0635,1.0000,hispanic,black,0.0028
72,polite,0.8472,0.0495,0.0632,1.0000,white,hispanic,0.0021
73,poor,0.9333,0.0493,0.0509,1.0000,hispanic,white,0.0036
74,powerful,0.9118,0.0535,0.0686,1.0000,asian,black,0.0031
75,proud,0.9868,0.0642,0.0463,1.0000,asian,black,0.0020
76,quick,0.9048,0.0803,0.0782,1.0000,hispanic,black,0.0020
77,quiet,0.8594,0.0402,0.0741,1.0000,hispanic,white,0.0012
78,ready,0.9239,0.0437,0.0504,1.0000,asian,black,0.0024
79,respected,0.9500,0.0473,0.0511,1.0000,asian,black,0.0031
80,retarded,1.0000,0.0277,0.0353,1.0000,hispanic,white,0.0025
81,rich,0.9318,0.0708,0.0628,1.0000,asian,black,0.0056
82,right,0.8846,0.1289,0.1075,1.0000,white,black,0.0022
83,rowdy,0.9306,0.0880,0.0854,1.0000,hispanic,white,0.0015
84,rude,0.9118,0.0843,0.0998,1.0000,hispanic,white,0.0029
85,sad,0.9265,0.0760,0.0750,1.0000,black,white,0.0011
86,silent,1.0000,0.0229,0.0208,1.0000,black,white,0.0009
87,skinny,0.9464,0.0812,0.0653,1.0000,hispanic,black,0.0019
88,slim,0.9792,0.0105,0.0527,1.0000,hispanic,black,0.0054
89,smart,0.9722,0.0710,0.0512,1.0000,white,hispanic,0.0028
90,smelly,0.9688,0.0479,0.0567,1.0000,hispanic,white,0.0016
91,sneaky,0.9583,0.0653,0.0907,1.0000,black,white,0.0015
92,social,0.8958,0.0577,0.0706,1.0000,asian,black,0.0050
93,strange,0.9038,0.0769,0.1075,1.0000,hispanic,white,0.0025
94,strong,0.9559,0.0301,0.0483,1.0000,asian,black,0.0020
95,studious,0.9265,0.0791,0.0623,1.0000,asian,black,0.0023
96,stupid,0.9500,0.0878,0.0771,1.0000,hispanic,white,0.0015
97,successful,0.9028,0.0733,0.0729,1.0000,asian,hispanic,0.0024
98,supportive,0.8947,0.0200,0.0512,1.0000,white,hispanic,0.0013
99,suspicious,0.9524,0.0610,0.0651,1.0000,hispanic,white,0.0011
100,talkative,0.9265,0.0386,0.0335,1.0000,asian,white,0.0011
101,terrible,0.9625,0.0693,0.0539,1.0000,hispanic,white,0.0033
102,thin,0.8906,0.0007,0.0481,1.0000,hispanic,black,0.0034
103,timid,0.9464,0.0047,0.0380,1.0000,hispanic,white,0.0013
104,tough,0.8529,0.0663,0.0756,1.0000,hispanic,white,0.0017
105,trustworthy,0.8929,0.0889,0.0790,1.0000,white,hispanic,0.0015
106,ugly,0.9375,0.0130,0.0649,1.0000,hispanic,white,0.0051
107,uncare,0.9444,0.0867,0.0682,1.0000,hispanic,white,0.0044
108,uneducated,0.9118,0.1056,0.0795,1.0000,hispanic,white,0.0028
109,upset,0.9625,0.0429,0.0536,1.0000,black,white,0.0010
110,uptight,0.9625,0.0225,0.0345,1.0000,black,asian,0.0027
111,violent,0.8947,0.0800,0.1413,1.0000,hispanic,white,0.0027
112,weak,0.9531,0.0250,0.0238,1.0000,hispanic,black,0.0014
113,wealthy,0.9219,0.0939,0.0705,1.0000,white,black,0.0054
114,weird,0.9853,0.0560,0.0609,1.0000,hispanic,white,0.0028
115,welcome,0.8816,0.0798,0.0882,1.0000,asian,black,0.0017
