,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,angry,0.9167,0.0150,0.0452,1.0000,white,asian,0.0009
1,annoying,0.9000,0.1090,0.0749,1.0000,white,black,0.0004
2,attractive,1.0000,0.0173,0.0167,1.0000,white,black,0.0012
3,awful,0.9722,0.0672,0.0496,1.0000,white,asian,0.0006
4,bad,0.9211,0.0158,0.0754,1.0000,white,asian,0.0005
5,beautiful,0.9737,-0.0268,0.0282,1.0000,white,black,0.0006
6,brave,1.0000,0.0327,0.0252,1.0000,white,hispanic,0.0006
7,burly,0.8947,0.0966,0.0851,1.0000,asian,black,0.0006
8,callous,0.9667,0.0903,0.0610,1.0000,black,white,0.0006
9,capable,0.9583,0.0248,0.0485,1.0000,white,black,0.0009
10,careful,0.9048,0.0355,0.0626,1.0000,white,black,0.0008
11,careless,0.9583,0.0503,0.0777,1.0000,white,black,0.0013
12,cautious,0.8684,0.0264,0.0819,1.0000,white,hispanic,0.0006
13,clean,0.8824,0.0314,0.0649,1.0000,white,black,0.0015
14,clever,0.9167,0.0496,0.0639,1.0000,white,black,0.0007
15,colorful,0.9444,0.0200,0.0545,1.0000,white,black,0.0054
16,comfortable,0.9000,0.0360,0.0661,1.0000,white,black,0.0010
17,complex,0.9667,0.0833,0.0568,1.0000,white,hispanic,0.0005
18,confrontational,0.9219,0.0803,0.0983,1.0000,black,asian,0.0006
19,crafty,0.9167,0.0331,0.0675,1.0000,asian,hispanic,0.0004
20,crazy,0.9107,0.0852,0.0596,1.0000,hispanic,black,0.0008
21,dangerous,0.9333,0.0535,0.0670,1.0000,white,asian,0.0004
22,defiant,0.9286,-0.0591,0.0639,1.0000,black,asian,0.0007
23,desperate,0.9000,0.0540,0.0802,1.0000,white,asian,0.0007
24,dirty,0.9000,0.0933,0.0649,1.0000,black,asian,0.0012
25,dishonest,0.9405,0.0638,0.0454,1.0000,white,asian,0.0006
26,dumb,0.8750,0.0381,0.0835,1.0000,white,black,0.0008
27,emotional,0.8846,0.0622,0.0794,1.0000,hispanic,asian,0.0008
28,excited,0.9688,0.0021,0.0419,1.0000,white,black,0.0010
29,fat,0.9583,-0.0290,0.0379,1.0000,white,black,0.0011
30,feminine,0.8043,-0.0631,0.0903,1.0000,white,hispanic,0.0042
31,filthy,0.9091,0.0296,0.0650,1.0000,white,asian,0.0009
32,fine,0.9250,0.0573,0.0448,1.0000,white,black,0.0006
33,fit,0.8889,0.0448,0.0976,1.0000,white,black,0.0008
34,flamboyant,0.9167,0.0221,0.0796,1.0000,black,hispanic,0.0003
35,fragile,1.0000,0.0059,0.0080,1.0000,white,black,0.0007
36,free,0.8750,0.0988,0.0804,1.0000,white,asian,0.0008
37,friendly,0.9559,0.0320,0.0604,1.0000,white,asian,0.0008
38,gentle,0.8667,0.0691,0.0683,1.0000,white,black,0.0029
39,gifted,0.9250,0.0625,0.0833,1.0000,white,hispanic,0.0006
40,good,0.9342,0.0146,0.0620,1.0000,white,black,0.0009
41,greedy,0.9405,0.0857,0.0807,1.0000,white,black,0.0005
42,gross,0.9118,-0.0100,0.0416,1.0000,white,asian,0.0006
43,handsome,0.9167,0.0847,0.0647,1.0000,white,black,0.0023
44,happy,0.9583,0.0179,0.0190,1.0000,white,black,0.0011
45,harsh,0.9333,0.1330,0.0947,1.0000,white,asian,0.0008
46,healthy,0.8971,0.0472,0.0949,1.0000,white,black,0.0008
47,homeless,0.9500,0.0312,0.0647,1.0000,white,asian,0.0005
48,hopeless,0.9211,0.0337,0.0906,1.0000,white,asian,0.0005
49,horrible,0.9688,0.0085,0.0464,1.0000,white,asian,0.0006
50,ignorant,0.8409,0.0185,0.1154,1.0000,white,asian,0.0006
51,immature,0.8667,0.1529,0.1031,1.0000,white,black,0.0005
52,important,0.9583,0.0277,0.0214,1.0000,white,hispanic,0.0015
53,impossible,0.9211,0.0811,0.0749,1.0000,white,hispanic,0.0011
54,impoverish,0.8684,0.1168,0.1030,1.0000,black,white,0.0007
55,industrious,0.9524,0.0301,0.0477,1.0000,black,hispanic,0.0004
56,intelligent,0.8571,0.0701,0.0874,1.0000,white,hispanic,0.0017
57,irresponsible,0.9038,0.0737,0.0500,1.0000,white,asian,0.0005
58,late,0.9423,0.0225,0.0202,1.0000,white,asian,0.0007
59,lazy,0.9000,0.0136,0.1017,1.0000,white,black,0.0006
60,loud,0.9062,0.0014,0.0959,1.0000,hispanic,black,0.0007
61,luxurious,0.9500,0.0301,0.0742,1.0000,white,hispanic,0.0013
62,mad,0.9674,0.0368,0.0544,1.0000,white,asian,0.0014
63,manly,0.7692,0.2449,0.1777,1.0000,asian,white,0.0006
64,masculine,0.7692,0.1748,0.1299,1.0000,white,black,0.0022
65,muscular,0.9375,0.0331,0.0685,1.0000,white,black,0.0019
66,naggy,0.9375,0.0753,0.0823,1.0000,hispanic,asian,0.0001
67,naive,0.9333,0.0332,0.0810,1.0000,white,black,0.0005
68,nervous,0.9333,0.1238,0.0848,1.0000,white,asian,0.0007
69,nice,0.9118,-0.0051,0.0213,1.0000,white,black,0.0010
70,normal,0.9500,0.0309,0.0469,1.0000,white,black,0.0009
71,odd,0.9231,0.0333,0.0837,1.0000,white,black,0.0012
72,polite,0.8889,0.0241,0.0608,1.0000,white,black,0.0008
73,poor,0.9333,0.0308,0.0802,1.0000,white,asian,0.0008
74,powerful,0.9412,0.0429,0.0690,1.0000,white,black,0.0006
75,proud,0.9737,0.0665,0.0484,1.0000,white,black,0.0008
76,quick,0.8810,0.0717,0.0739,1.0000,white,hispanic,0.0015
77,quiet,0.8750,0.0301,0.0662,1.0000,white,black,0.0007
78,ready,0.9348,0.0468,0.0522,1.0000,white,black,0.0006
79,respected,0.9333,0.0384,0.0713,1.0000,white,hispanic,0.0007
80,retarded,0.9896,0.0134,0.0302,1.0000,white,black,0.0008
81,rich,0.9091,0.0817,0.1060,1.0000,white,black,0.0015
82,right,0.9231,0.1264,0.0857,1.0000,white,asian,0.0020
83,rowdy,0.9444,0.1026,0.0695,1.0000,black,asian,0.0004
84,rude,0.9118,0.0800,0.0557,1.0000,hispanic,asian,0.0005
85,sad,0.9118,0.0832,0.1025,1.0000,hispanic,asian,0.0004
86,silent,1.0000,0.0287,0.0217,1.0000,white,black,0.0014
87,skinny,0.9643,0.0732,0.0604,1.0000,white,black,0.0012
88,slim,0.9583,-0.0283,0.0769,1.0000,white,black,0.0009
89,smart,0.9306,0.0931,0.0657,1.0000,white,black,0.0016
90,smelly,0.9688,0.0529,0.0390,1.0000,asian,white,0.0006
91,sneaky,0.9583,0.0758,0.0539,1.0000,white,hispanic,0.0006
92,social,0.8958,0.0702,0.0724,1.0000,white,asian,0.0005
93,strange,0.9231,0.0407,0.0788,1.0000,white,black,0.0015
94,strong,0.9412,0.0592,0.0596,1.0000,white,black,0.0016
95,studious,0.9559,0.0512,0.0721,1.0000,asian,hispanic,0.0005
96,stupid,0.9250,0.0877,0.0986,1.0000,white,black,0.0006
97,successful,0.8750,0.1101,0.0863,1.0000,white,asian,0.0008
98,supportive,0.9474,0.0577,0.0566,1.0000,white,hispanic,0.0006
99,suspicious,0.9286,0.0522,0.0630,1.0000,hispanic,asian,0.0010
100,talkative,0.9412,0.0273,0.0207,1.0000,black,hispanic,0.0008
101,terrible,0.9250,0.0761,0.0566,1.0000,white,asian,0.0006
