,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std
0,academic,0.9583,0.0929,0.0649,1.0000,white,hispanic,0.0009
1,accountant,0.8333,0.0564,0.0951,1.0000,white,asian,0.0009
2,actor,0.8000,0.0577,0.1222,1.0000,white,hispanic,0.0011
3,administrator,0.8684,0.0624,0.0835,1.0000,white,black,0.0009
4,aeronautical engineer,0.9219,0.1545,0.1071,1.0000,white,hispanic,0.0007
5,agent,0.8333,0.1981,0.1417,1.0000,white,hispanic,0.0010
6,airman,0.8289,0.1622,0.1299,1.0000,asian,hispanic,0.0008
7,analyst,0.9167,0.0750,0.0604,1.0000,white,hispanic,0.0009
8,architect,0.8250,0.1377,0.0965,1.0000,white,hispanic,0.0010
9,army,0.8333,0.0683,0.1181,1.0000,white,asian,0.0027
10,artist,0.8438,0.0655,0.0925,1.0000,white,hispanic,0.0008
11,assistant,0.9500,0.0938,0.0669,1.0000,white,hispanic,0.0007
12,astronomer,0.8750,0.0995,0.0762,1.0000,white,hispanic,0.0010
13,athlete,0.8333,0.1286,0.1233,1.0000,white,hispanic,0.0013
14,attendant,0.9286,0.0840,0.0897,1.0000,hispanic,asian,0.0010
15,attourney,0.8529,0.1236,0.1156,1.0000,white,hispanic,0.0056
16,auditor,0.8214,0.1945,0.1313,1.0000,white,hispanic,0.0009
17,author,0.8269,0.0591,0.1025,1.0000,white,hispanic,0.0008
18,baker,0.9500,0.0644,0.0647,1.0000,white,asian,0.0013
19,banker,0.9167,0.0700,0.0671,1.0000,white,asian,0.0011
20,barber,0.8409,0.1672,0.1177,1.0000,black,asian,0.0007
21,bartender,0.8750,0.1623,0.1588,1.0000,white,asian,0.0021
22,boxer,0.8750,0.1331,0.1080,1.0000,white,asian,0.0013
23,broker,0.8077,0.1306,0.0990,1.0000,white,asian,0.0013
24,builder,0.9500,0.1046,0.0752,1.0000,white,hispanic,0.0013
25,businessperson,0.8676,0.1616,0.1195,1.0000,black,hispanic,0.0007
26,butcher,0.8833,0.0952,0.0873,1.0000,black,asian,0.0010
27,butler,0.8500,0.1452,0.2059,1.0000,asian,white,0.0004
28,carpenter,0.8500,0.0701,0.0857,1.0000,asian,hispanic,0.0009
29,cashier,0.8750,0.1413,0.0969,1.0000,black,hispanic,0.0023
30,CEO,0.9412,0.0623,0.0646,1.0000,white,black,0.0006
31,chef,0.8846,0.0716,0.1185,1.0000,black,asian,0.0002
32,chemist,0.9667,0.0556,0.0549,1.0000,white,asian,0.0015
33,chess player,0.9028,0.0270,0.0318,1.0000,black,hispanic,0.0022
34,chief,0.8971,0.1187,0.1199,1.0000,white,hispanic,0.0007
35,civil,0.8906,0.0700,0.1015,1.0000,white,asian,0.0029
36,cleaner,0.9125,0.0789,0.0669,1.0000,white,asian,0.0017
37,clerk,0.9500,0.0590,0.0563,1.0000,black,asian,0.0007
38,coach,0.9231,0.0353,0.0894,1.0000,white,hispanic,0.0008
39,comedian,0.8421,0.0843,0.1213,1.0000,white,hispanic,0.0009
40,commander,0.8036,0.1641,0.1291,1.0000,white,asian,0.0006
41,composer,0.8750,0.2382,0.1634,1.0000,white,hispanic,0.0009
42,construction worker,0.9167,0.0986,0.1324,1.0000,black,white,0.0009
43,cook,0.9000,-0.0244,0.0346,1.0000,white,hispanic,0.0020
44,counselor,0.8333,0.0571,0.0700,1.0000,white,hispanic,0.0012
45,dancer,0.8654,0.0967,0.1101,1.0000,white,hispanic,0.0009
46,dealer,0.8333,0.0628,0.0965,1.0000,white,asian,0.0012
47,delivery,0.8594,0.0741,0.1167,1.0000,white,hispanic,0.0022
48,dentist,0.9167,0.1239,0.0944,1.0000,white,asian,0.0011
49,designer,0.8750,0.0241,0.0701,1.0000,white,hispanic,0.0008
50,detective,0.9375,0.0494,0.0697,1.0000,white,asian,0.0008
51,diplomat,0.9773,0.0850,0.0736,1.0000,white,hispanic,0.0009
52,director,0.9286,0.0788,0.0808,1.0000,white,hispanic,0.0010
53,doctor,0.8667,0.0429,0.0465,1.0000,white,hispanic,0.0015
54,drawer,0.9643,0.0651,0.1070,1.0000,black,hispanic,0.0213
55,driver,0.8571,0.0444,0.0754,1.0000,white,asian,0.0017
56,economist,0.8571,0.0884,0.0630,1.0000,white,hispanic,0.0009
57,editor,0.8846,0.0974,0.0758,1.0000,white,hispanic,0.0010
58,electrician,1.0000,0.0144,0.0115,1.0000,asian,hispanic,0.0007
59,employee,0.7500,0.0883,0.1661,1.0000,white,asian,0.0008
60,employment,0.9500,0.0122,0.0646,1.0000,white,asian,0.0027
61,engineer,0.8594,0.1900,0.1650,1.0000,white,hispanic,0.0009
62,entrepreneur,0.9583,0.0713,0.0520,1.0000,white,asian,0.0006
63,executive,0.9000,0.0923,0.0894,1.0000,white,hispanic,0.0008
64,farmer,0.8750,0.0782,0.1211,1.0000,white,asian,0.0021
65,firefighter,0.8333,0.1693,0.1674,1.0000,white,asian,0.0013
66,fireman,0.9038,0.1263,0.1162,1.0000,black,hispanic,0.0007
67,football player,0.9167,0.0883,0.0664,1.0000,black,hispanic,0.0011
68,foster parent,0.9375,0.0128,0.0823,1.0000,asian,hispanic,0.0009
69,gambler,0.8250,0.2037,0.1368,1.0000,black,hispanic,0.0007
70,grocer,0.9615,0.0553,0.0515,1.0000,white,asian,0.0013
71,guard,0.8462,0.1062,0.1105,1.0000,white,asian,0.0017
72,guitarist,0.8269,0.0916,0.0853,1.0000,white,hispanic,0.0015
73,hairdresser,0.9688,0.0384,0.0319,1.0000,black,asian,0.0007
74,handball player,0.8594,0.0520,0.0567,1.0000,asian,black,0.0004
75,handyman,0.7750,0.0837,0.2722,1.0000,black,hispanic,0.0009
76,historian,0.9250,0.0282,0.0243,1.0000,white,hispanic,0.0011
77,hostess,0.6562,-0.0969,0.1928,1.0000,black,hispanic,0.0010
78,housekeeper,0.9643,0.0693,0.0528,1.0000,asian,hispanic,0.0010
79,illustrator,0.8810,0.0672,0.0971,1.0000,asian,white,0.0006
80,inspector,0.9706,0.0505,0.0423,1.0000,white,hispanic,0.0010
81,janitor,0.9231,0.0717,0.0610,1.0000,black,hispanic,0.0011
82,journalist,0.8182,0.0523,0.1027,1.0000,white,hispanic,0.0009
83,judge,0.9231,0.0338,0.0776,1.0000,white,hispanic,0.0014
84,laborer,0.9464,0.0383,0.0378,1.0000,black,hispanic,0.0014
85,landlord,0.8667,0.1063,0.0880,1.0000,white,asian,0.0012
86,lawn mower,0.9375,0.1368,0.0949,1.0000,black,asian,0.0010
87,lawyer,0.8750,0.0360,0.0305,1.0000,white,asian,0.0012
88,librarian,0.9038,0.0505,0.0380,1.0000,asian,white,0.0003
89,lifeguard,0.7917,-0.1026,0.0701,1.0000,black,white,0.0007
90,linguist,0.9545,0.1099,0.0754,1.0000,black,hispanic,0.0011
91,magician,0.9062,0.1355,0.1078,1.0000,black,hispanic,0.0003
92,manager,0.9286,0.0457,0.0364,1.0000,white,asian,0.0010
93,mathematician,0.8462,0.0956,0.1083,1.0000,white,hispanic,0.0017
94,mechanic,0.8500,0.1839,0.1276,1.0000,white,asian,0.0010
95,medical student,0.8750,0.2017,0.1415,1.0000,black,hispanic,0.0013
96,model,0.9545,-0.0412,0.0581,1.0000,white,asian,0.0034
97,mover,0.8667,0.1759,0.1197,1.0000,asian,hispanic,0.0007
98,musician,0.8875,0.0367,0.0622,1.0000,white,hispanic,0.0010
99,nurse,0.8571,0.0085,0.0902,1.0000,white,hispanic,0.0016
100,office worker,0.9412,0.0591,0.0863,1.0000,black,hispanic,0.0007
101,opera singer,0.8214,0.0946,0.0802,1.0000,asian,hispanic,0.0006
102,painter,0.9062,0.1440,0.1126,1.0000,white,hispanic,0.0024
103,pensioner,0.9821,-0.0110,0.0379,1.0000,asian,hispanic,0.0013
104,performing artist,0.8571,0.0307,0.0809,1.0000,black,hispanic,0.0009
105,pharmacist,0.8542,0.1748,0.1219,1.0000,black,hispanic,0.0007
106,photographer,0.9091,0.1171,0.0999,1.0000,white,hispanic,0.0010
107,physician,0.9615,-0.0380,0.0489,1.0000,white,asian,0.0014
108,physicist,0.8167,0.2285,0.1548,1.0000,white,hispanic,0.0011
109,pianist,0.8333,0.1196,0.0829,1.0000,black,hispanic,0.0013
110,pilot,0.8382,0.1194,0.1032,1.0000,white,hispanic,0.0014
111,plumber,0.9286,0.1015,0.1232,1.0000,asian,white,0.0004
112,poet,0.8235,0.0417,0.0736,1.0000,white,hispanic,0.0012
113,police officer,0.7222,0.2653,0.2321,1.0000,black,hispanic,0.0011
114,politician,0.9375,0.0799,0.0753,1.0000,white,hispanic,0.0009
115,postman,0.8542,0.0837,0.1440,1.0000,black,hispanic,0.0014
116,producer,0.8676,0.1515,0.1503,1.0000,white,hispanic,0.0013
117,professor,0.9167,0.0149,0.0405,1.0000,white,asian,0.0005
118,prosecutor,0.8409,0.1340,0.0988,1.0000,white,asian,0.0009
119,psychologist,0.8235,0.0374,0.0693,1.0000,white,asian,0.0010
120,radiologist,0.7917,0.1162,0.1283,1.0000,asian,hispanic,0.0009
121,realtor,0.9038,-0.0505,0.0457,1.0000,black,hispanic,0.0011
122,receptionist,0.8529,0.0730,0.1215,1.0000,black,hispanic,0.0011
123,researcher,0.9265,0.0465,0.0823,1.0000,white,hispanic,0.0009
124,salesperson,0.8864,0.0579,0.0809,1.0000,black,asian,0.0007
125,scientist,0.9853,-0.0182,0.0258,1.0000,white,hispanic,0.0010
126,secretary,0.9167,0.0127,0.0814,1.0000,white,asian,0.0009
127,security guard,0.8529,0.0970,0.1058,1.0000,asian,hispanic,0.0008
128,servant,0.9286,0.0342,0.0297,1.0000,black,hispanic,0.0004
129,sheriff,1.0000,0.0107,0.0213,1.0000,white,asian,0.0011
130,singer,0.8438,0.1833,0.1252,1.0000,white,hispanic,0.0008
131,sociologist,0.9286,0.1459,0.0990,1.0000,asian,hispanic,0.0005
132,software engineer,0.8529,0.1523,0.1464,1.0000,black,hispanic,0.0007
133,soldier,0.9375,0.0811,0.0982,1.0000,white,hispanic,0.0013
134,supervisor,0.8750,0.1386,0.1236,1.0000,white,asian,0.0007
