,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
63,manly,0.5882,0.1778,0.2882,0.7500,,,0.3598,0.3240,0.3963,white,asian
30,feminine,0.6838,-0.0946,0.1548,0.6250,,,0.3910,0.2729,0.3414,white,asian
64,masculine,0.5735,0.1032,0.1622,0.5000,,,0.3600,0.2611,0.3238,white,asian
70,normal,0.7426,0.0242,0.0984,0.7500,,,0.3987,0.2485,0.3459,white,hispanic
95,studious,0.7794,0.0718,0.1045,0.7500,,,0.3743,0.2394,0.3594,white,asian
86,silent,0.7353,0.0621,0.1034,0.8750,,,0.3340,0.2187,0.3986,white,asian
82,right,0.7794,0.0294,0.0646,0.5000,,,0.3652,0.2149,0.2435,white,asian
72,polite,0.7574,0.0273,0.0655,0.7500,,,0.3602,0.2128,0.4315,white,asian
77,quiet,0.7574,0.0276,0.0859,0.7500,,,0.3387,0.2123,0.4091,white,asian
43,handsome,0.7574,0.0743,0.1078,0.8750,,,0.3162,0.2120,0.4564,white,asian
34,flamboyant,0.7574,0.0875,0.1108,0.8750,,,0.3083,0.2095,0.5097,white,asian
105,trustworthy,0.8897,0.0540,0.0998,0.8750,,,0.3120,0.2059,0.4557,black,asian
55,industrious,0.8456,0.0476,0.0796,0.7500,,,0.3214,0.2005,0.5419,white,hispanic
103,timid,0.8456,0.0480,0.0800,0.8750,,,0.3188,0.1994,0.4628,black,asian
73,poor,0.8015,0.0405,0.0767,0.7500,,,0.3218,0.1992,0.4668,black,hispanic
4,bad,0.7647,0.0276,0.0866,0.7500,,,0.3103,0.1985,0.4443,white,asian
53,impossible,0.7794,0.0222,0.0878,0.8750,,,0.3086,0.1982,0.4530,white,asian
36,free,0.7206,0.0406,0.0940,0.8750,,,0.2979,0.1960,0.4413,white,asian
8,callous,0.8015,0.0627,0.0906,0.7500,,,0.3007,0.1957,0.4833,black,asian
18,confrontational,0.8676,0.0511,0.0906,0.8750,,,0.2997,0.1952,0.5155,white,asian
9,capable,0.7794,0.0625,0.0894,0.8750,,,0.2999,0.1946,0.4471,white,asian
58,late,0.7794,0.0388,0.0698,0.8750,,,0.3181,0.1940,0.4411,white,asian
65,muscular,0.7574,0.0906,0.1136,0.7500,,,0.2713,0.1924,0.4582,white,asian
92,social,0.8015,0.0338,0.0815,0.8750,,,0.3014,0.1915,0.4801,white,asian
113,wealthy,0.8015,0.0530,0.0767,0.7500,,,0.3019,0.1893,0.4599,white,hispanic
5,beautiful,0.8897,-0.0057,0.0738,0.7500,,,0.3043,0.1890,0.5310,white,asian
41,greedy,0.8456,0.0365,0.0757,0.8750,,,0.3008,0.1883,0.4691,white,asian
83,rowdy,0.8015,0.0604,0.0767,0.8750,,,0.2930,0.1848,0.4567,black,asian
26,dumb,0.6471,0.0417,0.0901,0.7500,,,0.2793,0.1847,0.4819,white,hispanic
62,mad,0.7794,0.0437,0.0861,0.8750,,,0.2822,0.1841,0.5204,white,asian
56,intelligent,0.7794,0.0569,0.0858,0.7500,,,0.2801,0.1830,0.4832,white,asian
22,defiant,0.8676,0.0625,0.0935,0.8750,,,0.2719,0.1827,0.5055,black,asian
33,fit,0.7794,0.0298,0.0750,0.8750,,,0.2895,0.1822,0.4620,white,asian
