,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std,asian-nn,race-nn_max,race-nn_min
58,electrician,0.8676,0.0910,0.1135,0.7500,,,0.5290,0.3213,0.1078,white,asian
6,airman,0.7206,0.1470,0.1597,1.0000,,,0.2383,0.1990,0.6263,white,asian
4,aeronautical engineer,0.8235,0.1395,0.1487,1.0000,,,0.2434,0.1960,0.5913,white,asian
34,chief,0.7647,0.0933,0.1186,0.8750,,,0.2691,0.1938,0.5312,black,asian
93,mathematician,0.8235,0.0860,0.0809,0.8750,,,0.2941,0.1875,0.4861,white,asian
35,civil,0.8015,0.0902,0.0998,0.8750,,,0.2733,0.1865,0.5118,black,asian
115,postman,0.8015,0.1371,0.1387,1.0000,,,0.2290,0.1838,0.6247,white,asian
1,accountant,0.7794,0.0828,0.1065,1.0000,,,0.2611,0.1838,0.5515,white,asian
63,executive,0.7059,0.0666,0.1112,1.0000,,,0.2523,0.1817,0.6364,white,hispanic
40,commander,0.7500,0.1003,0.1434,1.0000,,,0.2182,0.1808,0.6264,white,asian
129,sheriff,0.8456,0.0916,0.1061,1.0000,,,0.2507,0.1784,0.5662,white,asian
56,economist,0.9118,0.0819,0.0913,1.0000,,,0.2643,0.1778,0.5760,white,asian
122,receptionist,0.7794,0.0601,0.0949,1.0000,,,0.2580,0.1765,0.6319,white,hispanic
87,lawyer,0.7794,0.0709,0.0928,1.0000,,,0.2544,0.1736,0.5805,white,asian
76,historian,0.7794,0.0813,0.0933,0.8750,,,0.2537,0.1735,0.5563,white,asian
66,fireman,0.7206,0.1168,0.1302,1.0000,,,0.2167,0.1734,0.7167,white,hispanic
103,pensioner,0.8235,0.0845,0.1082,1.0000,,,0.2376,0.1729,0.6267,white,asian
137,tailor,0.7794,0.0749,0.0944,1.0000,,,0.2489,0.1717,0.6078,white,asian
60,employment,0.8235,0.0668,0.1006,0.8750,,,0.2420,0.1713,0.5505,white,asian
37,clerk,0.8015,0.0750,0.0924,1.0000,,,0.2446,0.1685,0.5965,white,asian
25,businessperson,0.8676,0.0524,0.1032,1.0000,,,0.2321,0.1676,0.6176,white,asian
29,cashier,0.8235,0.0997,0.1083,1.0000,,,0.2260,0.1671,0.6241,white,asian
108,physicist,0.8676,0.0776,0.0778,1.0000,,,0.2551,0.1665,0.5450,white,asian
9,army,0.8456,0.0559,0.0775,1.0000,,,0.2539,0.1657,0.5371,white,asian
16,auditor,0.8309,0.0818,0.1254,1.0000,,,0.2053,0.1654,0.6648,white,asian
75,handyman,0.8015,0.1387,0.1325,1.0000,,,0.1962,0.1643,0.6789,white,asian
33,chess player,0.8235,0.0921,0.0895,1.0000,,,0.2386,0.1640,0.6196,white,asian
132,software engineer,0.8897,0.1187,0.1255,1.0000,,,0.2005,0.1630,0.6492,white,asian
141,umpire,0.8235,0.1083,0.1214,1.0000,,,0.2036,0.1625,0.7101,black,hispanic
68,foster parent,0.6985,0.0510,0.1527,1.0000,,,0.1706,0.1616,0.7183,white,asian
105,pharmacist,0.8235,0.0918,0.0976,1.0000,,,0.2249,0.1612,0.7554,white,hispanic
140,theologian,0.8015,0.0868,0.0842,1.0000,,,0.2367,0.1605,0.5838,white,asian
30,CEO,0.7868,0.1102,0.1319,1.0000,,,0.1887,0.1603,0.7303,white,hispanic
128,servant,0.7794,0.0595,0.0766,1.0000,,,0.2433,0.1600,0.5955,white,asian
5,agent,0.8456,0.0656,0.0872,1.0000,,,0.2326,0.1599,0.5710,white,asian
84,laborer,0.8235,0.0662,0.1012,1.0000,,,0.2139,0.1575,0.6363,white,asian
0,academic,0.8015,0.0624,0.0950,1.0000,,,0.2186,0.1568,0.6738,white,asian
67,football player,0.7794,0.1082,0.1006,1.0000,,,0.2116,0.1561,0.6364,white,asian
8,architect,0.8456,0.0709,0.0839,1.0000,,,0.2266,0.1552,0.6174,white,asian
51,diplomat,0.8235,0.0729,0.0728,1.0000,,,0.2370,0.1549,0.6001,white,asian
121,realtor,0.9338,0.0912,0.0962,1.0000,,,0.2134,0.1548,0.6310,white,asian
69,gambler,0.8235,0.0982,0.1056,1.0000,,,0.2033,0.1545,0.6669,white,asian
12,astronomer,0.8456,0.0696,0.0713,1.0000,,,0.2352,0.1532,0.5760,white,asian
61,engineer,0.8456,0.0848,0.0986,1.0000,,,0.2072,0.1529,0.6618,white,asian
80,inspector,0.8676,0.0781,0.1080,1.0000,,,0.1966,0.1523,0.6902,white,asian
126,secretary,0.7794,0.0573,0.0819,1.0000,,,0.2211,0.1515,0.6434,white,asian
59,employee,0.7868,0.0610,0.1082,1.0000,,,0.1945,0.1513,0.7371,white,hispanic
96,model,0.8456,0.0339,0.0674,1.0000,,,0.2320,0.1497,0.6010,white,asian
22,boxer,0.7794,0.0958,0.0995,1.0000,,,0.1994,0.1494,0.6556,black,asian
3,administrator,0.8235,0.0644,0.1098,1.0000,,,0.1861,0.1479,0.6993,white,asian
19,banker,0.8235,0.0822,0.0800,1.0000,,,0.2146,0.1473,0.6547,white,asian
124,salesperson,0.8897,0.0446,0.1054,1.0000,,,0.1888,0.1471,0.7052,white,asian
28,carpenter,0.8015,0.1003,0.0916,1.0000,,,0.2023,0.1470,0.6527,white,asian
118,prosecutor,0.8750,0.0703,0.0973,1.0000,,,0.1962,0.1467,0.6804,white,asian
52,director,0.8235,0.0746,0.0942,1.0000,,,0.1983,0.1462,0.6739,white,asian
65,firefighter,0.8235,0.1021,0.1038,1.0000,,,0.1873,0.1455,0.7215,white,hispanic
53,doctor,0.8088,0.0503,0.0852,1.0000,,,0.2053,0.1452,0.6411,white,asian
41,composer,0.8235,0.0876,0.0863,1.0000,,,0.2040,0.1451,0.6600,white,asian
74,handball player,0.8015,0.1001,0.1005,1.0000,,,0.1897,0.1451,0.6965,white,asian
27,butler,0.7794,0.0980,0.0868,1.0000,,,0.2034,0.1451,0.6464,white,asian
83,judge,0.9118,0.0512,0.0782,1.0000,,,0.2116,0.1449,0.6503,white,asian
114,politician,0.8015,0.0729,0.0820,1.0000,,,0.2073,0.1447,0.7012,white,hispanic
113,police officer,0.8676,0.0898,0.0971,1.0000,,,0.1922,0.1447,0.6780,black,asian
90,linguist,0.8235,0.0778,0.0817,1.0000,,,0.2067,0.1442,0.6374,white,asian
2,actor,0.7794,0.0791,0.0954,1.0000,,,0.1928,0.1441,0.7077,white,hispanic
62,entrepreneur,0.8015,0.0773,0.0982,1.0000,,,0.1873,0.1427,0.7058,white,asian
20,barber,0.8015,0.0979,0.0863,1.0000,,,0.1990,0.1427,0.6843,white,asian
13,athlete,0.8015,0.0551,0.0893,1.0000,,,0.1958,0.1425,0.6440,white,asian
94,mechanic,0.8235,0.1063,0.0934,1.0000,,,0.1902,0.1418,0.6881,white,asian
91,magician,0.8235,0.0880,0.0861,1.0000,,,0.1965,0.1413,0.6579,white,asian
24,builder,0.8235,0.0995,0.0965,1.0000,,,0.1857,0.1411,0.6901,white,asian
95,medical student,0.8015,0.0642,0.0935,1.0000,,,0.1882,0.1408,0.6818,white,asian
131,sociologist,0.9118,0.0765,0.0848,1.0000,,,0.1955,0.1401,0.6866,white,asian
120,radiologist,0.8456,0.0783,0.0872,1.0000,,,0.1928,0.1400,0.6699,white,asian
