,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
70,normal,0.2574,0.0436,0.1563,0.6250,hispanic,black,0.1789,0.1676
31,filthy,0.4779,0.0033,0.0781,0.8750,hispanic,asian,0.2323,0.1552
29,fat,0.3309,-0.0966,0.1035,0.8750,hispanic,asian,0.2000,0.1518
30,feminine,0.0735,-0.2408,0.1639,1.0000,hispanic,asian,0.1367,0.1503
32,fine,0.4044,-0.1032,0.1134,0.8750,hispanic,asian,0.1733,0.1433
13,clean,0.2574,-0.0488,0.1283,1.0000,white,asian,0.1522,0.1402
94,strong,0.4044,-0.0846,0.0859,0.8750,hispanic,black,0.1935,0.1397
65,muscular,0.3309,-0.0493,0.0863,1.0000,hispanic,asian,0.1661,0.1262
46,healthy,0.2574,-0.0261,0.1223,1.0000,hispanic,asian,0.1271,0.1247
58,late,0.2941,-0.0749,0.1020,0.8750,hispanic,asian,0.1456,0.1238
15,colorful,0.2206,-0.0584,0.0869,1.0000,white,black,0.1538,0.1204
81,rich,0.3676,0.0019,0.0816,1.0000,hispanic,black,0.1500,0.1158
79,respected,0.2941,-0.0310,0.0759,0.8750,hispanic,black,0.1542,0.1151
64,masculine,0.1471,-0.0171,0.1062,1.0000,hispanic,asian,0.1191,0.1126
75,proud,0.3309,-0.0020,0.0758,1.0000,hispanic,black,0.1491,0.1125
40,good,0.3309,-0.0285,0.0868,1.0000,hispanic,asian,0.1237,0.1052
107,uncare,0.2941,0.0385,0.0971,1.0000,hispanic,asian,0.1126,0.1049
51,immature,0.3309,0.0348,0.0948,1.0000,hispanic,asian,0.1135,0.1041
63,manly,0.4412,-0.0142,0.0849,1.0000,hispanic,black,0.1206,0.1028
34,flamboyant,0.3676,0.0370,0.0671,1.0000,hispanic,black,0.1382,0.1027
82,right,0.0735,-0.0255,0.0639,0.8750,hispanic,asian,0.1393,0.1016
78,ready,0.2574,-0.0530,0.0781,0.8750,hispanic,asian,0.1242,0.1011
88,slim,0.5882,-0.0998,0.1280,1.0000,white,asian,0.0740,0.1010
16,comfortable,0.2206,-0.0565,0.0765,1.0000,hispanic,asian,0.1174,0.0970
1,annoying,0.7647,0.0127,0.0623,1.0000,hispanic,asian,0.1238,0.0930
24,dirty,0.4044,-0.0116,0.0744,1.0000,hispanic,asian,0.1082,0.0913
66,naggy,0.3676,-0.0048,0.0403,1.0000,hispanic,black,0.1398,0.0900
67,naive,0.5882,-0.0165,0.0651,1.0000,hispanic,asian,0.1137,0.0894
87,skinny,0.5882,-0.0133,0.1034,1.0000,hispanic,asian,0.0722,0.0878
26,dumb,0.6250,0.0210,0.0796,1.0000,hispanic,asian,0.0949,0.0872
69,nice,0.5147,-0.0214,0.0752,1.0000,hispanic,black,0.0986,0.0869
33,fit,0.1838,-0.0601,0.1102,1.0000,hispanic,asian,0.0600,0.0851
56,intelligent,0.2574,-0.0674,0.0889,1.0000,hispanic,asian,0.0742,0.0816
72,polite,0.3676,-0.0430,0.0834,1.0000,hispanic,asian,0.0783,0.0808
102,thin,0.5147,-0.0912,0.1094,1.0000,white,black,0.0520,0.0807
60,loud,0.2206,-0.0271,0.0608,1.0000,hispanic,asian,0.0975,0.0792
76,quick,0.2206,-0.0600,0.0788,1.0000,hispanic,asian,0.0774,0.0781
9,capable,0.2941,-0.0745,0.0844,1.0000,hispanic,black,0.0684,0.0764
52,important,0.5147,-0.0493,0.0880,1.0000,hispanic,black,0.0638,0.0759
86,silent,0.4412,-0.0017,0.0885,1.0000,white,asian,0.0611,0.0748
97,successful,0.2941,-0.0560,0.0851,1.0000,hispanic,black,0.0616,0.0733
92,social,0.3309,-0.0099,0.0787,1.0000,hispanic,black,0.0674,0.0730
43,handsome,0.3676,0.0361,0.0886,1.0000,hispanic,black,0.0574,0.0730
39,gifted,0.3309,0.0352,0.0854,1.0000,asian,black,0.0596,0.0725
114,weird,0.7206,0.0026,0.0553,1.0000,hispanic,asian,0.0894,0.0723
113,wealthy,0.3309,-0.0740,0.0757,1.0000,hispanic,black,0.0688,0.0723
