,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.3291196935989932,0.3299028066173007,0.03577111751942987,0.0154006823813061,0.17754857502925747,0.30553532058995003,0.3210176243323976,0.02030819945994922,0.012278229642482796,0.16478484350619493,0.2913275124861839,0.05713094629093327,0.17101321487171836,0.102531782776541,0.15550086410634412,0.29131936208275727,0.040570159678440375,0.020939557250791996,0.07983136453373714
nn1,0.6496537974090396,0.6496832343932943,0.959200168159646,0.9754591697248919,0.8084990924217179,0.6406539738650473,0.6222642440005048,0.9720864614970247,0.9690506437729145,0.8010138307838728,0.6143949604097833,0.8525317900560119,0.7223139360916516,0.7376616544540605,0.7317255852528768,0.6498273576948868,0.9109983146107582,0.9689491107886192,0.7950967222550362
cn1,0.021226509560396095,0.020413956480099808,0.005028712419747099,0.009140146501836014,0.013952331240519754,0.05381070559805023,0.05671813087863753,0.007605335965398437,0.018671127895278663,0.03420132508434121,0.09427753898334947,0.09033726512412117,0.10667284881726892,0.15980656297920848,0.11277355397598701,0.05885328171963367,0.04843152514759832,0.010111330695565053,0.12507191405166482
en2,0.31269844485926745,0.32928047097679114,0.01691262292246085,0.006647325586527586,0.16638471608626176,0.2935017853922827,0.348463618716992,0.014039054185047115,0.0070025623928562835,0.16575175517179452,0.31972264094238584,0.042212163729180414,0.17243159588614926,0.14031815147030952,0.16867113800700628,0.2960164261289781,0.03785531338106363,0.01115039127172296,0.09126515759974496
nn2,0.6561671971176021,0.6499572064138148,0.977763446703763,0.9895916976805391,0.8183698869789298,0.6287572980498047,0.5918549026908546,0.9782803881336266,0.9850543788794813,0.7959867419384419,0.5676835539176109,0.8014671911210329,0.6566411076837089,0.7317355749508381,0.6893818569182978,0.6251768776455661,0.9106487795782133,0.9826724778493525,0.7666013830359355
cn2,0.031134357342385403,0.02076231875611775,0.005323928288958022,0.003760976348562038,0.015245395184005804,0.07774091699328844,0.05968147725650604,0.007680558069104093,0.007943057074765515,0.03826150234841602,0.1125938044068344,0.15632063810798255,0.1709272954478275,0.1279462727745012,0.14194700268428642,0.07880669503382659,0.05149590511064558,0.006177129945347417,0.1421334554412419
en3,,,0.048190601261883556,0.022674645477873755,0.03543262336987865,,,0.04508520184661931,0.028738636057823896,0.0369119189522216,,,,,,,0.036172271161050124,0.036172271161050124,
nn3,,,0.9461899790125834,0.9721003287825091,0.9591451538975462,,,0.9427341365478408,0.9561759557189613,0.949455046133401,,,,,,,0.9543001000154736,0.9543001000154736,
cn3,,,0.005619425793066883,0.005225023174465731,0.005422224483766306,,,0.012180664194551048,0.015085408403859314,0.013633036299205181,,,,,,,0.009527630391485744,0.009527630391485744,
