,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.18837145820696774,0.17964390700831293,0.004688295258641978,0.007985468636716491,0.0951722822776598,0.18905569218479518,0.17482762453410752,0.0039061090915503216,0.0033224418715188473,0.09277796692049298,0.061166356050191405,0.027120156677979554,0.09523805447330713,0.06975218181120357,0.06331918725317041,0.14805051540961364,0.019462442224601795,0.00497557871460691,0.04843616924459156
nn1,0.7160747604392154,0.6759951467329209,0.9752166711948287,0.8767085676563198,0.8109987865058212,0.7702917388448215,0.7765573672156849,0.9850482919686278,0.9746623213948875,0.8766399298560055,0.6005639663719117,0.6657408723946322,0.5514357799687231,0.4497249720307529,0.5668663976915049,0.6818197932622129,0.8211836161066747,0.9529089630536659,0.5577329222126926
cn1,0.09555378244138865,0.14436094610586775,0.020095031813416684,0.1153059649634464,0.09382893133102987,0.04065256988299454,0.04861500712076644,0.011045604632695166,0.022015235081700415,0.03058210417953914,0.33826968129327956,0.3071389693914997,0.35332616402821476,0.4805228476752298,0.36981441559705597,0.1701296918120853,0.1593539422596647,0.04211545912281467,0.3938309085333648
en2,0.12515078412848057,0.16101019040195688,0.0051340878970632465,0.007735083881235714,0.0747575365771841,0.10964116662341018,0.11621152249336787,0.00531337259691471,0.004067911108120762,0.05880849320545339,0.07367842597391536,0.027383893482196567,0.09149475441800627,0.12517157630481662,0.0794321625447337,0.11286447400652284,0.029134320878391268,0.0055626138708336085,0.07627773489350659
nn2,0.7548613869048834,0.6879820223812922,0.9654694652893174,0.8179142780858895,0.8065567881653456,0.8231609375050173,0.8067623456887161,0.9778778800662135,0.9593706901731163,0.8917929633582657,0.6072413995862007,0.6557585691017184,0.47340774611369824,0.5293573881561494,0.5664412757394417,0.6922359730299679,0.8176247118120674,0.9301580784036342,0.5925579786289339
cn2,0.11998782965673678,0.15100778649316943,0.029396445070668846,0.1743506331574814,0.11868567359451411,0.06719789539279405,0.07702613094893358,0.016808744585535055,0.036561396021139,0.049398541737100427,0.31908017484114526,0.3168575380695984,0.43509749576741874,0.34547103279066027,0.3541265603672057,0.1948995521833663,0.1532409649491805,0.06427930470870608,0.3311642854301293
en3,,,0.08517113734613842,0.18293703029510275,0.1340540838206206,,,0.0602293874884785,0.08118164051195671,0.0707055140002176,,,,,,,0.1023797989104191,0.1023797989104191,
nn3,,,0.6868334691709196,0.5067702840114462,0.5968018765911829,,,0.797084735732683,0.7228850516779669,0.759984893705325,,,,,,,0.678393385148254,0.678393385148254,
cn3,,,0.22799539775915548,0.31029268322062903,0.26914404048989227,,,0.1426858743521529,0.1959333081954512,0.16930959127380207,,,,,,,0.21922681588184714,0.21922681588184714,
en4,,,0.2931783833134342,0.4564168179600403,0.3747976006367373,,,0.16065449467007542,0.2066273118915229,0.18364090328079916,,,,,,,0.27921925195876823,0.27921925195876823,
nn4,,,0.585347168567315,0.39011375092226885,0.4877304597447919,,,0.7561425016799443,0.6676573791894419,0.7118999404346931,,,,,,,0.5998152000897425,0.5998152000897425,
cn4,,,0.12147444952279329,0.1534694277777754,0.13747193865028434,,,0.08320300197097617,0.125715308854806,0.10445915541289108,,,,,,,0.12096554703158771,0.12096554703158771,
en_avg,0.15676112116772417,0.1703270487051349,0.09704297595381947,0.16376860019327383,0.1469749365049881,0.14934842940410267,0.1455195735137377,0.05752584096175474,0.0737998263457798,0.10654841755634373,0.06742239101205338,0.02725202508008806,0.0933664044456567,0.0974618790580101,0.07137567489895205,0.13045749470806825,0.086141857932121,0.09803431086365695,0.06235695206904908
nn_avg,0.7354680736720494,0.6819885845571065,0.8032166935555952,0.647876720168981,0.7171375179884331,0.7967263381749194,0.7916598564522005,0.8790383523618671,0.8311438606088531,0.8246421018994601,0.6039026829790561,0.6607497207481753,0.5124217630412107,0.48954118009345116,0.5666538367154733,0.6870278831460904,0.7185944212561538,0.7903189066738241,0.5751454504208132
cn_avg,0.10777080604906272,0.1476843662995186,0.09974033104150858,0.18835467727983307,0.13588754516748075,0.053925232637894296,0.06282056903485,0.06343580638533983,0.09505631203827417,0.06880948002408957,0.32867492806721244,0.31199825373054907,0.3942118298978168,0.41299694023294503,0.36197048798213083,0.1825146219977258,0.19526372011807494,0.1116467816862389,0.36249759698174705
en_std,0.0440110320987507,0.03963634554990619,0.11840636506581316,0.18485253388371575,0.09672656914954646,0.045263951050457885,0.04279081723119112,0.06410545313645455,0.08324907940217335,0.05885232520506922,0.010765937055421478,0.005197580249593805,0.051768702971818764,0.05575984412328088,0.03087301610002873,0.03903946432625769,0.08526180931017191,0.1126533578720392,0.030478712186437343
nn_std,0.06760996866040703,0.056318028375369915,0.17312438146822634,0.2122363613905848,0.12732218497364703,0.047881487283204446,0.039572755329152214,0.1051335311493578,0.138525306762219,0.08277827013098336,0.04363207186156131,0.026955507018349388,0.166096991234967,0.14666087762989413,0.09583636193619297,0.07018521712411031,0.13377266090310524,0.157254895192597,0.08680819232412176
