,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
140,theologian,0.8456,0.1149,0.1091,0.7500,asian,black,0.4010,0.2550
58,electrician,0.8676,0.0756,0.0828,0.7500,asian,black,0.3740,0.2284
0,academic,0.8676,0.0794,0.0796,1.0000,asian,hispanic,0.1476,0.1136
72,guitarist,0.8456,0.1213,0.1089,1.0000,asian,hispanic,0.0943,0.1016
35,civil,0.8235,0.0725,0.0732,1.0000,asian,hispanic,0.1299,0.1015
131,sociologist,0.8897,0.0691,0.0857,1.0000,asian,black,0.1142,0.1000
133,soldier,0.8456,0.1179,0.0951,1.0000,asian,hispanic,0.0989,0.0970
98,musician,0.8235,0.0998,0.0865,1.0000,asian,hispanic,0.1034,0.0950
13,athlete,0.8235,0.0756,0.0821,1.0000,asian,hispanic,0.1073,0.0947
17,author,0.8456,0.0808,0.0769,1.0000,asian,hispanic,0.1091,0.0930
64,farmer,0.8235,0.1017,0.0784,1.0000,asian,hispanic,0.1040,0.0912
27,butler,0.8235,0.1020,0.0842,1.0000,asian,black,0.0882,0.0862
40,commander,0.8456,0.1319,0.1120,1.0000,asian,hispanic,0.0603,0.0862
10,artist,0.8456,0.0824,0.0800,1.0000,asian,hispanic,0.0918,0.0859
62,entrepreneur,0.8456,0.0912,0.0787,1.0000,asian,hispanic,0.0927,0.0857
6,airman,0.8676,0.1215,0.1029,1.0000,asian,black,0.0650,0.0840
12,astronomer,0.8456,0.1059,0.0871,1.0000,asian,hispanic,0.0770,0.0821
129,sheriff,0.8235,0.1108,0.0872,1.0000,asian,hispanic,0.0768,0.0820
56,economist,0.8456,0.1096,0.0895,1.0000,asian,hispanic,0.0730,0.0812
9,army,0.9338,0.0758,0.0773,1.0000,asian,hispanic,0.0843,0.0808
41,composer,0.8676,0.0919,0.0916,1.0000,asian,hispanic,0.0671,0.0793
19,banker,0.8456,0.0985,0.0790,1.0000,asian,hispanic,0.0770,0.0780
82,journalist,0.8235,0.0876,0.0769,1.0000,asian,hispanic,0.0791,0.0780
66,fireman,0.8235,0.1397,0.1114,1.0000,asian,black,0.0443,0.0779
114,politician,0.8235,0.1021,0.0789,1.0000,asian,hispanic,0.0756,0.0773
4,aeronautical engineer,0.8456,0.1041,0.0945,1.0000,asian,black,0.0596,0.0771
22,boxer,0.8456,0.1046,0.0851,1.0000,asian,hispanic,0.0685,0.0768
30,CEO,0.8456,0.1055,0.0955,1.0000,asian,hispanic,0.0567,0.0761
130,singer,0.8456,0.0643,0.0706,1.0000,asian,hispanic,0.0811,0.0758
34,chief,0.8676,0.1103,0.0895,1.0000,asian,hispanic,0.0601,0.0748
112,poet,0.8676,0.0959,0.0829,1.0000,asian,hispanic,0.0661,0.0745
67,football player,0.8456,0.1048,0.0946,1.0000,asian,black,0.0539,0.0743
