,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
63,manly,0.2857,0.1089,0.2212,0.8542,black,white,0.2037,0.2125
7,burly,0.4250,0.0580,0.2343,0.9306,black,hispanic,0.1748,0.2046
86,silent,0.2500,0.1777,0.2166,0.9583,black,white,0.1720,0.1943
64,masculine,0.1667,0.1763,0.2189,0.7353,black,white,0.1666,0.1928
43,handsome,0.3333,0.1028,0.2091,0.8333,black,white,0.1724,0.1907
72,polite,0.2321,0.0329,0.2022,0.8456,black,white,0.1779,0.1901
105,trustworthy,0.4265,0.0902,0.1854,0.8889,black,white,0.1947,0.1901
19,crafty,0.3333,0.1510,0.2024,0.9375,black,white,0.1650,0.1837
8,callous,0.4375,0.1535,0.1955,0.9141,black,white,0.1680,0.1817
22,defiant,0.4792,0.1246,0.2067,0.9375,black,white,0.1507,0.1787
103,timid,0.5000,0.1108,0.2048,0.9375,black,white,0.1497,0.1773
51,immature,0.4167,0.0152,0.1830,0.9333,hispanic,asian,0.1694,0.1762
110,uptight,0.5179,0.0853,0.1644,0.9044,black,white,0.1873,0.1759
34,flamboyant,0.3553,0.1032,0.2131,0.9444,black,hispanic,0.1377,0.1754
81,rich,0.5385,0.1609,0.1958,0.9412,black,white,0.1532,0.1745
83,rowdy,0.4318,0.0948,0.1643,0.8833,black,white,0.1833,0.1738
55,industrious,0.5972,0.0584,0.1990,0.9485,black,hispanic,0.1477,0.1733
30,feminine,0.2895,-0.0265,0.1738,0.7778,black,white,0.1724,0.1731
108,uneducated,0.6429,0.0927,0.2048,0.9531,black,asian,0.1380,0.1714
95,studious,0.3125,0.0979,0.1523,0.9167,black,white,0.1892,0.1707
54,impoverish,0.4205,0.0850,0.2056,0.9444,black,white,0.1344,0.1700
18,confrontational,0.4531,0.1284,0.1889,0.9559,black,white,0.1510,0.1699
66,naggy,0.5476,0.0428,0.1675,0.9559,black,hispanic,0.1650,0.1662
92,social,0.2656,0.0945,0.1618,0.9559,black,white,0.1700,0.1659
6,brave,0.4375,0.1023,0.1894,0.9583,black,white,0.1420,0.1657
107,uncare,0.4375,-0.0171,0.1937,0.9583,black,white,0.1367,0.1652
48,hopeless,0.4196,0.0538,0.1776,0.9236,black,white,0.1513,0.1644
9,capable,0.3375,0.1357,0.1668,0.9583,black,white,0.1617,0.1642
57,irresponsible,0.3452,0.0821,0.1853,0.9632,black,asian,0.1417,0.1635
77,quiet,0.1471,0.0913,0.1454,0.9236,black,white,0.1810,0.1632
2,attractive,0.6316,0.0066,0.1809,0.9485,black,white,0.1455,0.1632
11,careless,0.5156,0.0620,0.1883,0.9559,black,hispanic,0.1352,0.1618
13,clean,0.3824,0.0816,0.1810,0.9236,black,white,0.1410,0.1610
27,emotional,0.4079,0.0760,0.1715,0.9722,black,white,0.1482,0.1599
26,dumb,0.3875,0.0258,0.1640,0.8472,black,hispanic,0.1538,0.1589
36,free,0.1964,-0.0092,0.1478,0.9167,black,white,0.1699,0.1589
