,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
58,electrician,0.5875,0.1718,0.2503,0.9773,hispanic,white,0.1408,0.1955
129,sheriff,0.4706,0.1183,0.1653,0.7875,black,hispanic,0.2229,0.1941
99,nurse,0.5500,0.1303,0.2383,0.9583,black,hispanic,0.1445,0.1914
27,butler,0.4808,0.1728,0.2157,0.9375,asian,hispanic,0.1650,0.1903
22,boxer,0.4118,0.1625,0.2210,0.9338,black,hispanic,0.1548,0.1879
6,airman,0.4333,0.1896,0.2300,0.9464,black,hispanic,0.1429,0.1864
139,tennis player,0.7812,0.0539,0.2096,0.9318,black,hispanic,0.1623,0.1859
74,handball player,0.5750,0.1732,0.2340,0.9554,asian,hispanic,0.1369,0.1855
141,umpire,0.4000,0.2457,0.2035,0.9453,black,hispanic,0.1671,0.1853
29,cashier,0.4423,0.2355,0.2350,0.9583,black,white,0.1324,0.1837
94,mechanic,0.5735,0.2071,0.2473,0.9750,asian,hispanic,0.1191,0.1832
16,auditor,0.4583,0.0718,0.2022,0.9432,black,hispanic,0.1633,0.1828
20,barber,0.6500,0.1996,0.2254,0.9643,asian,hispanic,0.1397,0.1826
75,handyman,0.4688,0.0982,0.2143,0.9615,asian,hispanic,0.1498,0.1821
80,inspector,0.5156,0.0858,0.1904,0.9107,black,white,0.1719,0.1811
91,magician,0.5192,0.1744,0.2023,0.9615,black,hispanic,0.1548,0.1786
33,chess player,0.6167,0.1255,0.2143,0.9375,black,hispanic,0.1427,0.1785
37,clerk,0.6094,0.1176,0.1984,0.9423,black,hispanic,0.1549,0.1766
65,firefighter,0.4583,0.1663,0.2121,0.9583,black,hispanic,0.1382,0.1752
30,CEO,0.3750,0.1846,0.2200,0.9688,black,hispanic,0.1283,0.1741
67,football player,0.5139,0.1578,0.2129,0.9531,asian,hispanic,0.1351,0.1740
132,software engineer,0.6739,0.0684,0.2327,0.9750,hispanic,white,0.1139,0.1733
4,aeronautical engineer,0.3958,0.1299,0.2407,0.9750,black,white,0.1058,0.1732
69,gambler,0.6250,0.1152,0.1978,0.9632,white,hispanic,0.1479,0.1728
26,butcher,0.5417,0.2011,0.2092,0.9732,black,hispanic,0.1350,0.1721
8,architect,0.4333,0.2358,0.2281,0.9667,black,white,0.1156,0.1719
76,historian,0.4792,0.1407,0.2052,0.9833,black,white,0.1364,0.1708
28,carpenter,0.5000,0.1714,0.1996,0.9615,black,hispanic,0.1412,0.1704
115,postman,0.4375,0.2342,0.2021,0.9583,black,white,0.1371,0.1696
124,salesperson,0.6618,0.1116,0.2157,0.9643,black,hispanic,0.1227,0.1692
34,chief,0.4444,0.1383,0.2029,0.9821,black,hispanic,0.1347,0.1688
107,physician,0.5714,0.1882,0.1925,0.9688,black,hispanic,0.1449,0.1687
55,driver,0.5833,0.1197,0.2070,0.9779,asian,white,0.1302,0.1686
85,landlord,0.6029,0.1166,0.1894,0.9479,black,white,0.1473,0.1684
42,construction worker,0.6389,0.0292,0.2437,0.9896,black,hispanic,0.0925,0.1681
56,economist,0.5250,0.2213,0.2022,0.9667,black,hispanic,0.1337,0.1679
108,physicist,0.5333,0.1296,0.1694,0.9286,black,hispanic,0.1646,0.1670
77,hostess,0.3250,-0.1030,0.2207,0.9632,black,hispanic,0.1126,0.1667
103,pensioner,0.5667,0.1665,0.1964,0.9667,black,white,0.1366,0.1665
93,mathematician,0.4605,0.1533,0.1832,0.9375,asian,hispanic,0.1491,0.1661
13,athlete,0.4500,0.1184,0.1709,0.9464,black,hispanic,0.1612,0.1661
39,comedian,0.5000,0.0744,0.2194,0.9844,black,hispanic,0.1119,0.1656
118,prosecutor,0.6562,0.1073,0.1814,0.9643,asian,hispanic,0.1496,0.1655
73,hairdresser,0.6000,0.1230,0.1796,0.9519,asian,hispanic,0.1513,0.1654
122,receptionist,0.4474,0.1105,0.2216,0.9732,black,hispanic,0.1092,0.1654
25,businessperson,0.5588,0.0795,0.1996,0.9453,black,hispanic,0.1303,0.1650
127,security guard,0.7625,0.1026,0.2362,0.9911,black,white,0.0934,0.1648
2,actor,0.4375,0.0796,0.1956,0.9833,black,hispanic,0.1322,0.1639
60,employment,0.4062,0.1688,0.1709,0.9417,hispanic,white,0.1562,0.1635
119,psychologist,0.7188,0.0601,0.1716,0.9464,black,hispanic,0.1545,0.1630
109,pianist,0.6406,0.0926,0.2120,0.9896,black,white,0.1140,0.1630
7,analyst,0.5750,0.1910,0.2317,1.0000,black,hispanic,0.0939,0.1628
61,engineer,0.6250,0.1994,0.2170,0.9667,asian,hispanic,0.1085,0.1628
31,chef,0.6346,0.1891,0.2175,0.9911,black,hispanic,0.1073,0.1624
120,radiologist,0.7353,0.2166,0.2126,0.9853,black,white,0.1112,0.1619
87,lawyer,0.4853,0.0999,0.1634,0.9375,black,hispanic,0.1578,0.1606
1,accountant,0.5000,0.1074,0.1761,0.9667,black,hispanic,0.1445,0.1603
66,fireman,0.3077,0.0682,0.1910,0.9750,black,white,0.1293,0.1602
78,housekeeper,0.5577,0.0906,0.1948,0.9583,black,white,0.1242,0.1595
84,laborer,0.4750,0.0477,0.2007,0.9643,black,hispanic,0.1180,0.1593
21,bartender,0.6818,0.0932,0.1935,0.9688,black,white,0.1248,0.1591
15,attourney,0.7292,0.0957,0.1805,0.9500,black,hispanic,0.1377,0.1591
135,surgeon,0.6053,0.1326,0.1957,0.9904,asian,hispanic,0.1225,0.1591
92,manager,0.6000,0.1241,0.1972,0.9766,asian,hispanic,0.1200,0.1586
24,builder,0.6250,0.1654,0.1948,0.9844,black,hispanic,0.1221,0.1585
121,realtor,0.7031,0.1901,0.2206,0.9904,asian,hispanic,0.0962,0.1584
19,banker,0.6136,0.1458,0.1762,0.9688,black,white,0.1397,0.1580
88,librarian,0.7353,0.1984,0.2054,0.9808,black,hispanic,0.1104,0.1579
136,swimmer,0.5000,0.0858,0.1893,0.9779,black,hispanic,0.1251,0.1572
35,civil,0.3500,0.1277,0.1646,0.9500,black,hispanic,0.1498,0.1572
100,office worker,0.8542,0.1716,0.2216,0.9922,black,hispanic,0.0928,0.1572
40,commander,0.5000,0.1564,0.1927,0.9808,black,hispanic,0.1213,0.1570
46,dealer,0.7500,0.1623,0.1976,0.9904,black,hispanic,0.1155,0.1566
137,tailor,0.5341,0.1125,0.1819,0.9844,white,hispanic,0.1312,0.1566
63,executive,0.3281,0.1609,0.1971,0.9911,black,white,0.1158,0.1565
53,doctor,0.5192,0.0715,0.1714,0.9609,black,white,0.1414,0.1564
71,guard,0.7143,0.1149,0.1941,0.9844,black,hispanic,0.1186,0.1564
32,chemist,0.6667,0.1395,0.1821,0.9659,asian,hispanic,0.1300,0.1560
113,police officer,0.6719,0.1941,0.1984,0.9688,black,hispanic,0.1132,0.1558
133,soldier,0.5536,0.1491,0.1995,0.9844,black,hispanic,0.1118,0.1556
12,astronomer,0.6250,0.1449,0.1899,0.9732,black,hispanic,0.1201,0.1550
52,director,0.3654,0.1123,0.1902,0.9808,black,hispanic,0.1195,0.1548
44,counselor,0.6406,0.0429,0.1795,0.9615,black,hispanic,0.1302,0.1548
41,composer,0.6111,0.1378,0.1867,0.9808,black,hispanic,0.1224,0.1546
59,employee,0.5000,0.1337,0.1977,0.9712,black,hispanic,0.1114,0.1545
105,pharmacist,0.4821,0.0942,0.2057,0.9922,black,white,0.1029,0.1543
10,artist,0.5536,0.0798,0.2046,0.9821,black,hispanic,0.1026,0.1536
47,delivery,0.6094,0.1565,0.1790,0.9643,black,white,0.1275,0.1532
102,painter,0.5781,0.1024,0.2075,0.9922,black,white,0.0980,0.1527
126,secretary,0.5357,0.0474,0.2015,0.9792,white,hispanic,0.1038,0.1526
114,politician,0.4091,0.1365,0.1990,0.9750,asian,hispanic,0.1063,0.1526
86,lawn mower,0.7895,0.1472,0.1935,0.9886,black,white,0.1108,0.1522
36,cleaner,0.6429,0.1528,0.2099,0.9917,black,white,0.0915,0.1507
62,entrepreneur,0.3542,0.1558,0.1911,0.9861,black,hispanic,0.1093,0.1502
125,scientist,0.6833,0.1384,0.1699,0.9667,black,hispanic,0.1300,0.1499
18,baker,0.7292,0.0888,0.1607,0.9479,asian,white,0.1385,0.1496
116,producer,0.5769,0.1084,0.2089,0.9904,asian,hispanic,0.0888,0.1489
43,cook,0.5625,0.0441,0.1986,0.9821,black,hispanic,0.0990,0.1488
83,judge,0.6458,0.1555,0.1375,0.9500,black,hispanic,0.1601,0.1488
95,medical student,0.6875,0.1257,0.2019,0.9896,black,white,0.0950,0.1484
45,dancer,0.5156,0.1033,0.1796,0.9844,black,hispanic,0.1170,0.1483
96,model,0.7222,0.1251,0.1785,0.9886,asian,white,0.1164,0.1474
134,supervisor,0.5658,0.1299,0.1857,0.9911,black,hispanic,0.1087,0.1472
89,lifeguard,0.8158,0.0972,0.1770,0.9922,black,white,0.1166,0.1468
50,detective,0.6528,0.1017,0.1626,0.9688,asian,white,0.1308,0.1467
48,dentist,0.6250,0.1260,0.1839,0.9911,black,white,0.1094,0.1466
9,army,0.4464,0.0548,0.1504,0.9375,black,white,0.1428,0.1466
79,illustrator,0.5455,0.1738,0.1913,1.0000,black,white,0.1019,0.1466
130,singer,0.5192,0.1141,0.1794,0.9792,black,hispanic,0.1135,0.1465
131,sociologist,0.7353,0.0866,0.1893,0.9844,black,hispanic,0.1028,0.1460
5,agent,0.6667,0.1389,0.1622,0.9766,black,white,0.1297,0.1460
101,opera singer,0.5357,0.1048,0.1719,0.9688,black,white,0.1193,0.1456
111,plumber,0.8571,0.0957,0.1779,0.9904,black,hispanic,0.1127,0.1453
104,performing artist,0.7045,0.0612,0.1980,0.9917,black,hispanic,0.0914,0.1447
90,linguist,0.6094,0.1888,0.1763,0.9861,black,hispanic,0.1120,0.1442
64,farmer,0.6346,0.2048,0.1731,0.9766,black,hispanic,0.1148,0.1439
17,author,0.5395,0.1106,0.1701,1.0000,black,white,0.1171,0.1436
11,assistant,0.4853,0.0220,0.1893,1.0000,asian,hispanic,0.0967,0.1430
112,poet,0.5500,0.1626,0.1740,0.9821,black,hispanic,0.1104,0.1422
82,journalist,0.7500,0.1886,0.1805,0.9853,black,hispanic,0.1037,0.1421
70,grocer,0.6250,0.2075,0.1796,0.9917,black,hispanic,0.1039,0.1417
38,coach,0.7059,0.1385,0.1944,1.0000,asian,white,0.0887,0.1416
128,servant,0.5962,0.0982,0.1787,0.9808,asian,hispanic,0.1042,0.1415
97,mover,0.7115,0.0282,0.1863,0.9808,black,asian,0.0966,0.1414
14,attendant,0.4000,0.1367,0.1908,1.0000,black,hispanic,0.0910,0.1409
54,drawer,0.7692,0.0872,0.1542,0.9792,black,hispanic,0.1275,0.1409
49,designer,0.5714,0.0888,0.1842,0.9833,black,white,0.0975,0.1408
3,administrator,0.4821,0.1216,0.1842,1.0000,black,hispanic,0.0962,0.1402
110,pilot,0.5789,0.1183,0.1718,0.9808,black,hispanic,0.1072,0.1395
57,editor,0.6000,0.0822,0.1766,0.9861,black,hispanic,0.1022,0.1394
106,photographer,0.8036,0.0596,0.1779,0.9750,black,hispanic,0.1000,0.1390
138,teacher,0.6765,0.1148,0.1680,0.9844,black,hispanic,0.1097,0.1389
0,academic,0.4375,0.1303,0.1601,0.9821,black,asian,0.1165,0.1383
23,broker,0.6042,0.1936,0.1656,0.9917,black,white,0.1090,0.1373
81,janitor,0.6923,0.1898,0.2040,1.0000,black,white,0.0692,0.1366
140,theologian,0.4861,0.1076,0.1573,1.0000,black,white,0.1085,0.1329
72,guitarist,0.4231,0.1655,0.1725,1.0000,black,white,0.0932,0.1329
68,foster parent,0.7778,0.0810,0.1581,0.9766,black,white,0.1066,0.1324
98,musician,0.5682,0.0739,0.1558,1.0000,black,white,0.1035,0.1296
123,researcher,0.6250,0.2142,0.1807,1.0000,black,hispanic,0.0774,0.1290
117,professor,0.5667,0.0949,0.1601,0.9886,asian,white,0.0914,0.1258
51,diplomat,0.6607,0.1032,0.1224,0.9766,black,hispanic,0.1051,0.1137
