,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.47660484826564786,0.45858268576301636,0.019717981815338136,0.04456273629900534,0.2498670630357519,0.29079061092436315,0.2656203204458579,0.012698868840700015,0.014900269598059821,0.1460025174522452,0.061166356050191405,0.027120156677979554,0.09523805447330713,0.06975218181120357,0.06331918725317041,0.274667145987064,0.031458699173714404,0.022969964138275827,0.04843616924459156
nn1,0.35232158965803684,0.28907628038711847,0.8650123387426137,0.7956633716374636,0.5755183951063082,0.518712343018502,0.5253744964618235,0.9173828902840614,0.9273339498639107,0.7222009199070744,0.6005639663719117,0.6657408723946322,0.5514357799687231,0.4497249720307529,0.5668663976915049,0.4729140759776859,0.7701430658255725,0.8763481376320124,0.5577329222126926
cn1,0.17107356076920405,0.2523410340854898,0.11526967985462397,0.15977389174420387,0.17461454161338041,0.19049704515514895,0.20900518345460295,0.06991824075928889,0.05776578029431403,0.1317965624158387,0.33826968129327956,0.3071389693914997,0.35332616402821476,0.4805228476752298,0.36981441559705597,0.25241877813099,0.19839823495319334,0.10068189816310769,0.3938309085333648
en2,0.333015630683396,0.41583328622207044,0.032621816686470996,0.08881531272619031,0.21757151157953192,0.17638525950559414,0.1559278334933333,0.023287379832938312,0.03293977551534772,0.09713506208680336,0.07367842597391536,0.027383893482196567,0.09149475441800627,0.12517157630481662,0.0794321625447337,0.2077225317160526,0.05503662575799342,0.04441607119023683,0.07627773489350659
nn2,0.44707323355227707,0.3305057185254991,0.7940578987300396,0.6543445923328399,0.5564953607851639,0.5735892184861004,0.5704303569123149,0.8757618754804134,0.8570510112345219,0.7192081155283376,0.6072413995862007,0.6557585691017184,0.47340774611369824,0.5293573881561494,0.5664412757394417,0.5003746121960151,0.7277218891726137,0.7953038444444537,0.5925579786289339
cn2,0.219911135149654,0.2536609974023886,0.17332028323225676,0.2568400940541178,0.22593312745960428,0.25002552244253456,0.2736418097978458,0.10095074573997408,0.11000921307038516,0.1836568227626849,0.31908017484114526,0.3168575380695984,0.43509749576741874,0.34547103279066027,0.3541265603672057,0.2919028559001645,0.2172414844928321,0.16028008402418345,0.3311642854301293
en3,,,0.01727917721529957,0.06140120021882467,0.039340188717062116,,,0.012298712880292441,0.0178047839673236,0.01505174842380802,,,,,,,0.027195968570435068,0.027195968570435068,
nn3,,,0.7897698993943632,0.681072196803987,0.7354210480991751,,,0.877687904253602,0.892576324135065,0.8851321141943336,,,,,,,0.8102765811467543,0.8102765811467543,
cn3,,,0.19295092360954733,0.2575266037182882,0.22523876366391776,,,0.11001338345604017,0.08961889350321144,0.09981613847962581,,,,,,,0.16252745107177177,0.16252745107177177,
en4,,,0.028599617779138498,0.07139585220720619,0.049997734993172345,,,0.017717353779706173,0.021199206672958097,0.019458280226332135,,,,,,,0.03472800760975224,0.03472800760975224,
nn4,,,0.8080926943868398,0.6764164526686073,0.7422545735277235,,,0.8825737865865231,0.8771037766337395,0.8798387816101313,,,,,,,0.8110466775689273,0.8110466775689273,
cn4,,,0.1633076880937442,0.25218769295234233,0.20774769052304326,,,0.09970885972119868,0.10169701711274684,0.10070293841697275,,,,,,,0.154225314470008,0.154225314470008,
en_avg,0.40481023947452194,0.4372079859925434,0.024554648374061797,0.06654377536280663,0.23327916230098347,0.23358793521497864,0.21077407696959563,0.016500578833409236,0.02171100893842231,0.12064339998910145,0.06742239101205338,0.02725202508008806,0.0933664044456567,0.0974618790580101,0.07137567489895205,0.24119483885155832,0.04233731927446636,0.03232750287717499,0.06235695206904908
nn_avg,0.399697411605157,0.3097909994563088,0.8142332078134641,0.7018741533607245,0.5563989430589136,0.5461507807523012,0.5479024266870692,0.8883516141511499,0.8885162654668093,0.7177302717643324,0.6039026829790561,0.6607497207481753,0.5124217630412107,0.48954118009345116,0.5666538367154733,0.4866443440868505,0.7405443569389624,0.823243810198037,0.5751454504208132
cn_avg,0.19549234795942902,0.2530010157439392,0.16121214369754308,0.23158207061723807,0.21032189450453737,0.22026128379884177,0.24132349662622438,0.09514780741912546,0.08977272599516437,0.16162632845983899,0.32867492806721244,0.31199825373054907,0.3942118298978168,0.41299694023294503,0.36197048798213083,0.27216081701557726,0.2171183236154275,0.14442868693226774,0.36249759698174705
en_std,0.1127663778483402,0.08133323202002793,0.02082721421229914,0.054269073001141366,0.06729897427045216,0.10998496326140594,0.09991290108743124,0.013390069057616198,0.01823650739407544,0.060381110200132204,0.010765937055421478,0.005197580249593805,0.051768702971818764,0.05575984412328088,0.03087301610002873,0.07775535237407427,0.02794671467300114,0.026680715916283033,0.030478712186437343
nn_std,0.08843579700496047,0.05317978803161532,0.1068174099208449,0.1302044175239065,0.0946593531203318,0.10738444551080466,0.10311212603282184,0.0720528977140416,0.06948351749086483,0.08800824668713324,0.04363207186156131,0.026955507018349388,0.166096991234967,0.14666087762989413,0.09583636193619297,0.0936402032794551,0.09202910454965023,0.09463956066241445,0.08680819232412176
cn_std,0.07087694084178656,0.0649768572684843,0.09236428720609009,0.09431888858285033,0.08063424347480282,0.09049909364175983,0.0830131286312826,0.06174648497649595,0.054263062441490165,0.07238044242275714,0.04574151527374349,0.029714675588448616,0.1839386413589674,0.16678584259567347,0.10654516870420824,0.0898410295026707,0.08319887356517476,0.07567318080173163,0.09825025909206105
accstd,,,,,,,,,,,,,,,,,,,
acc,0.42275,0.22875,0.955375,0.888125,0.62375,0.73225,0.73725,0.9895,0.996,0.86375,0.7340425531914894,0.7613636363636364,0.49311294765840225,0.4778005464480874,0.6165799209154038,0.5580259168083153,0.8446940304686206,0.95725,0.6195820914058618
std,0.18138607713005814,0.1329932515467517,0.14667260755948944,0.18586158607193215,0.16172838057705785,0.2052456682759803,0.1906921038343571,0.09812630116543584,0.09465539155095364,0.14717986620668172,0.06675968279381753,0.041245175237594536,0.2678695570438354,0.24613770956589903,0.15550303116028663,0.17415772343746672,0.13544979519188408,0.13132897158695275,0.14369144240174678
