,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
0,academic,0.5156,0.1346,0.1244,0.9643,black,white,0.1392,0.1318
51,diplomat,0.6786,0.0989,0.1112,0.9453,black,white,0.1522,0.1317
108,physicist,0.3000,0.0936,0.1022,0.9464,asian,white,0.1611,0.1317
9,army,0.5357,0.0608,0.1179,0.9609,black,white,0.1378,0.1278
125,scientist,0.6000,0.0893,0.1027,0.9667,asian,white,0.1522,0.1275
88,librarian,0.7059,0.1108,0.1237,0.9615,black,hispanic,0.1266,0.1252
131,sociologist,0.5588,0.0786,0.1140,0.9688,black,white,0.1351,0.1245
35,civil,0.6250,0.1059,0.1262,1.0000,black,white,0.1229,0.1245
30,CEO,0.6719,0.0755,0.1178,0.9609,asian,hispanic,0.1309,0.1244
93,mathematician,0.4868,0.0429,0.0841,0.9297,black,white,0.1637,0.1239
12,astronomer,0.4167,0.0750,0.1124,0.9911,black,white,0.1346,0.1235
56,economist,0.5250,0.0668,0.0880,0.9583,hispanic,white,0.1589,0.1234
25,businessperson,0.5294,0.1093,0.1293,0.9688,black,white,0.1128,0.1210
85,landlord,0.6618,0.0972,0.1204,0.9792,black,white,0.1202,0.1203
119,psychologist,0.6875,0.0512,0.1105,0.9732,black,white,0.1300,0.1203
78,housekeeper,0.7885,0.0955,0.1336,0.9792,asian,white,0.1065,0.1201
105,pharmacist,0.5357,0.0826,0.1014,0.9688,black,white,0.1388,0.1201
54,drawer,0.6154,0.1302,0.1770,1.0000,asian,white,0.0630,0.1200
140,theologian,0.3611,0.0921,0.1138,0.9766,black,white,0.1260,0.1199
67,football player,0.5278,0.0439,0.1194,0.9766,black,white,0.1187,0.1190
129,sheriff,0.5882,0.0945,0.1159,0.9750,asian,hispanic,0.1218,0.1188
70,grocer,0.6750,0.0644,0.1041,0.9667,black,asian,0.1334,0.1187
126,secretary,0.7321,0.0623,0.1194,0.9688,asian,white,0.1128,0.1161
100,office worker,0.5625,0.1650,0.1403,0.9844,black,white,0.0912,0.1158
40,commander,0.5500,0.0743,0.1150,0.9904,asian,white,0.1160,0.1155
139,tennis player,0.5000,0.0406,0.1266,0.9659,black,white,0.1041,0.1154
112,poet,0.6250,0.0185,0.1244,0.9732,black,white,0.1038,0.1141
84,laborer,0.6750,0.1065,0.1322,0.9911,black,white,0.0948,0.1135
107,physician,0.5357,0.1061,0.1307,1.0000,black,white,0.0951,0.1129
141,umpire,0.5250,0.1185,0.1291,0.9844,asian,white,0.0960,0.1126
32,chemist,0.6667,0.1136,0.1012,0.9659,black,white,0.1222,0.1117
132,software engineer,0.5761,0.0909,0.1000,0.9625,black,white,0.1228,0.1114
95,medical student,0.7344,0.0778,0.1125,0.9688,black,white,0.1097,0.1111
16,auditor,0.5417,0.1468,0.1446,1.0000,asian,white,0.0775,0.1111
133,soldier,0.4643,0.0841,0.1099,0.9688,black,white,0.1108,0.1104
64,farmer,0.5385,0.0965,0.1150,0.9766,black,white,0.1044,0.1097
39,comedian,0.5250,-0.0067,0.1109,0.9766,asian,white,0.1085,0.1097
99,nurse,0.7250,0.0850,0.1163,0.9792,hispanic,white,0.1020,0.1092
94,mechanic,0.5294,0.0744,0.1276,1.0000,asian,white,0.0907,0.1091
98,musician,0.4091,0.0479,0.0958,0.9821,asian,white,0.1224,0.1091
27,butler,0.7692,0.0619,0.1043,0.9896,black,white,0.1126,0.1085
114,politician,0.5227,0.0265,0.1095,0.9750,black,white,0.1069,0.1082
22,boxer,0.5588,0.0940,0.0959,0.9632,black,white,0.1205,0.1082
