,occupation,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
9,army,0.3036,0.2191,0.2633,0.5781,white,black,0.2568,0.2600
133,soldier,0.6429,0.2019,0.2586,0.8594,white,asian,0.2076,0.2331
113,police officer,0.4844,0.3009,0.2624,0.9297,white,hispanic,0.1852,0.2238
42,construction worker,0.6944,0.1837,0.1904,0.8854,white,asian,0.2428,0.2166
114,politician,0.7045,0.1962,0.2249,0.9250,white,asian,0.2007,0.2128
64,farmer,0.7500,0.2026,0.2032,0.8828,white,asian,0.2212,0.2122
100,office worker,0.5833,0.2466,0.2204,0.9141,white,hispanic,0.2035,0.2119
40,commander,0.6500,0.1321,0.2267,0.8942,asian,white,0.1965,0.2116
125,scientist,0.6667,0.1533,0.1983,0.9000,white,asian,0.2186,0.2085
66,fireman,0.8462,0.1355,0.1971,0.8917,white,asian,0.2151,0.2061
54,drawer,0.4038,0.1760,0.2340,0.9271,white,black,0.1738,0.2039
129,sheriff,0.6618,0.1685,0.2055,0.9125,hispanic,asian,0.1960,0.2008
53,doctor,0.6538,0.1671,0.2024,0.9141,white,asian,0.1977,0.2000
139,tennis player,0.6875,0.1636,0.1915,0.8864,white,hispanic,0.2045,0.1980
60,employment,0.4062,0.2013,0.2535,0.9500,black,hispanic,0.1391,0.1963
81,janitor,0.8654,0.1863,0.1583,0.8889,white,asian,0.2303,0.1943
61,engineer,0.7708,0.2292,0.1952,0.9167,white,asian,0.1904,0.1928
47,delivery,0.5781,0.3048,0.2891,0.9643,white,black,0.0951,0.1921
124,salesperson,0.6765,0.2316,0.2082,0.9375,white,asian,0.1719,0.1901
70,grocer,0.7250,0.1339,0.1610,0.9000,white,asian,0.2155,0.1883
135,surgeon,0.7895,0.1349,0.1798,0.9135,white,asian,0.1955,0.1877
80,inspector,0.7500,0.2079,0.2192,0.9375,black,asian,0.1540,0.1866
33,chess player,0.7333,0.2000,0.1981,0.9297,white,asian,0.1739,0.1860
0,academic,0.7031,0.2269,0.2146,0.9375,white,asian,0.1569,0.1857
95,medical student,0.8125,0.1424,0.1707,0.9167,white,asian,0.1997,0.1852
83,judge,0.7292,0.1387,0.1981,0.9083,white,asian,0.1718,0.1849
22,boxer,0.8235,0.1895,0.2034,0.9191,white,asian,0.1661,0.1848
67,football player,0.6389,0.2274,0.2079,0.9141,white,asian,0.1615,0.1847
107,physician,0.6607,0.1781,0.1889,0.9219,white,asian,0.1761,0.1825
39,comedian,0.7750,0.1874,0.1864,0.9219,white,asian,0.1758,0.1811
94,mechanic,0.7206,0.1546,0.1889,0.9167,white,asian,0.1728,0.1808
86,lawn mower,0.4737,0.1670,0.2218,0.9432,hispanic,black,0.1396,0.1807
56,economist,0.7625,0.1764,0.1997,0.9333,white,asian,0.1615,0.1806
25,businessperson,0.6765,0.1571,0.1924,0.9375,white,asian,0.1660,0.1792
4,aeronautical engineer,0.7083,0.2620,0.2223,0.9500,white,asian,0.1355,0.1789
99,nurse,0.7500,0.1755,0.1887,0.9375,white,asian,0.1675,0.1781
115,postman,0.7812,0.2087,0.1643,0.9271,white,asian,0.1919,0.1781
75,handyman,0.8281,0.1405,0.1868,0.9327,white,asian,0.1676,0.1772
59,employee,0.6667,0.0305,0.2142,0.9519,white,hispanic,0.1402,0.1772
119,psychologist,0.7812,0.0823,0.1635,0.9286,white,asian,0.1900,0.1767
105,pharmacist,0.7143,0.0928,0.1940,0.9375,black,asian,0.1578,0.1759
78,housekeeper,0.9038,0.1227,0.1646,0.9271,white,asian,0.1866,0.1756
6,airman,0.9167,0.1611,0.1565,0.9018,white,asian,0.1931,0.1748
108,physicist,0.8333,0.1569,0.1737,0.9286,white,asian,0.1752,0.1745
12,astronomer,0.9028,0.1325,0.1487,0.9018,white,asian,0.2002,0.1745
122,receptionist,0.8026,0.1680,0.1926,0.9375,white,asian,0.1559,0.1742
117,professor,0.7167,0.2151,0.1993,0.9318,black,asian,0.1489,0.1741
48,dentist,0.7656,0.1589,0.1852,0.9375,black,asian,0.1623,0.1738
87,lawyer,0.7794,0.1050,0.1775,0.9297,white,asian,0.1690,0.1733
28,carpenter,0.9375,0.0766,0.1552,0.9038,white,asian,0.1866,0.1709
93,mathematician,0.8421,0.1405,0.1738,0.9141,white,asian,0.1678,0.1708
29,cashier,0.7500,0.1711,0.1874,0.9333,white,asian,0.1526,0.1700
65,firefighter,0.7292,0.2227,0.1931,0.9417,white,asian,0.1470,0.1700
32,chemist,0.8125,0.1820,0.1951,0.9432,black,asian,0.1438,0.1695
19,banker,0.7955,0.1456,0.1726,0.9375,black,asian,0.1660,0.1693
50,detective,0.7778,0.1925,0.1874,0.9375,black,asian,0.1504,0.1689
3,administrator,0.7679,0.2025,0.1762,0.9250,white,asian,0.1613,0.1688
35,civil,0.7250,0.1599,0.1952,0.9333,black,asian,0.1412,0.1682
103,pensioner,0.8333,0.1705,0.1568,0.9167,white,hispanic,0.1795,0.1682
132,software engineer,0.7935,0.1559,0.1672,0.9250,black,asian,0.1662,0.1667
37,clerk,0.8281,0.1643,0.1628,0.9327,white,hispanic,0.1685,0.1656
118,prosecutor,0.6875,0.1371,0.1872,0.9464,white,asian,0.1425,0.1648
88,librarian,0.8382,0.1523,0.1768,0.9423,white,asian,0.1525,0.1647
21,bartender,0.8182,0.2020,0.1857,0.9375,black,asian,0.1413,0.1635
110,pilot,0.7500,0.2123,0.1996,0.9519,white,asian,0.1263,0.1629
63,executive,0.6094,0.1594,0.2021,0.9643,white,asian,0.1213,0.1617
76,historian,0.8333,0.1356,0.1680,0.9333,white,asian,0.1532,0.1606
7,analyst,0.8000,0.1900,0.2010,0.9583,white,asian,0.1191,0.1601
111,plumber,0.8214,0.1396,0.1536,0.9327,white,asian,0.1665,0.1600
123,researcher,0.8281,0.1776,0.1636,0.9464,white,asian,0.1555,0.1596
71,guard,0.7143,0.2028,0.2003,0.9609,white,asian,0.1179,0.1591
51,diplomat,0.8571,0.1142,0.1204,0.9297,white,asian,0.1969,0.1586
84,laborer,0.8500,0.1179,0.1494,0.9286,black,asian,0.1678,0.1586
131,sociologist,0.8971,0.1317,0.1551,0.9375,white,asian,0.1616,0.1584
98,musician,0.7500,0.1696,0.1956,0.9643,white,hispanic,0.1201,0.1578
49,designer,0.8571,0.1299,0.1623,0.9333,white,asian,0.1495,0.1559
26,butcher,0.8611,0.1458,0.1848,0.9464,white,asian,0.1251,0.1550
127,security guard,0.7875,0.1476,0.2107,0.9643,white,asian,0.0954,0.1530
15,attourney,0.8125,0.1546,0.1972,0.9667,black,asian,0.1088,0.1530
24,builder,0.8125,0.1112,0.1706,0.9453,black,asian,0.1353,0.1529
30,CEO,0.6875,0.1255,0.1421,0.9297,white,asian,0.1623,0.1522
57,editor,0.8000,0.2059,0.1829,0.9583,white,asian,0.1209,0.1519
130,singer,0.8077,0.1849,0.2099,0.9583,white,hispanic,0.0937,0.1518
92,manager,0.7500,0.1211,0.1615,0.9375,black,asian,0.1410,0.1513
128,servant,0.7692,0.1199,0.1832,0.9327,white,asian,0.1192,0.1512
126,secretary,0.8571,0.1109,0.1550,0.9375,white,hispanic,0.1436,0.1493
140,theologian,0.8056,0.1333,0.1686,0.9531,black,asian,0.1297,0.1492
82,journalist,0.7727,0.1968,0.1821,0.9485,white,asian,0.1150,0.1486
120,radiologist,0.8382,0.1736,0.1635,0.9559,white,asian,0.1325,0.1480
137,tailor,0.8068,0.1347,0.1776,0.9609,white,asian,0.1171,0.1474
77,hostess,0.8750,0.1171,0.1533,0.9485,white,asian,0.1411,0.1472
69,gambler,0.8542,0.1474,0.1710,0.9559,white,hispanic,0.1183,0.1446
138,teacher,0.7794,0.2000,0.1733,0.9609,black,asian,0.1150,0.1441
18,baker,0.8958,0.1583,0.1687,0.9583,white,asian,0.1175,0.1431
14,attendant,0.7500,0.2220,0.2047,0.9732,black,asian,0.0812,0.1429
104,performing artist,0.7500,0.2194,0.1751,0.9667,white,hispanic,0.1101,0.1426
141,umpire,0.7250,0.1628,0.2044,0.9688,white,asian,0.0807,0.1425
1,accountant,0.7917,0.1829,0.1732,0.9667,white,asian,0.1116,0.1424
72,guitarist,0.8654,0.1441,0.1835,0.9643,black,asian,0.0999,0.1417
