,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.22838920057332143,0.12518503931351005,0.008564573016832583,0.008448039826995227,0.0926467131826648,0.461861666245386,0.35870211594784635,0.01667418229393661,0.011836167643021327,0.21226853303254756,0.07886201461301522,0.015686596200050026,0.061589012789700665,0.03762298005977889,0.04844015091563619,0.2190981749137966,0.016472089840102445,0.011380740695196435,0.02665478812991446
nn1,0.6289798361174762,0.6646683918656782,0.9404226708579808,0.9645620073676109,0.7996582265521864,0.4904018808230758,0.5794373118244112,0.95033300845325,0.9587819337546826,0.7447385337138548,0.669443436363276,0.6850732608952306,0.6669099433039708,0.5681609192319915,0.6473968899486172,0.6166401333829813,0.8445556334267911,0.9535249051083811,0.626617090063611
cn1,0.14263096371199935,0.21014657046739013,0.051012755437288435,0.026989953597658312,0.10769506080358407,0.047736450921860525,0.061860570945078505,0.03299280943826306,0.029381897583836688,0.042992932222259694,0.25169455521601314,0.29924014532430604,0.2715010424745885,0.3942160997911906,0.30416296070152454,0.16426169228948836,0.13897227686209054,0.03509435401426162,0.3467281225577483
en2,0.1508760929754935,0.09931304428074508,0.00831184416890028,0.009904461116413585,0.06710136063538812,0.2219354425841011,0.16889437279477715,0.015210991913729231,0.013353639267443214,0.10484861164001268,0.0774988222847435,0.01490088760461235,0.05875280161198442,0.05799689346066338,0.052287351240500914,0.1295450960886408,0.01994645292196034,0.011695234116621578,0.03644889053263787
nn2,0.6199441785421222,0.6317718117143959,0.8273104803243186,0.9172779670730233,0.749076109413465,0.6354755434244871,0.675281376408413,0.8175355570918182,0.8967522115893662,0.7562611721285212,0.617615635090686,0.6200113703327422,0.5262380979641549,0.5992688952784028,0.5907834996664965,0.6177211071907098,0.7796927469482786,0.8647190540196317,0.6096401328055725
cn2,0.22917972938204184,0.26891514380648734,0.16437767333211378,0.07281757314223797,0.18382252991572023,0.1425890136801172,0.15582424986187834,0.16725345161999575,0.0898941472095903,0.1388902155928954,0.30488554059349476,0.3650877419647507,0.41500909802453856,0.34273421166659823,0.35692914806234555,0.25273379589142636,0.20036079982254776,0.12358571132598445,0.35391097681567446
en3,,,0.0075155676147696795,0.007089202093251515,0.007302384854010597,,,0.013205636526749004,0.0100070331414463,0.011606334834097651,,,,,,,0.009454359844054124,0.009454359844054124,
nn3,,,0.8530006492298562,0.9195006371177733,0.8862506431738147,,,0.8759128012363799,0.9191231194548309,0.8975179603456054,,,,,,,0.89188430175971,0.89188430175971,
cn3,,,0.13948378383205273,0.073410160217667,0.10644697202485986,,,0.1108815629389137,0.07086984698567539,0.09087570496229455,,,,,,,0.09866133849357721,0.09866133849357721,
en4,,,0.007084756825352087,0.008713807197113056,0.007899282011232571,,,0.011132694240426644,0.011504441883880645,0.011318568062153644,,,,,,,0.009608925036693108,0.009608925036693108,
nn4,,,0.9666690586954355,0.9730500871837139,0.9698595729395747,,,0.9660998819470406,0.9677403459250927,0.9669201139360666,,,,,,,0.9683898434378206,0.9683898434378206,
cn4,,,0.02624618538073264,0.01823610550328158,0.02224114544200711,,,0.022767424775869585,0.020755212913034483,0.021761318844452034,,,,,,,0.02200123214322957,0.02200123214322957,
en_avg,0.18963264677440747,0.11224904179712758,0.007869185406463657,0.008538877558443346,0.07957243788411052,0.34189855441474354,0.2637982443713117,0.014055876243710373,0.01167532048394787,0.1578569988784284,0.07818041844887937,0.015293741902331187,0.06017090720084255,0.04780993676022113,0.05036375107806856,0.1743216355012187,0.01754048972585293,0.010534814923141312,0.03155183933127616
nn_avg,0.6244620073297993,0.648220101790037,0.8968507147768978,0.9435976746855304,0.7782826246455661,0.5629387121237814,0.6273593441164121,0.9024703121821221,0.9355994026809931,0.7570919427758271,0.6435295357269809,0.6525423156139865,0.5965740206340628,0.5837149072551971,0.6190901948075569,0.6171806202868456,0.819129221199121,0.9196295260813858,0.6181286114345919
cn_avg,0.1859053465470206,0.23953085713693872,0.09528009949554689,0.04786344811521121,0.14214493782367935,0.09516273230098886,0.10884241040347843,0.08347381219326053,0.05272527617303422,0.08505105776769051,0.2782900479047539,0.33216394364452834,0.34325507024956353,0.36847515572889444,0.3305460543819351,0.20849774409045732,0.16333028922507928,0.06983565899426321,0.3503195496867114
en_std,0.06791149742295965,0.037434801958035675,0.002708937626561909,0.004122978578090954,0.028044553896412045,0.13972310457541606,0.10956878608441911,0.005266273348524438,0.005561802815321341,0.06502999170592023,0.02175016551615393,0.0029683899794525296,0.03244291211995907,0.031715183889587696,0.022219162876288306,0.06813854461282393,0.008723927706256478,0.00441499809212466,0.017341786934520112
nn_std,0.08597420115675777,0.09144206196675077,0.10522145010780648,0.047378460320028994,0.08250404338783601,0.10467487237229943,0.09162509770039469,0.09959758939912029,0.0526257640738758,0.08713083088642255,0.06616291486995017,0.06820536064068702,0.17766724758510177,0.1612090752123997,0.11831114957703466,0.10292439927520909,0.08903961662565306,0.0762058159752079,0.11470721792654336
cn_std,0.078653592831688,0.0874688463495113,0.1052700618807194,0.046387611976464814,0.07944502825959587,0.05659665969858179,0.06143417157587828,0.09947809508155958,0.05182978538120791,0.06733467793430689,0.07123642868580336,0.06982969033362513,0.18746036234189573,0.16978577244305196,0.12457806345109404,0.09047501024722641,0.09043016951610479,0.07574138857998793,0.11980773138833854
accstd,,,,,,,,,,,,,,,,,,,
acc,0.8495,0.84375,0.936625,0.986375,0.9040625,0.71025,0.84275,0.946125,0.989125,0.8720625,0.8085106382978723,0.7215909090909091,0.49173553719008267,0.4880464480874317,0.627470883166574,0.7577493625813259,0.8446478928630569,0.9645625,0.6048186785891704
std,0.1550261942742703,0.14423047351619853,0.14213363307672516,0.06525936724972317,0.12666241702922929,0.20066309109753153,0.1750853702404614,0.13622797188613617,0.07334490151360336,0.1463303336844331,0.10609967271460498,0.09400229396917646,0.26504701469797104,0.24180668769669286,0.17673891726961133,0.17435863609017296,0.12546247589867618,0.10424146843154695,0.16790449083293466
