,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
63,manly,0.8393,0.1178,0.2076,0.9028,white,asian,0.1540,0.1808
64,masculine,0.7500,0.2646,0.1881,0.9485,asian,hispanic,0.1107,0.1494
26,dumb,0.9500,0.1196,0.1623,0.9653,white,black,0.1031,0.1327
108,uneducated,0.8214,0.1579,0.1215,0.9531,white,asian,0.1431,0.1323
34,flamboyant,0.8158,0.1770,0.2148,1.0000,white,asian,0.0453,0.1300
83,rowdy,0.8750,0.1333,0.1878,0.9833,white,asian,0.0646,0.1262
30,feminine,0.8026,0.1406,0.1668,0.9792,asian,black,0.0795,0.1232
111,violent,0.8676,0.2066,0.1902,0.9922,white,black,0.0531,0.1217
84,rude,0.9306,0.1393,0.1523,0.9706,white,asian,0.0863,0.1193
65,muscular,0.8947,0.1504,0.1755,1.0000,white,hispanic,0.0592,0.1174
47,homeless,0.8875,0.1398,0.1408,0.9706,asian,black,0.0903,0.1155
92,social,0.8281,0.1725,0.1801,0.9926,white,black,0.0503,0.1152
42,gross,0.8611,0.1434,0.1642,0.9926,white,hispanic,0.0587,0.1115
99,suspicious,0.9200,0.1583,0.1329,0.9632,white,asian,0.0899,0.1114
55,industrious,0.8750,0.1270,0.1656,1.0000,white,asian,0.0547,0.1102
7,burly,1.0000,0.0850,0.1103,0.9722,white,asian,0.1087,0.1095
61,luxurious,0.8594,0.1698,0.1739,1.0000,white,black,0.0362,0.1051
19,crafty,0.9500,0.0586,0.1054,0.9792,white,asian,0.1038,0.1046
31,filthy,0.9219,0.0992,0.1369,0.9917,white,asian,0.0719,0.1044
110,uptight,0.8571,0.1536,0.1469,1.0000,white,asian,0.0609,0.1039
80,retarded,0.9559,0.1064,0.1231,0.9779,white,hispanic,0.0840,0.1036
73,poor,1.0000,0.0729,0.0895,0.9485,white,asian,0.1174,0.1035
50,ignorant,0.8235,0.1157,0.1282,0.9844,white,black,0.0785,0.1033
21,dangerous,0.9500,0.1459,0.1617,1.0000,white,hispanic,0.0449,0.1033
71,odd,0.9079,0.1351,0.1543,1.0000,white,asian,0.0465,0.1004
101,terrible,0.9205,0.1034,0.1287,0.9861,white,black,0.0717,0.1002
57,irresponsible,0.9524,0.1341,0.1353,0.9926,white,black,0.0629,0.0991
107,uncare,0.8594,0.1151,0.1516,1.0000,white,asian,0.0463,0.0989
112,weak,0.9167,0.1157,0.1268,0.9844,white,black,0.0687,0.0977
53,impossible,0.8594,0.1389,0.1566,1.0000,asian,hispanic,0.0378,0.0972
