,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race,Race-AB,Race-C
en1,0.318548822552897,0.3214747754856944,0.042122036741726335,0.044780167399847415,0.1817314505450413,0.31188171087438243,0.22817490167100915,0.03524149701849092,0.04112981183297234,0.15410698034921372,0.11174170231258378,0.005074196668415839,0.05341418393649938,0.030326600970947318,0.05013917097211158,0.22420601613884436,0.03311238510540002,0.040818378248259256,0.01770039881968158
nn1,0.6604645870104432,0.6470672675184905,0.9265970595870167,0.9466791757047176,0.795202022455167,0.6698650791198015,0.7562458115406334,0.9485867076814175,0.9533306448236107,0.8320070607913658,0.8093466739705268,0.9109072233656083,0.7871373702092712,0.7238556329257931,0.8078117251177999,0.7216877982281945,0.9016594073480273,0.9437983969491907,0.8173814281457007
cn1,0.020986588694388048,0.03145795695768902,0.03128090346060344,0.008540657926641871,0.023066526759830595,0.018253209892020096,0.01557928671949776,0.01617179516372562,0.0055395443985034945,0.013885959043436742,0.07891163331372267,0.0840185832894349,0.15944844700220717,0.24581776750293088,0.1420491077770739,0.05410618709658746,0.06522820862364004,0.015383225237368606,0.1649181753961829
en2,0.16683129438594915,0.17866023221437355,0.027911682774512885,0.02817485584222595,0.10039451630426538,0.18192836653534322,0.16690043049305678,0.026032711308253055,0.030051696751266718,0.10122830127197995,0.16594125507548055,0.009815980192466999,0.04821545720264382,0.049066177742275376,0.06825971755321669,0.15141283931780786,0.028508850768500165,0.028042736669064653,0.029441078967371186
nn2,0.7994914023894817,0.7723273141169921,0.849080180639081,0.9425615346813574,0.840865107956728,0.7967153927823528,0.7941466766153462,0.872283651259524,0.941535583495861,0.851170326038271,0.7096118139192225,0.8902177770346911,0.6011426867520911,0.7054822730351589,0.7266136376852909,0.7455725477625811,0.8668601666909455,0.9013652375189558,0.797850025034925
cn2,0.03367730283434503,0.049012453905597796,0.12300813593331258,0.02926360980128811,0.05874037561863588,0.021356239462969825,0.0389528918871074,0.10168363699362089,0.028412719490443123,0.04760137195853531,0.12444693166415821,0.09996624549239641,0.3506418525815936,0.24545154915616518,0.20512664472357836,0.10301461205596196,0.10463098281120438,0.07059202555466618,0.1727088973242808
en3,,,0.024415928991467807,0.030109323280863465,0.027262626136165636,,,0.03068500519396912,0.03573247245245147,0.03320873882321029,,,,,,,0.03023568247968797,0.03023568247968797,
nn3,,,0.8469920214824378,0.9461347833201289,0.8965634024012834,,,0.8883280292416457,0.9280725578591228,0.9082002935503842,,,,,,,0.9023818479758338,0.9023818479758338,
cn3,,,0.128592050680134,0.023755893602734432,0.0761739721414342,,,0.0809869658711832,0.03619496856114711,0.058590967216165156,,,,,,,0.06738246967879968,0.06738246967879968,
en4,,,0.027933757976890773,0.03146333402913297,0.02969854600301187,,,0.022058197389531416,0.037515900093130765,0.02978704874133109,,,,,,,0.029742797372171483,0.029742797372171483,
nn4,,,0.9338409501202405,0.958869999408722,0.9463554747644812,,,0.9417246307134628,0.9490918585062027,0.9454082446098327,,,,,,,0.945881859687157,0.945881859687157,
cn4,,,0.038225292417249875,0.009666667359502753,0.023945979888376313,,,0.036217170033312866,0.013392243337759282,0.024804706685536075,,,,,,,0.024375343286956192,0.024375343286956192,
en_avg,0.2426900584694231,0.25006750385003396,0.030595851621149448,0.03363192013801745,0.13924633351965598,0.24690503870486283,0.19753766608203296,0.028504352727561126,0.036107470282455326,0.12726363194922807,0.13884147869403216,0.0074450884304414185,0.0508148205695716,0.03969638935661134,0.05919944426266413,0.1878094277283261,0.029330178759372685,0.03220989869229583,0.023570738893526382
nn_avg,0.7299779946999624,0.7096972908177414,0.889127552957194,0.9485613732787315,0.8193410529384073,0.7332902359510772,0.7751962440779898,0.9127307547240125,0.9430076611711993,0.8410562239810697,0.7594792439448746,0.9005625002001497,0.6941400284806811,0.7146689529804761,0.7672126814015453,0.7336301729953877,0.8847764658852939,0.9233568355327844,0.8076157265903129
cn_avg,0.02733194576436654,0.040235205431643405,0.08027659562282496,0.01780670717254179,0.041412613497844177,0.01980472467749496,0.027266089303302578,0.058764892015460646,0.020884868946963252,0.03168014373580536,0.10167928248894044,0.09199241439091566,0.25504514979190035,0.24563465832954803,0.17358787625032612,0.07856039957627471,0.08589335607970905,0.044433265939447665,0.16881353636023183
en_std,0.09210312707384583,0.09350853168027243,0.022197572377723407,0.023438662257674613,0.057811973347379066,0.07748710848041811,0.0499529967274284,0.016730693397703503,0.020764947833677064,0.04123393660980677,0.04435358895484279,0.0029116014032876014,0.033255895829223704,0.02999664958481091,0.02762943394304125,0.06511020812433854,0.019340021142479517,0.020782968966694647,0.016454125494049256
nn_std,0.09209265469294041,0.10076011296128855,0.10227896971192667,0.035957669487675196,0.0827723517134577,0.07938698674784973,0.058745603082468734,0.07971776178385194,0.036432138881696136,0.06357062262396662,0.07784515183092036,0.04662973865527998,0.18174428252674893,0.15754123594899552,0.1159401022404862,0.09842913197370279,0.0764262524115709,0.06359663496628748,0.10208548730213775
cn_std,0.016721334167406895,0.026792415360861924,0.09429288974412868,0.021602042947256938,0.03985217055491361,0.01398647226500907,0.022899072039872407,0.0733542788249772,0.02630191903403209,0.03413543554097269,0.04197558522301211,0.04788181571000843,0.18038330101518105,0.1583195709124054,0.10714006821515175,0.05045969667855724,0.07029208619546812,0.053887782637598726,0.10310069331120691
accstd,,,,,,,,,,,,,,,,,,,
acc,0.92175,0.89775,0.940875,0.995125,0.9388750000000001,0.9415,0.96575,0.96325,0.9885,0.96475,0.7872340425531915,0.9375,0.534435261707989,0.5566939890710383,0.7039658233330548,0.8414032173768634,0.8969906648451732,0.9719375,0.7470969945355191
std,0.13394474395612876,0.14737404000161525,0.14584628788918583,0.053998916461737836,0.12029099707716692,0.11390704499551793,0.0877317812331797,0.11320182267102177,0.05566600383293686,0.09262666318316407,0.10944955067251683,0.064948770512384,0.26358898624743576,0.23057163763080787,0.16713973626578613,0.1426660245177324,0.1107055731663457,0.09217825771372057,0.14776020407159593
