,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
template,A1,A2,A3,A4,A,B1,B2,B3,B4,B,C1,C2,C3,C4,C,Gender,Race-AB,Race-C
en1,0.3438897525295615,0.3360900942087173,0.0891238730064672,0.017964041726623567,0.1967669403678424,0.5765374388769269,0.5978106976523996,0.1201639455795603,0.07175027379958794,0.34156558897711864,0.6176284964771029,0.36606608576733957,0.2943624274820582,0.2520000889721292,0.3825142746746575,0.4610531512044611,0.07475053352805974,0.3090330873697344
nn1,0.5977046303749084,0.6200549553744495,0.8991367261804325,0.9784721053879837,0.7738421043294436,0.40245077599957585,0.38090235040336845,0.8691619672405888,0.9235081176819473,0.6440058028313701,0.33737110336648024,0.5574624790725383,0.6198023052747584,0.6593661000799449,0.5435004969484305,0.4930476867989235,0.9175697291227382,0.6084142895762417
cn1,0.058405617109499874,0.0438549489795696,0.011739400603224747,0.0035638530088331678,0.029390954925281845,0.021011783303110862,0.021286951028974727,0.010674088221850057,0.004741609146706118,0.01442860792516044,0.04500041211004111,0.07647143875312229,0.08583526273762176,0.08863381286042926,0.0739852316153036,0.045899162544802995,0.007679737745153522,0.08255262580677578
en2,0.3090418157726526,0.3157522368840873,0.18514393765190748,0.024923978108463102,0.20871549210427764,0.5995894372314214,0.6089641384929418,0.20509070666952872,0.08251441782340407,0.374039675054324,0.5515192005030335,0.3313236639845524,0.2949253329314476,0.29429483144271157,0.3680157572154363,0.446632026969264,0.12441826006332585,0.31280924771363194
nn2,0.6180100107789039,0.6390700453296304,0.7928611054806642,0.9704302097189015,0.7550928428270249,0.3718292295522988,0.3647785522788763,0.7765474212421498,0.9118269209204048,0.6062455309984325,0.3992183480332506,0.594592628323219,0.5898494958600475,0.6288826040519004,0.5531357690671044,0.497125946972168,0.8629164143405301,0.6117376161875597
cn2,0.07294817364634947,0.04517771611874923,0.021994955820510243,0.004645810001891042,0.036191663896875,0.02858133441582322,0.02625730991922319,0.018361872692533414,0.005658663936754175,0.019714795241083497,0.04926245425768355,0.07408370918975296,0.11522516822211507,0.07682256585084375,0.07884847438009883,0.056242026096657294,0.01266532561292222,0.07545313752029836
en3,,,0.4037371817713892,0.2647954557604831,0.33426631876593615,,,0.6399420115729453,0.6070743187748152,0.6235081651738803,,,,,,,0.4788872419699082,
nn3,,,0.5709115769451772,0.7119282160339684,0.6414198964895728,,,0.3524553793626772,0.38306557168734484,0.367760475525011,,,,,,,0.5045901860072919,
cn3,,,0.02535123979462914,0.023276326487418907,0.024313783141024024,,,0.007602612569954404,0.00986010828938592,0.008731360429670163,,,,,,,0.016522571785347093,
en4,,,0.5384330801980596,0.5236330881457905,0.5310330841719251,,,0.6886836739493088,0.6785078904238241,0.6835957821865665,,,,,,,0.6073144331792458,
nn4,,,0.44704438903382127,0.4617945534530385,0.45441947124342985,,,0.30365816514256977,0.31259596238619297,0.30812706376438137,,,,,,,0.3812732675039056,
cn4,,,0.014522532120012534,0.01457235496892626,0.014547443544469397,,,0.007658160465415305,0.00889614998294715,0.008277155224181227,,,,,,,0.011412299384325312,
en_avg,0.32646578415110705,0.3259211655464023,0.30410951815695586,0.20782914093534005,0.2910814021974513,0.5880634380541742,0.6033874180726707,0.4134700844428358,0.3599617252054078,0.49122066644377216,0.5845738484900682,0.34869487487594597,0.2946438802067529,0.27314746020742037,0.3752650159450469,0.45384258908686265,0.3213426171851349,0.3109211675416832
nn_avg,0.6078573205769062,0.62956250035204,0.6774884494100238,0.780656271148473,0.6738911353718607,0.3871400027759373,0.37284045134112237,0.5754557332469964,0.6327491431689725,0.4920463326332571,0.36829472569986543,0.5760275536978786,0.604825900567403,0.6441243520659227,0.5483181330077674,0.49508681688554573,0.6665873992436164,0.6100759528819006
