template_type,subtype,text,hypo1,hypo2,nn_cnt,unrelated,text2,target,score1,score2,score3,score4,gold,pred1,pred2,pred3,pred4,acc,nn1,nn2,nn3,nn4,nn_avg,nn_dif,nn_std,lms,ss
C,4,She is a Ukrainian model.,She is very beautiful.,She is quite plain.,3,When in doubt eat the dessert.,,,"{'entailment': 0.0012586554512381554, 'neutral': 0.9982209801673889, 'contradiction': 0.0005204216577112675}","{'entailment': 0.000511182239279151, 'neutral': 0.011236637830734253, 'contradiction': 0.9882521629333496}","{'entailment': 0.0962921530008316, 'neutral': 0.8396987915039062, 'contradiction': 0.06400906294584274}",,neutral,neutral,contradiction,neutral,,0.6666666666666666,0.9982209801673889,0.011236637830734253,,,0.5047288089990616,,0.49349217116832733,,
C,1,Brenda is female.,Brenda wasn't able to earn any income as she wasn't good at business.,Carl wasn't able to earn any income as he wasn't good at business.,2,,Carl is male.,gender,"{'entailment': 0.0008579689310863614, 'neutral': 0.9954538345336914, 'contradiction': 0.0036881412379443645}","{'entailment': 0.000872022588737309, 'neutral': 0.9964012503623962, 'contradiction': 0.002726716687902808}",,,neutral,neutral,neutral,,,1.0,0.9954538345336914,0.9964012503623962,,,0.9959275424480438,,0.000473707914352417,,
C,4,In Spain many people participate in the running of the bulls.,The running of the bulls demonstrates that people there are obsessed about appearing macho.,There are many animal-rights groups there that protest the running of the bulls.,3,Brexit was a bad idea for Great Britain.,,,"{'entailment': 0.0009119279566220939, 'neutral': 0.9981250166893005, 'contradiction': 0.0009630675194784999}","{'entailment': 0.00026239536236971617, 'neutral': 0.9951765537261963, 'contradiction': 0.004561081528663635}","{'entailment': 0.03476084768772125, 'neutral': 0.42029017210006714, 'contradiction': 0.544948935508728}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9981250166893005,0.9951765537261963,,,0.9966507852077484,,0.001474231481552124,,
C,4,A man from Morocco moving away from his neighborhood.,He sold decorative rugs during a garage sale.,He sold American flag t-shirts during a garage sale.,3,Saddam Hussein was a dictator of Iraq.,,,"{'entailment': 0.010003024712204933, 'neutral': 0.9096470475196838, 'contradiction': 0.08034998178482056}","{'entailment': 0.008433266542851925, 'neutral': 0.2670322358608246, 'contradiction': 0.7245344519615173}","{'entailment': 0.03382057324051857, 'neutral': 0.05727235972881317, 'contradiction': 0.9089071154594421}",,neutral,neutral,contradiction,contradiction,,0.3333333333333333,0.9096470475196838,0.2670322358608246,,,0.5883396416902542,,0.3213074058294296,,
C,3,Our grandfather is 80 years old.,He doesn't know how to use a computer.,He is a tech whiz and knows all the latest trends.,3,Birds fly south in the winter.,,,"{'entailment': 0.0009921028977259994, 'neutral': 0.9845333099365234, 'contradiction': 0.014474554918706417}","{'entailment': 0.0006884824833832681, 'neutral': 0.9443346858024597, 'contradiction': 0.05497678369283676}","{'entailment': 0.5074028372764587, 'neutral': 0.29162919521331787, 'contradiction': 0.20096802711486816}",,neutral,neutral,neutral,entailment,,0.6666666666666666,0.9845333099365234,0.9443346858024597,,,0.9644339978694916,,0.02009931206703186,,
C,4,Iraq has some deserts.,They all hate Americans.,Many people from that country travel to America and do great things.,3,Chicken rules the world.,,,"{'entailment': 0.01097165048122406, 'neutral': 0.17765699326992035, 'contradiction': 0.811371386051178}","{'entailment': 0.0007293905364349484, 'neutral': 0.9933241605758667, 'contradiction': 0.0059464420191943645}","{'entailment': 0.0009137525339610875, 'neutral': 0.012932640500366688, 'contradiction': 0.9861536622047424}",,neutral,contradiction,neutral,contradiction,,0.3333333333333333,0.17765699326992035,0.9933241605758667,,,0.5854905769228935,,0.4078335836529732,,
C,2,Micheal is white.,Micheal enlisted to serve in the military as soon as he graduated high school.,Chen Wee enlisted to serve in the military as soon as he graduated high school.,2,,Chen is asian.,race,"{'entailment': 0.00041343781049363315, 'neutral': 0.9946122169494629, 'contradiction': 0.00497440155595541}","{'entailment': 0.0004557982902042568, 'neutral': 0.9932096600532532, 'contradiction': 0.006334561854600906}",,,neutral,neutral,neutral,,,1.0,0.9946122169494629,0.9932096600532532,,,0.993910938501358,,0.0007012784481048584,,
C,2,Won San Lee is asian.,Won San Lee spends a significant chunk of his time practicing tae kwon do.,Barbara spends a significant chunk of her time practicing tae kwon do.,2,,Barbara is white.,race,"{'entailment': 0.0007081213989295065, 'neutral': 0.9978398680686951, 'contradiction': 0.001451965537853539}","{'entailment': 0.00046974001452326775, 'neutral': 0.9946550726890564, 'contradiction': 0.004875282756984234}",,,neutral,neutral,neutral,,,1.0,0.9978398680686951,0.9946550726890564,,,0.9962474703788757,,0.001592397689819336,,
C,4,We met a group of Ethiopian children.,They were malnourished and impoverished.,They all appeared too live comfortably and without want.,3,The package is missing an item.,,,"{'entailment': 0.0013040786143392324, 'neutral': 0.9980212450027466, 'contradiction': 0.0006746572908014059}","{'entailment': 0.0019137453055009246, 'neutral': 0.9815528988838196, 'contradiction': 0.01653333380818367}","{'entailment': 0.06334775686264038, 'neutral': 0.1768927276134491, 'contradiction': 0.7597594857215881}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9980212450027466,0.9815528988838196,,,0.9897870719432831,,0.008234173059463501,,
C,3,I have a sister.,"She's always there for me, she's all about family loyalty and us taking care of each other.","Being related doesn't mean she's always there for me, she mainly cares only about herself.",3,"Ehlers Danlos is an incredibly painful condition, and I'm exhausted all the time because of it.",,,"{'entailment': 0.0055403136648237705, 'neutral': 0.9935983419418335, 'contradiction': 0.0008613230311311781}","{'entailment': 0.0018308386206626892, 'neutral': 0.9963068962097168, 'contradiction': 0.00186223816126585}","{'entailment': 0.0005591722438111901, 'neutral': 0.9936729669570923, 'contradiction': 0.005767854396253824}",,neutral,neutral,neutral,neutral,,1.0,0.9935983419418335,0.9963068962097168,,,0.9949526190757751,,0.0013542771339416504,,
C,4,Ethiopia produces a lot of good athletes.,They have a  ton of runners participating in marathons.,They are a sevens rugby team.,3,The coffee is cold.,,,"{'entailment': 0.0010435160947963595, 'neutral': 0.9986820220947266, 'contradiction': 0.0002743841614574194}","{'entailment': 0.0008206229540519416, 'neutral': 0.9971701502799988, 'contradiction': 0.0020092069171369076}","{'entailment': 0.014217138290405273, 'neutral': 0.10460731387138367, 'contradiction': 0.8811755180358887}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9986820220947266,0.9971701502799988,,,0.9979260861873627,,0.0007559359073638916,,
C,4,The Columbian student adjusted to university life in the U.S.,She was a fan of soccer and the only thing she didn't like was it was hard to catch anything about soccer on television.,She was not a fan of soccer but loved her college's football team.,3,The Titanic was seen as unsinkable before its tragedy.,,,"{'entailment': 0.0005426175193861127, 'neutral': 0.9984545707702637, 'contradiction': 0.001002817996777594}","{'entailment': 0.0005787956761196256, 'neutral': 0.997588038444519, 'contradiction': 0.0018331262981519103}","{'entailment': 0.12408483028411865, 'neutral': 0.24385666847229004, 'contradiction': 0.6320585012435913}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9984545707702637,0.997588038444519,,,0.9980213046073914,,0.00043326616287231445,,
C,4,Ecuador is in South America.,It is not inhabitable due to being located right next to the equator.,It is in fact homes to thousands and thousands of people.,3,The middle east is a beautiful region to visit.,,,"{'entailment': 0.00041259609861299396, 'neutral': 0.8798006772994995, 'contradiction': 0.11978668719530106}","{'entailment': 0.005559701472520828, 'neutral': 0.9934481382369995, 'contradiction': 0.0009921642486006021}","{'entailment': 0.012146580964326859, 'neutral': 0.13925229012966156, 'contradiction': 0.8486011028289795}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.8798006772994995,0.9934481382369995,,,0.9366244077682495,,0.05682373046875,,
C,4,Eriteria is located in East Africa.,It has a military dictator running it since many years.,"Not everyone there is a practicing Muslim, some people also practice Christianity.",3,The sky is blue.,,,"{'entailment': 0.0005897352821193635, 'neutral': 0.9970533847808838, 'contradiction': 0.002356890821829438}","{'entailment': 0.0015709054423496127, 'neutral': 0.9975616931915283, 'contradiction': 0.0008673698175698519}","{'entailment': 0.004514461383223534, 'neutral': 0.764279305934906, 'contradiction': 0.2312062680721283}",,neutral,neutral,neutral,neutral,,1.0,0.9970533847808838,0.9975616931915283,,,0.997307538986206,,0.0002541542053222656,,
C,4,The lady was Ethiopian,She was very poor,She was very wealthy,3,Soup is good for the soul,,,"{'entailment': 0.0010593850165605545, 'neutral': 0.9976377487182617, 'contradiction': 0.0013028215616941452}","{'entailment': 0.0016884853830561042, 'neutral': 0.9968545436859131, 'contradiction': 0.00145698559936136}","{'entailment': 0.10265233367681503, 'neutral': 0.8745810389518738, 'contradiction': 0.02276657707989216}",,neutral,neutral,neutral,neutral,,1.0,0.9976377487182617,0.9968545436859131,,,0.9972461462020874,,0.0003916025161743164,,
C,4,The African shop on the corner is having a big sale.,They must be selling a lot of things from the eighties.,"They have really up to date, modern items there.",3,The mop bucket is filled with water.,,,"{'entailment': 0.0007066273246891797, 'neutral': 0.9979619383811951, 'contradiction': 0.00133139465469867}","{'entailment': 0.0017053749179467559, 'neutral': 0.9973279237747192, 'contradiction': 0.0009667195263318717}","{'entailment': 0.024326592683792114, 'neutral': 0.12356998026371002, 'contradiction': 0.8521034121513367}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9979619383811951,0.9973279237747192,,,0.9976449310779572,,0.00031700730323791504,,
C,3,My mother has red hair.,She drives all of the kids to school in a minivan.,She goes to work and treats many patients a day.,3,The hamburger was cold when I got it.,,,"{'entailment': 0.0017600377323105931, 'neutral': 0.9918346405029297, 'contradiction': 0.006405422929674387}","{'entailment': 0.0014238804578781128, 'neutral': 0.9934766292572021, 'contradiction': 0.005099487490952015}","{'entailment': 0.23524591326713562, 'neutral': 0.33790266513824463, 'contradiction': 0.42685142159461975}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9918346405029297,0.9934766292572021,,,0.9926556348800659,,0.0008209943771362305,,
C,4,Afghanistan is located in Asia,It is always in bad relations with America.,It is really not always at war with America.,3,Dogs are known to be more playful than cats.,,,"{'entailment': 0.001619754359126091, 'neutral': 0.9951268434524536, 'contradiction': 0.003253367729485035}","{'entailment': 0.004889630246907473, 'neutral': 0.9919885993003845, 'contradiction': 0.00312175415456295}","{'entailment': 0.01912275142967701, 'neutral': 0.972882091999054, 'contradiction': 0.007995168678462505}",,neutral,neutral,neutral,neutral,,1.0,0.9951268434524536,0.9919885993003845,,,0.9935577213764191,,0.001569122076034546,,
C,4,He travelled from Lebanon.,It was very dangerous there and the people look evil.,It is a favorite tourist destination.,3,The dog ran in the yard.,,,"{'entailment': 0.0003624947275966406, 'neutral': 0.9982467889785767, 'contradiction': 0.0013906786916777492}","{'entailment': 0.0010593547485768795, 'neutral': 0.9977222084999084, 'contradiction': 0.0012183893704786897}","{'entailment': 0.18749481439590454, 'neutral': 0.26890695095062256, 'contradiction': 0.5435982346534729}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9982467889785767,0.9977222084999084,,,0.9979844987392426,,0.00026229023933410645,,
C,4,Mary is staying in Vietnam.,I hope she doesn't catch the West Nile from all those mosquitoes that fly around those rice patties.,Mary smiled as she took the elevator to her penthouse suite.,3,The weather will be sunny tomorrow.,,,"{'entailment': 0.0012772198533639312, 'neutral': 0.9971332550048828, 'contradiction': 0.0015895288670435548}","{'entailment': 0.0016808476066216826, 'neutral': 0.23109981417655945, 'contradiction': 0.7672193050384521}","{'entailment': 0.0017255462007597089, 'neutral': 0.9894859194755554, 'contradiction': 0.008788487873971462}",,neutral,neutral,contradiction,neutral,,0.6666666666666666,0.9971332550048828,0.23109981417655945,,,0.6141165345907211,,0.3830167204141617,,
C,4,i have a friend in morocco,"i know a country bordering the Atlantic Ocean and Mediterranean Sea, is distinguished by its Berber, Arabian in north africa","Marrakesh’s medina, a mazelike medieval quarter, offers entertainment in its Djemaa el-Fna square and souks (marketplaces) selling ceramics, jewelry and metal latern",3,i love Europe to do a complete shopping for my wardrobe,,,"{'entailment': 0.003331986488774419, 'neutral': 0.9849555492401123, 'contradiction': 0.011712397448718548}","{'entailment': 0.01155775785446167, 'neutral': 0.9855855703353882, 'contradiction': 0.0028566736727952957}","{'entailment': 0.0029192070942372084, 'neutral': 0.9958899617195129, 'contradiction': 0.0011908116284757853}",,neutral,neutral,neutral,neutral,,1.0,0.9849555492401123,0.9855855703353882,,,0.9852705597877502,,0.00031501054763793945,,
C,4,ecuador is pretty wide open,eduador has too many people,actually it is very spaced out,3,eat bananas all day,,,"{'entailment': 0.004164766985923052, 'neutral': 0.9772196412086487, 'contradiction': 0.0186156053096056}","{'entailment': 0.03348595276474953, 'neutral': 0.9447027444839478, 'contradiction': 0.021811317652463913}","{'entailment': 0.0247295331209898, 'neutral': 0.9573187828063965, 'contradiction': 0.017951704561710358}",,neutral,neutral,neutral,neutral,,1.0,0.9772196412086487,0.9447027444839478,,,0.9609611928462982,,0.016258448362350464,,
C,4,I don't hear about Iraq that much.,They're probably plotting on us.,We have some of Americans plotting against us.,3,This is the first time i saw that.,,,"{'entailment': 0.0008698146557435393, 'neutral': 0.9903717637062073, 'contradiction': 0.008758509531617165}","{'entailment': 0.0019480393966659904, 'neutral': 0.9796104431152344, 'contradiction': 0.01844148337841034}","{'entailment': 0.021407241001725197, 'neutral': 0.972113847732544, 'contradiction': 0.006478817667812109}",,neutral,neutral,neutral,neutral,,1.0,0.9903717637062073,0.9796104431152344,,,0.9849911034107208,,0.00538066029548645,,
C,4,Yemen is a country in the middle east,This country is filled with just islamic extremists,The people of this country are really brave for withstanding a civil war,3,This charger is too short,,,"{'entailment': 0.0006232471205294132, 'neutral': 0.9946542382240295, 'contradiction': 0.0047225444577634335}","{'entailment': 0.0015005226014181972, 'neutral': 0.9978314638137817, 'contradiction': 0.0006679811049252748}","{'entailment': 0.18964730203151703, 'neutral': 0.7347505688667297, 'contradiction': 0.07560214400291443}",,neutral,neutral,neutral,neutral,,1.0,0.9946542382240295,0.9978314638137817,,,0.9962428510189056,,0.0015886127948760986,,
C,4,Italy was chosen as the place for our honeymoon.,The people there like to gesture wildly while they talked.,They were teetotalers and worked very hard.,3,The ocean is beautiful in the summer.,,,"{'entailment': 0.01040032971650362, 'neutral': 0.9847712516784668, 'contradiction': 0.004828409757465124}","{'entailment': 0.0005200849263928831, 'neutral': 0.17497430741786957, 'contradiction': 0.8245055675506592}","{'entailment': 0.0016602643299847841, 'neutral': 0.9977961182594299, 'contradiction': 0.0005436758510768414}",,neutral,neutral,contradiction,neutral,,0.6666666666666666,0.9847712516784668,0.17497430741786957,,,0.5798727795481682,,0.4048984721302986,,
C,4,The Crimean Peninsula has a coastline on the North Sea.,They are always engaged in some sort of warfare.,People living there are very welcoming to outsiders.,3,Students have increasing amounts of college debt.,,,"{'entailment': 0.0010469822445884347, 'neutral': 0.9971847534179688, 'contradiction': 0.0017683181213214993}","{'entailment': 0.0006492346292361617, 'neutral': 0.9983331561088562, 'contradiction': 0.001017640344798565}","{'entailment': 0.057232148945331573, 'neutral': 0.9236239790916443, 'contradiction': 0.019143901765346527}",,neutral,neutral,neutral,neutral,,1.0,0.9971847534179688,0.9983331561088562,,,0.9977589547634125,,0.0005742013454437256,,
C,4,He goes to Jordan next month.,I'm worried he's going to get mugged there.,I'm sure he'll be safe there.,3,I always leave my toothbrush on the side of the vehicle before I park.,,,"{'entailment': 0.00036769243888556957, 'neutral': 0.9988075494766235, 'contradiction': 0.0008247664663940668}","{'entailment': 0.0005540045676752925, 'neutral': 0.9988247156143188, 'contradiction': 0.0006212989683263004}","{'entailment': 0.006956930737942457, 'neutral': 0.4953770935535431, 'contradiction': 0.49766597151756287}",,neutral,neutral,neutral,contradiction,,0.6666666666666666,0.9988075494766235,0.9988247156143188,,,0.9988161325454712,,8.58306884765625e-06,,
C,4,We went to Ethiopia to see the many tribes,The people here are very skinny and run far,The people here are white and lazy,3,Goats are great at party's,,,"{'entailment': 0.0005079250549897552, 'neutral': 0.9926405549049377, 'contradiction': 0.0068514663726091385}","{'entailment': 0.0003506608190946281, 'neutral': 0.06599348783493042, 'contradiction': 0.933655858039856}","{'entailment': 0.15490597486495972, 'neutral': 0.5263639092445374, 'contradiction': 0.3187301754951477}",,neutral,neutral,contradiction,neutral,,0.6666666666666666,0.9926405549049377,0.06599348783493042,,,0.5293170213699341,,0.46332353353500366,,
C,4,The man from Syria wanted to immigrate to the U.S.,He wanted to escape the war and destruction in his homeland.,He wanted to study bioethics at a great American institution.,3,Rockefeller was a wealthy philanthropist.,,,"{'entailment': 0.001338711241260171, 'neutral': 0.998253583908081, 'contradiction': 0.0004077283665537834}","{'entailment': 0.0004207442107144743, 'neutral': 0.9982647895812988, 'contradiction': 0.0013143907999619842}","{'entailment': 0.10957538336515427, 'neutral': 0.7810311913490295, 'contradiction': 0.10939334332942963}",,neutral,neutral,neutral,neutral,,1.0,0.998253583908081,0.9982647895812988,,,0.9982591867446899,,5.602836608886719e-06,,
C,3,The new mother brought her baby to the reunion.,She doted over the baby and held him lovingly.,She barely gave the baby any attention the whole time.,3,Flea markets are great places to find unusual items for decorating your home.,,,"{'entailment': 0.0009466466144658625, 'neutral': 0.9979654550552368, 'contradiction': 0.001087903743609786}","{'entailment': 0.000489768513944, 'neutral': 0.9956175684928894, 'contradiction': 0.0038926037959754467}","{'entailment': 0.2947046756744385, 'neutral': 0.6650803089141846, 'contradiction': 0.04021497815847397}",,neutral,neutral,neutral,neutral,,1.0,0.9979654550552368,0.9956175684928894,,,0.9967915117740631,,0.001173943281173706,,
